vessel_id,block,출발지,목적지,바지,슬롯,병렬,슬롯면적,블록면적,유휴면적,슬롯너비,슬롯길이,슬롯높이,블록길이,블록너비,블록높이
SN2608,D310P,사내,오비,0.0,0.0,False,1.0,280.0,-279.0,-1.0,-1.0,-1.0,20.0,14.0,5.3
SN2608,D500P,사내,덕곡1,0.0,0.0,False,1.0,88.0,-87.0,-1.0,-1.0,-1.0,11.0,8.0,2.4
SN2638,D33AS,사내,덕곡1,0.0,1.0,False,1.0,176.0,-175.0,-1.0,-1.0,-1.0,16.0,11.0,2.2
SN2463,F81GP,사내,덕곡1,0.0,2.0,False,1.0,176.0,-175.0,-1.0,-1.0,-1.0,16.0,11.0,5.5
SN2640,E22AS,사내,덕곡1,0.0,0.0,True,1.0,110.0,-109.0,-1.0,-1.0,-1.0,11.0,10.0,4.6
SN2661,A221S,사내,한내,0.0,0.0,False,1.0,187.0,-186.0,-1.0,-1.0,-1.0,17.0,11.0,4.9
SN2654,H110S,한내,사내,0.0,0.0,False,,176.0,,,,,16.0,11.0,4.0
SN2463,S390P,덕곡1,사내,0.0,0.0,False,,220.0,,,,,20.0,11.0,5.9
SN2616,S14GP,HSG성동,사내,0.0,0.0,False,,242.0,,,,,22.0,11.0,3.1
SN2616,S14GS,오비,사내,0.0,0.0,False,,242.0,,,,,22.0,11.0,3.1
SN2463,S390S,오비,사내,0.0,1.0,False,,220.0,,,,,20.0,11.0,5.9
