vessel_id,block,출발지,목적지,바지,슬롯,병렬,슬롯면적,블록면적,유휴면적,슬롯너비,슬롯길이,슬롯높이,블록길이,블록너비,블록높이
SN2631,M510P,사내,HSG성동,0.0,0.0,False,400.0,306.0,94.0,20.0,20.0,1000.0,18.0,17.0,4.3
SN2634,F310P,사내,신한내,0.0,0.0,False,360.0,180.0,180.0,18.0,20.0,1000.0,15.0,12.0,8.2
SN2637,G310C,사내,신한내,0.0,1.0,False,396.0,77.0,319.0,18.0,22.0,1000.0,11.0,7.0,1.7
SN2654,H110P,사내,신한내,0.0,2.0,False,399.0,176.0,223.0,19.0,21.0,1000.0,16.0,11.0,4.0
SN2608,D310P,사내,봉암8,0.0,0.0,False,300.0,280.0,20.0,15.0,20.0,5.8,20.0,14.0,5.3
SN2608,D500P,사내,신한내,0.0,1.0,True,418.0,88.0,330.0,19.0,22.0,1000.0,11.0,8.0,2.4
SN2640,E22AS,사내,신한내,0.0,3.0,False,432.0,110.0,322.0,18.0,24.0,1000.0,11.0,10.0,4.6
SN2661,A221S,사내,신한내,0.0,4.0,False,437.0,187.0,250.0,19.0,23.0,1000.0,17.0,11.0,4.9
SN2608,D500S,사내,신한내,0.0,3.0,True,456.0,88.0,368.0,19.0,24.0,1000.0,11.0,8.0,2.4
SN2634,F310S,사내,신한내,1.0,0.0,False,460.0,180.0,280.0,20.0,23.0,1000.0,15.0,12.0,8.2
SN2661,D31DS,사내,HSG성동,0.0,1.0,False,414.0,99.0,315.0,18.0,23.0,1000.0,11.0,9.0,3.1
SN2599,B15GS,사내,HSG성동,0.0,2.0,False,432.0,360.0,72.0,18.0,24.0,1000.0,24.0,15.0,8.3
SN2599,E360C,사내,오비,0.0,0.0,False,441.0,121.0,320.0,21.0,21.0,1000.0,11.0,11.0,1.8
SN2654,S121S,사내,봉암8,0.0,1.0,False,255.0,225.0,30.0,15.0,17.0,5.8,15.0,15.0,2.6
SN2463,F81GP,사내,봉암8,0.0,2.0,False,238.0,176.0,62.0,14.0,17.0,5.8,16.0,11.0,5.5
SN2638,D33AS,사내,덕곡2,0.0,0.0,False,176.0,176.0,0.0,11.0,16.0,5.0,16.0,11.0,2.2
SN2591,W820S,사내,봉암8,0.0,3.0,False,266.0,209.0,57.0,14.0,19.0,5.8,19.0,11.0,0.5
SN2466,E12GC,사내,덕곡2,0.0,1.0,False,10000.0,425.0,9575.0,100.0,100.0,100.0,25.0,17.0,8.4
SN2463,D29GC,사내,HSG성동,1.0,0.0,False,10000.0,752.0,9248.0,100.0,100.0,100.0,47.0,16.0,4.4
SN2631,M510S,사내,덕곡2,0.0,2.0,False,10000.0,306.0,9694.0,100.0,100.0,100.0,18.0,17.0,4.3
SN2654,H110S,한내,사내,0.0,0.0,False,,176.0,,,,,16.0,11.0,4.0
SN2463,S390S,오비,사내,0.0,0.0,False,,220.0,,,,,20.0,11.0,5.9
SN2463,S390P,덕곡1,사내,0.0,0.0,False,,220.0,,,,,20.0,11.0,5.9
SN2616,S14GP,HSG성동,사내,0.0,0.0,False,,242.0,,,,,22.0,11.0,3.1
SN2616,S14GS,오비,사내,0.0,1.0,False,,242.0,,,,,22.0,11.0,3.1
