vessel_id,block,length,width,height,weight,location
SN2661,A221S,17.0,11.0,4.9,55.0,사내
SN2608,D500P,11.0,8.0,2.4,5.0,사내
SN2463,F81GP,16.0,11.0,5.5,0.0,사내
SN2640,E22AS,11.0,10.0,4.6,9.0,사내
SN2608,D310P,20.0,14.0,5.3,33.0,사내
SN2638,D33AS,16.0,11.0,2.2,14.0,사내
SN2631,M510S,18.0,17.0,4.3,61.0,사내
SN2631,M510P,18.0,17.0,4.3,65.0,사내
SN2654,H110P,16.0,11.0,4.0,33.0,사내
SN2608,D500S,11.0,8.0,2.4,5.0,사내
SN2599,E360C,11.0,11.0,1.8,8.0,사내
SN2599,B15GS,24.0,15.0,8.3,0.0,사내
SN2591,W820S,19.0,11.0,0.5,19.0,사내
SN2661,D31DS,11.0,9.0,3.1,11.0,사내
SN2637,G310C,11.0,7.0,1.7,4.0,사내
SN2466,E12GC,25.0,17.0,8.4,0.0,사내
SN2463,D29GC,47.0,16.0,4.4,0.0,사내
SN2654,S121S,15.0,15.0,2.6,61.0,사내
SN2634,F310S,15.0,12.0,8.2,10.0,사내
SN2634,F310P,15.0,12.0,8.2,10.0,사내
SN2616,E650C,15.0,15.0,2.0,57.0,사내
SN2616,E570P,11.0,0.0,0.0,29.0,사내
SN2616,E550C,13.0,11.0,7.2,23.0,사내
SN2616,A21GC,41.0,17.0,7.2,0.0,사내
SN2464,D290P,25.0,16.0,4.3,59.0,사내
SN2654,H311S,16.0,15.0,4.3,77.0,사내
SN2639,E116S,11.0,8.0,2.4,9.0,사내
SN2634,F230C,11.0,10.0,4.6,6.0,사내
SN2634,F220C,18.0,14.0,4.6,26.0,사내
SN2631,E332S,15.0,11.0,2.2,13.0,사내
SN2616,S090S,15.0,12.0,3.1,15.0,사내
SN2616,S090P,15.0,12.0,3.1,15.0,사내
SN2599,D41AS,16.0,11.0,2.2,14.0,사내
SN2591,S40GS,29.0,16.0,7.9,0.0,사내
SN2591,S40GP,29.0,16.0,7.9,0.0,사내
SN2466,D194S,11.0,8.0,2.3,8.0,사내
SN2463,C820P,20.0,11.0,1.8,9.0,사내
SN2661,H160S,21.0,11.0,7.9,46.0,사내
SN2661,H160P,21.0,11.0,7.9,46.0,사내
SN2661,B150S,22.0,20.0,3.8,58.0,사내
