vessel_id,block,length,width,height,weight
SN2616,S14GP,22.0,11.0,3.1,0.0
SN2608,G140S,16.0,11.0,4.3,24.0
SN2608,F530C,21.0,11.0,3.3,24.0
SN2464,A310P,27.0,17.0,6.8,92.0
SN2661,E110S,21.0,14.0,8.8,108.0
SN2464,F510S,21.0,17.0,8.0,41.0
SN2464,F510P,21.0,17.0,8.0,41.0
SN2463,F72PP,26.0,14.0,9.2,0.0
SN2608,A210S,22.0,19.0,8.6,56.0
SN2608,A210P,22.0,19.0,8.6,55.0
SN2599,T551S,18.0,11.0,2.8,25.0
SN2457,S400S,20.0,18.0,5.2,76.0
SN2457,S400P,20.0,18.0,5.2,76.0
SN2456,E670C,21.0,11.0,5.2,64.0
SN2615,S72GP,16.0,15.0,6.5,0.0
SN2608,F220C,18.0,15.0,5.2,26.0
SN2591,E61GS,28.0,15.0,6.9,0.0
SN2463,E53GS,31.0,19.0,7.0,0.0
SN2463,E53GP,31.0,19.0,7.0,0.0
SN2637,B120S,20.0,13.0,3.2,55.0
SN2608,F440C,18.0,14.0,8.1,31.0
SN2599,E24PC,26.0,21.0,3.6,0.0
SN2466,E541S,17.0,17.0,2.5,72.0
SN2608,S16GP,40.0,19.0,5.4,0.0
SN2591,T180S,25.0,17.0,2.2,39.0
SN2591,T180P,25.0,22.0,2.2,62.0
SN2466,S83AP,17.0,11.0,1.8,17.0
SN2637,E410P,21.0,16.0,5.8,55.0
SN2464,T120S,32.0,22.0,2.0,94.0
SN2464,T120P,32.0,23.0,2.0,108.0
SN2467,H150S,20.0,11.0,3.4,26.0
SN2467,H150P,20.0,11.0,3.4,26.0
SN2599,T551P,18.0,11.0,2.8,29.0
SN2609,B111P,22.0,20.0,3.2,125.0
SN2467,H310P,19.0,12.0,2.7,37.0
SN2456,E730S,17.0,11.0,8.3,21.0
SN2456,E730P,17.0,11.0,8.3,21.0
,,21.0,21.0,1000.0,1000.0
,,21.0,21.0,1000.0,1000.0
,,22.0,20.0,1000.0,1000.0
,,22.0,20.0,1000.0,1000.0
,,23.0,20.0,1000.0,1000.0
,,23.0,20.0,1000.0,1000.0
,,20.0,17.0,1000.0,1000.0
,,20.0,18.0,1000.0,1000.0
,,20.0,20.0,1000.0,1000.0
,,22.0,17.0,1000.0,1000.0
,,22.0,19.0,1000.0,1000.0
,,23.0,18.0,1000.0,1000.0
,,23.0,21.0,1000.0,1000.0
,,24.0,18.0,1000.0,1000.0
,,24.0,21.0,1000.0,1000.0
