vessel_id,block,length,width,height,weight
SN2616,S14GS,22.0,11.0,3.1,0.0
SN2463,S390S,20.0,11.0,5.9,48.0
SN2608,D730S,16.0,15.0,6.7,31.0
SN2634,F440C,17.0,17.0,8.1,35.0
SN2616,E510S,14.0,12.0,7.1,31.0
SN2637,T140S,14.0,14.0,2.8,28.0
SN2607,D210C,20.0,20.0,2.7,54.0
SN2465,M900S,11.0,8.0,5.8,4.0
SN2465,M900P,11.0,8.0,5.8,4.0
SN2634,D620S,15.0,12.0,2.2,24.0
SN2608,D620S,15.0,12.0,2.2,22.0
SN2464,F210C,18.0,15.0,5.2,41.0
,,21.0,20.0,1000.0,1000.0
,,24.0,20.0,1000.0,1000.0
,,21.0,13.0,1000.0,1000.0
