vessel_id,block,length,width,height,weight
SN2637,M900S,11.0,6.0,3.5,1.0
SN2637,M900P,11.0,6.0,3.5,1.0
SN2463,W820P,19.0,11.0,2.3,18.0
SN2458,F810S,16.0,11.0,3.8,31.0
SN2458,F810P,16.0,11.0,3.8,31.0
SN2612,Y710C,11.0,0.0,0.0,6.0
SN2465,S18AS,18.0,11.0,1.8,38.0
SN2465,S18AP,18.0,11.0,1.8,38.0
SN2612,Y720C,11.0,0.0,0.0,7.0
SN2608,F230C,11.0,10.0,4.6,6.0
SN2463,E650C,16.0,13.0,5.2,47.0
SN2608,F210S,15.0,11.0,5.1,50.0
SN2608,F210P,15.0,11.0,5.1,9.0
SN2637,D111S,20.0,11.0,3.4,48.0
SN2637,D111P,20.0,11.0,3.4,45.0
SN2607,D390P,15.0,14.0,4.4,23.0
SN2607,D380P,16.0,14.0,4.4,26.0
SN2465,S12AS,20.0,11.0,1.8,48.0
SN2465,S12AP,20.0,11.0,1.8,48.0
SN2465,E331P,16.0,14.0,6.5,31.0
SN2661,M210P,16.0,15.0,5.2,61.0
SN2465,E331S,16.0,14.0,6.5,31.0
SN2608,D530S,24.0,11.0,6.7,39.0
SN2638,B184S,13.0,11.0,5.1,8.0
SN2638,B182S,11.0,11.0,4.8,15.0
SN2463,W820S,19.0,11.0,2.3,18.0
SN2638,H132P,22.0,11.0,5.1,53.0
SN2638,H131P,22.0,11.0,5.2,39.0
SN2637,F531S,13.0,11.0,3.4,13.0
SN2637,F531P,13.0,11.0,3.4,13.0
SN2638,B184P,13.0,11.0,5.1,8.0
SN2595,Y741C,11.0,0.0,0.0,0.0
SN2595,Y731C,11.0,0.0,0.0,0.0
,,17.0,13.0,5.8,1000.0
,,17.0,13.0,5.8,1000.0
,,16.0,13.0,5.8,1000.0
,,16.0,14.0,5.8,1000.0
,,17.0,14.0,5.8,1000.0
,,18.0,12.0,5.8,1000.0
,,19.0,12.0,5.8,1000.0
,,20.0,13.0,5.8,1000.0
,,20.0,14.0,5.8,1000.0
