vessel_id,block,length,width,height,weight
SN2463,S390P,20.0,11.0,5.9,48.0
SN2599,E260C,19.0,17.0,6.6,64.0
SN2463,F73PC,37.0,11.0,6.6,0.0
SN2609,S121S,22.0,16.0,2.6,91.0
SN2612,D390P,15.0,13.0,4.2,24.0
SN2612,D380P,16.0,13.0,4.2,25.0
SN2612,D210C,20.0,20.0,2.7,52.0
SN2608,F540C,15.0,15.0,3.2,50.0
SN2608,F510S,15.0,14.0,3.1,41.0
SN2608,F510P,15.0,14.0,3.1,41.0
SN2609,S121P,22.0,16.0,2.6,94.0
SN2599,T310P,16.0,16.0,2.8,66.0
SN2591,T170S,25.0,17.0,2.4,80.0
SN2591,T170P,25.0,21.0,2.4,116.0
SN2591,E61GP,28.0,15.0,6.9,0.0
SN2608,S200S,22.0,17.0,9.5,51.0
SN2608,S200P,22.0,17.0,9.5,51.0
SN2599,T110S,16.0,15.0,2.8,94.0
SN2465,E12GC,25.0,17.0,8.4,0.0
,,19.0,13.0,1000.0,1000.0
,,22.0,21.0,1000.0,1000.0
