vessel_id,block,length,width,height,weight
SN2607,Y900P,11.0,9.0,2.0,21.0
SN2463,S120S,24.0,20.0,3.4,60.0
SN2463,S120P,24.0,20.0,3.4,60.0
SN2634,E23GC,43.0,18.0,11.1,0.0
SN2465,E450C,20.0,14.0,5.2,44.0
SN2456,Y900C,13.0,11.0,2.8,64.0
SN2638,B111P,21.0,19.0,3.2,134.0
SN2637,E370C,19.0,11.0,3.6,22.0
SN2599,E420P,23.0,22.0,5.9,124.0
SN2464,H310S,19.0,12.0,2.7,37.0
SN2464,H310P,19.0,12.0,2.7,37.0
SN2463,B22GC,26.0,17.0,4.9,0.0
SN2638,E250C,19.0,11.0,3.2,38.0
SN2638,E240C,23.0,15.0,3.2,68.0
SN2634,E21GC,46.0,25.0,7.6,0.0
SN2599,E410S,24.0,22.0,5.9,98.0
SN2599,E410P,23.0,22.0,5.9,95.0
SN2599,A31GC,41.0,18.0,6.0,0.0
SN2598,D71GS,35.0,19.0,6.7,0.0
SN2464,E510S,23.0,13.0,5.2,46.0
SN2634,D720S,23.0,20.0,6.7,64.0
SN2612,Y900S,11.0,9.0,2.6,39.0
SN2464,H110S,19.0,15.0,4.7,44.0
SN2464,H110P,19.0,15.0,4.7,44.0
SN2464,E450C,20.0,14.0,5.2,44.0
SN2464,B110C,22.0,19.0,2.2,48.0
SN2463,B21GC,41.0,17.0,7.5,0.0
SN2463,A430C,14.0,11.0,3.1,39.0
SN2463,A420S,19.0,11.0,7.1,50.0
SN2463,A420P,19.0,11.0,7.1,50.0
SN2457,S220S,22.0,16.0,7.8,28.0
SN2457,S220P,22.0,16.0,7.8,28.0
SN2464,E510P,24.0,14.0,5.2,54.0
SN2599,S13GS,32.0,22.0,7.7,0.0
SN2599,S13GP,32.0,22.0,7.7,0.0
SN2465,D290S,22.0,16.0,4.3,56.0
SN2465,D190S,16.0,16.0,5.1,64.0
SN2457,Y900C,13.0,11.0,2.8,64.0
SN2463,Y900C,13.0,11.0,2.8,64.0
SN2608,D720S,21.0,20.0,6.7,62.0
SN2608,D710S,24.0,20.0,6.7,59.0
SN2464,E11GC,42.0,16.0,7.6,0.0
SN2638,E21PS,25.0,14.0,5.0,0.0
SN2638,E21PP,25.0,14.0,5.0,0.0
SN2465,D290P,25.0,16.0,4.3,59.0
SN2634,A21GC,41.0,18.0,9.6,0.0
SN2599,F120C,17.0,14.0,4.2,28.0
SN2465,B190S,20.0,16.0,2.4,1.0
SN2465,B190P,20.0,16.0,2.4,3.0
SN2464,E53GP,31.0,19.0,7.0,0.0
SN2466,B191S,20.0,16.0,2.4,64.0
SN2466,B191P,20.0,16.0,2.4,71.0
SN2464,E53GS,31.0,19.0,7.0,0.0
SN2599,D111S,22.0,11.0,1.9,63.0
SN2599,D111P,22.0,11.0,1.9,57.0
SN2612,T15GC,33.0,31.0,4.4,0.0
SN2607,T15GC,33.0,31.0,4.4,0.0
SN2609,B131P,21.0,19.0,3.2,135.0
SN2458,T250S,32.0,23.0,3.1,63.0
SN2458,T250P,32.0,23.0,3.1,80.0
SN2634,T11GC,31.0,30.0,2.7,0.0
SN2634,S11GP,41.0,21.0,8.3,0.0
SN2599,S140P,19.0,16.0,5.5,49.0
SN2634,B14GP,27.0,21.0,8.7,0.0
SN2637,E11GS,52.0,17.0,8.3,0.0
SN2463,T12GC,45.0,32.0,2.8,0.0
SN2638,A211S,20.0,15.0,9.1,129.0
SN2638,A211P,20.0,15.0,9.1,122.0
SN2634,E31GS,42.0,16.0,5.6,0.0
SN2612,D71GS,35.0,21.0,8.9,0.0
SN2599,B13GP,32.0,23.0,8.3,0.0
SN2634,E31GP,42.0,16.0,5.6,0.0
SN2599,B13GS,32.0,24.0,8.3,0.0
SN2608,E52GC,46.0,21.0,5.5,0.0
SN2608,E42GC,46.0,21.0,5.8,0.0
SN2608,E41GC,46.0,21.0,5.8,0.0
SN2634,T12GC,32.0,31.0,2.9,0.0
SN2457,S150S,29.0,20.0,3.4,77.0
SN2634,E11VC,60.0,46.0,16.4,0.0
SN2463,E13VC,57.0,51.0,33.6,0.0
SN2607,E11VC,60.0,46.0,18.6,0.0
SN2457,B13VC,59.0,51.0,33.6,0.0
,,21.0,20.0,1000.0,1000.0
,,21.0,20.0,1000.0,1000.0
,,20.0,19.0,1000.0,1000.0
,,20.0,20.0,1000.0,1000.0
,,23.0,18.0,1000.0,1000.0
,,24.0,21.0,1000.0,1000.0
