vessel_id,block,length,width,height,weight
SN2654,H110S,16.0,11.0,4.0,33.0
SN2599,E370C,20.0,11.0,3.7,22.0
SN2599,E380C,20.0,11.0,1.3,8.0
SN2616,E510P,15.0,14.0,7.1,38.0
SN2634,F210S,15.0,11.0,4.5,8.0
SN2591,S080S,15.0,12.0,5.6,16.0
SN2638,H152S,22.0,11.0,5.1,53.0
SN2638,H151S,22.0,11.0,5.2,49.0
SN2637,T140P,15.0,14.0,2.8,31.0
SN2591,S380S,15.0,14.0,3.1,19.0
SN2591,S380P,15.0,14.0,3.1,20.0
SN2463,F710S,16.0,11.0,2.6,20.0
SN2463,F710P,16.0,11.0,2.6,20.0
SN2463,F620P,19.0,11.0,2.7,22.0
SN2637,H120S,21.0,12.0,6.5,32.0
SN2638,M900S,11.0,6.0,3.5,1.0
SN2638,M900P,11.0,6.0,3.5,1.0
SN2609,S13AS,21.0,11.0,2.7,24.0
SN2458,S230S,20.0,13.0,9.1,23.0
SN2458,S230P,20.0,13.0,9.1,22.0
SN2458,B230C,18.0,17.0,5.0,0.0
SN2457,W830C,15.0,11.0,2.8,12.0
SN2661,D372S,16.0,11.0,5.3,27.0
SN2661,D371S,16.0,11.0,6.4,24.0
SN2637,H120P,21.0,12.0,6.5,32.0
SN2616,T190C,12.0,11.0,2.2,25.0
SN2615,S710S,11.0,11.0,2.7,10.0
SN2615,S710P,11.0,11.0,2.7,10.0
SN2615,S60GS,29.0,11.0,3.9,0.0
SN2615,S60GP,29.0,11.0,3.9,0.0
SN2591,S390S,15.0,14.0,5.2,18.0
SN2591,S390P,15.0,14.0,5.2,18.0
SN2464,H510P,19.0,11.0,2.6,30.0
SN2464,H200S,19.0,14.0,5.6,66.0
SN2464,H200P,19.0,14.0,5.6,66.0
SN2463,S200S,20.0,13.0,9.1,30.0
SN2463,S200P,20.0,13.0,9.1,30.0
SN2457,F710S,16.0,11.0,2.6,20.0
SN2457,F710P,16.0,11.0,2.6,20.0
SN2464,W831C,14.0,11.0,2.4,7.0
SN2464,T460S,21.0,20.0,2.6,63.0
SN2464,T460P,21.0,21.0,2.6,73.0
SN2661,D371P,16.0,11.0,6.4,25.0
SN2458,F730S,19.0,11.0,6.6,21.0
SN2458,F730P,20.0,11.0,6.6,28.0
SN2638,H152P,22.0,11.0,5.1,53.0
SN2638,H151P,22.0,11.0,5.2,49.0
SN2628,E323P,13.0,11.0,2.6,5.0
SN2661,D19AP,16.0,11.0,3.7,38.0
SN2638,A212S,20.0,11.0,7.0,50.0
SN2609,S13AP,21.0,11.0,2.7,24.0
SN2599,D713S,17.0,11.0,1.0,11.0
SN2457,S630S,18.0,11.0,7.9,19.0
SN2457,S630P,18.0,11.0,7.9,19.0
SN2457,S430S,19.0,19.0,8.0,35.0
SN2457,S430P,19.0,19.0,8.0,35.0
SN2457,F510S,21.0,17.0,8.0,41.0
SN2457,F510P,21.0,17.0,8.0,41.0
SN2634,D732S,14.0,11.0,2.6,14.0
SN2456,S830S,17.0,11.0,5.8,21.0
SN2456,S830P,17.0,11.0,5.8,21.0
SN2467,H310S,19.0,12.0,2.7,37.0
SN2467,H110S,19.0,15.0,4.7,44.0
SN2467,H110P,19.0,15.0,4.7,44.0
SN2457,A430C,14.0,11.0,3.1,39.0
