PROJ_NO,BLK_NO,LTH,BTH,HGT,NET_WGT,WKA_CD,DTL_ARNO_CD,MODI_WKA_DESC,WK_NM,IA_NOW_P_STG,NOW_CODE_DESC,IA_NOW_STDT,IA_NOW_FNDT,IM_NOW_FNDT,IA_NOW_SCTN_CD,IA_NOW_WKA_NM,IA_NOW_WK_CENT,IA_NOW_WK_CENT_DSC,IA_AF_BLK_NO,IA_AF_P_STG,AF_CODE_DESC,IA_AF_STDT,IA_AF_FNDT,IM_AF_STDT,IA_AF_SCTN_CD,IA_AF_WKA_NM,IA_AF_WK_CENT,IA_AF_WK_CENT_DSC,LOGI_UPLOAD_DT,LOGI_CHK_DT,LOGI_CHK_DESC,TRNS_FNDT,EXP_PRE_OUTFIT_STDT,IA_AF_STDT_HIS,PRE_OUTFIT_NOTE,TB_NM,IN_OUT_AREA,ACCUM_YN,LEN_PROJ_NO,LEN_BLK_NO,LOG_TIME,GO_OUT_CHK,CHECK_CUR_JOB,CHECK_NEXT_JOB,LOGI_BUFFER_TIME,YARD_IN_DT,CHECK_SIZE,CHECK_DAY_NIGHT,NOW_WORK,CHECK_WORK,CHECK_IN,CHECK_OUTFITTING,RANK
SN2661,A221S,8.200,16.100,4.900,55.000,UA,11,UA-11,부수이동,OP,내업의장,20240524,20240524,20240614,생산1,S1,1J95300,전략생산팀(의장그룹)의장3과,A220S,A,대조립(ASSEMBLY),20240618,20240701,,,,,,,,,20240523.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,True,2,1,21,20240618,1,0,STOCK,1,1,1,1
SN2608,D500P,8.000,5.100,2.400,5.000,OFD,01,OFD-01,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240517,20240517,20240611,생산2,3QP,1G43200,족장부족장2과,D500P,OU,올리기(BLOCK LIFT UP),20240618,20240618,20240611,생산2,3QP,1G43200,족장부족장2과,20240508,20240507,선행의장,20240522.0,,,도장입동,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,True,3,0,21,20240618,1,0,STOCK,1,1,1,2
SN2463,F81GP,15.100,8.400,5.500,0.000,RD38,08,RD38-08,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240527,20240527,20240530,생산2,3K,1G43200,족장부족장2과,F81GP,OU,올리기(BLOCK LIFT UP),20240617,20240617,20240530,생산2,3K,1G43200,족장부족장2과,20240527,20240527,도장,20240526.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,True,3,0,20,20240617,1,0,STOCK,1,1,1,3
SN2640,E22AS,9.800,3.900,4.600,9.000,UA,14,UA-14,부수이동,MP,선행중조,20240510,20240523,20240607,생산1,R2,1J92300,[가상]전략생산팀(가공그룹)조립2과,E221S,M,중조(MID ASSEMBLY),20240614,20240625,,,,,,,,,20240527.0,,,,TB_PRNT_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,0,17,20240614,1,0,STOCK,1,1,1,4
SN2608,D310P,19.600,13.600,5.300,33.000,KB,05,KB-05,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240524,20240524,20240611,생산1,H,1J97200,전략생산팀(지원)족장과(삭제예정),D310P,OU,올리기(BLOCK LIFT UP),20240614,20240614,20240611,생산1,H,1J97200,전략생산팀(지원)족장과(삭제예정),20240524,20240524,도장,20240526.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,17,20240614,1,0,STOCK,1,1,1,5
SN2638,D33AS,15.500,4.600,2.200,14.000,JB,05,JB-05,부수이동,MP,선행중조,20240522,20240527,20240607,생산1,N5,1J92500,[가상]전략생산팀(가공그룹)조립3과,D331S,M,중조(MID ASSEMBLY),20240613,20240619,,,,,,,,,20240528.0,,,,TB_PRNT_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,0,16,20240613,1,0,STOCK,1,1,1,6
SN2631,M510S,16.600,17.200,4.300,61.000,OD,11,OD-11,부수이동,TO,SHOP OUT(검사/OUT),20240528,20240528,20240529,생산1,,,,M510S,O,선행의장(OUTFITTING),20240613,20240711,20240529,생산1,,,,,,,20240528.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,2,16,20240613,1,0,STOCK,1,1,1,7
SN2631,M510P,16.600,17.300,4.300,65.000,OD,12,OD-12,부수이동,TO,SHOP OUT(검사/OUT),20240517,20240517,20240529,생산1,,,,M510P,O,선행의장(OUTFITTING),20240613,20240711,20240529,생산1,,,,,,,20240519.0,,,,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,0,2,16,20240613,1,0,STOCK,1,1,1,8
SN2654,H110P,15.700,10.200,4.000,33.000,OB,12,OB-12,부수이동,TO,SHOP OUT(검사/OUT),20240523,20240523,20240527,생산1,,,,H110P,OU,올리기(BLOCK LIFT UP),20240612,20240612,20240527,생산1,,,,,,,20240527.0,,,,TB_SAME_BLK_NOW_AF,사내,작업장,6,5,2024-05-28 17:32:54.050,False,0,0,15,20240612,1,0,STOCK,1,1,1,9
SN2608,D500S,8.000,5.100,2.400,5.000,OFD,01,OFD-01,부수이동,TQ,도장 족장해체(PNT DESTAGING),20240517,20240517,20240611,생산2,3K,1G43200,족장부족장2과,D500S,OU,올리기(BLOCK LIFT UP),20240612,20240612,20240611,생산2,3K,1G43200,족장부족장2과,20240508,20240507,선행의장,20240522.0,,,도장입동,TB_SAME_BLK_NOW_AF,사내,적치장,6,5,2024-05-28 17:32:54.050,False,3,0,15,20240612,1,0,STOCK,1,1,1,10
