,vessel_id,block,length,width,height,weight,location,priority,in,not_in
0,SN2661,A412S,14.6,7.6,3.2,31.0,사내,1.0,덕곡1,"봉암8, 봉암9, 덕곡2, 신한내, HSG성동, 한내, 오비, 오비3"
1,SN2661,A412P,14.6,7.6,3.2,31.0,사내,2.0,,"봉암9,신한내,오비,HSG성동"
2,SN2661,A411P,7.5,12.7,6.6,21.0,사내,3.0,,
3,SN2599,D500P,7.6,4.5,2.4,4.0,사내,4.0,신한내,"봉암8, 봉암9, 덕곡1, 덕곡2, HSG성동, 한내, 오비, 오비3"
4,SN2661,R382S,4.2,5.1,5.1,10.0,사내,5.0,,
5,SN2661,R350S,5.1,4.3,5.2,1.0,사내,6.0,오비3,"봉암8, 봉암9, 덕곡1, 덕곡2, 신한내, HSG성동, 한내, 오비"
6,SN2637,D340P,20.1,13.5,4.4,33.0,사내,7.0,,
7,SN2637,D310P,19.7,13.6,5.3,34.0,사내,8.0,,
8,SN2639,M510S,22.7,17.5,3.7,67.0,사내,9.0,,
9,SN2631,T121S,13.4,15.5,2.9,72.0,사내,10.0,,
10,SN2631,D32AS,16.0,4.5,2.2,15.0,사내,11.0,,
11,SN2599,D500S,7.6,4.5,2.4,4.0,사내,12.0,,
12,SN2661,E120P,23.5,10.7,7.9,54.0,사내,13.0,,
13,SN2661,A220P,13.9,16.1,6.5,51.0,사내,14.0,,
14,SN2640,E332P,14.8,4.9,2.5,14.0,사내,15.0,,
15,SN2637,F530C,8.2,20.0,3.3,19.0,사내,16.0,,
16,SN2610,T121S,13.4,15.5,2.9,71.0,사내,17.0,,
17,SN2609,S110P,21.3,20.8,8.1,60.0,사내,18.0,,
18,SN2599,F410P,14.4,15.9,8.3,25.0,사내,19.0,,
19,SN2661,E313S,7.2,7.4,4.4,29.0,사내,20.0,,
20,SN2640,E332S,14.8,4.9,2.5,13.0,사내,21.0,,
21,SN2638,T310S,15.9,14.9,2.8,73.0,사내,22.0,,
22,SN2637,F430C,13.7,21.5,8.2,9.0,사내,23.0,,
23,SN2628,E541S,15.5,12.2,2.5,52.0,사내,24.0,,
24,SN2599,F220C,13.1,19.8,4.2,32.0,사내,25.0,,
25,SN2661,T711S,18.7,5.8,3.5,27.0,사내,26.0,,
26,SN2661,T711P,18.7,5.8,3.5,27.0,사내,27.0,,
27,SN2661,E160S,22.0,14.2,7.9,105.0,사내,28.0,,
28,SN2661,E160P,22.0,14.2,7.9,99.0,사내,29.0,,
29,SN2661,E120S,23.5,10.7,7.9,58.0,사내,30.0,,
269,SN2466,E530S,14.1,18.5,6.7,51.0,HSG성동,30.0,,
270,SN2466,E530P,14.1,18.5,6.7,50.0,HSG성동,30.0,,
271,SN2591,D560C,6.6,8.1,5.8,23.0,한내,30.0,,
272,SN2466,H180P,17.3,7.9,4.8,23.0,한내,30.0,,
273,SN2466,H390S,19.9,8.2,2.7,29.0,한내,30.0,,
