vessel_id,block,length,width,height,weight,location
SN2616,S14GS,9.2,21.8,3.1,0,오비
SN2616,S14GP,9.2,21.8,3.1,0,HSG성동
SN2463,S390S,19.7,10.1,5.9,48,오비
SN2463,S390P,19.7,10.1,5.9,48,덕곡1
SN2654,H110S,15.7,10.2,4,33,한내
SN2608,G140S,6.6,15.3,4.3,24,HSG성동
SN2608,F530C,8.3,20.4,3.3,24,HSG성동
SN2599,E370C,5,19.1,3.7,22,한내
SN2464,A310P,17,26.2,6.8,92,HSG성동
SN2661,E110S,20.3,13.1,8.8,108,HSG성동
SN2599,E380C,3.3,19.1,1.3,8,한내
SN2637,M900S,5.7,5.7,3.5,1,봉암9
SN2637,M900P,5.7,5.7,3.5,1,봉암9
SN2608,D730S,14.8,15.3,6.7,31,오비
SN2661,E41XS,11.4,5.2,4.8,18,오비
SN2634,F440C,16.2,16.9,8.1,35,오비
SN2616,E520P,14.6,14.6,7.2,34,오비3
SN2616,E510S,13.4,12,7.1,31,오비
SN2616,E510P,13.4,14.9,7.1,38,한내
SN2599,E260C,17,19,6.6,64,덕곡1
SN2463,W820P,5.4,18.9,2.3,18,봉암9
SN2463,S190S,19.7,15.8,6.7,52,오비3
SN2458,F810S,15.1,8.4,3.8,31,봉암9
SN2458,F810P,15.1,8.4,3.8,31,봉암9
SN2607,Y900P,8.1,6.6,2,21,신한내
SN2634,F210S,14.7,11,4.5,8,한내
SN2612,Y710C,0,0,0,6,봉암9
SN2591,S080S,14.8,11.4,5.6,16,한내
SN2464,F510S,16.4,21,8,41,HSG성동
SN2464,F510P,16.4,21,8,41,HSG성동
