,vessel_id,block,length,width,height,weight,location
245, SN2601, A110S,11.0,6.0,10.5,16.0,사내
446, SN2463, E424S,11.0,4.0,2.6,3.0,사내
516, SN2615, E61AP,11.0,10.0,2.0,7.0,사내
584, SN2597, F310P,15.0,12.0,8.2,10.0,사내
20, SN2615, S141S,15.0,11.0,2.3,31.0,사내
529, SN2596, D730S,14.0,14.0,6.7,24.0,사내
295, SN2599, E11FP,11.0,8.0,3.2,22.0,사내
32, SN2616, E43AP,11.0,11.0,2.6,7.0,사내
143, SN2453, H200P,19.0,14.0,5.6,66.0,사내
131, SN2597, E520P,22.0,14.0,5.6,73.0,사내
144, SN2612, S13AS,21.0,11.0,2.7,24.0,사내
407, SN2611, D530S,16.0,11.0,2.2,16.0,사내
437, SN2598, T321S,19.0,16.0,3.1,94.0,사내
