,vessel_id,block,length,width,height,weight,location
480, SN2598, Y900S,11.0,9.0,2.4,23.0,사내
32, SN2616, E43AP,11.0,11.0,2.6,7.0,사내
234, SN2614, F730P,15.0,11.0,4.4,25.0,사내
531, SN2590, F300C,11.0,9.0,3.0,10.0,사내
435, SN2456, E373P,12.0,11.0,1.0,10.0,사내
245, SN2601, A110S,11.0,6.0,10.5,16.0,사내
355, SN2601, B202P,15.0,11.0,7.5,11.0,사내
253, SN2598, H150S,15.0,11.0,8.2,14.0,사내
235, SN2614, S380S,15.0,14.0,3.1,19.0,사내
197, SN2615, E511P,12.0,11.0,5.2,15.0,사내
40, SN2615, E55AC,11.0,9.0,5.2,13.0,사내
529, SN2596, D730S,14.0,14.0,6.7,24.0,사내
572, SN2457, D291S,11.0,10.0,2.0,4.0,사내
255, SN2457, E210S,15.0,13.0,6.0,32.0,사내
592, SN2598, B131P,17.0,16.0,3.1,101.0,사내
583, SN2611, T330S,18.0,16.0,2.9,45.0,사내
479, SN2591, E310P,17.0,15.0,4.9,42.0,사내
388, SN2601, B121P,20.0,16.0,3.2,109.0,사내
292, SN2603, E410S,21.0,16.0,5.7,58.0,사내
