vessel_id,block,length,width,height,weight,location
 SN2603, D640S,19.0,11.0,4.6,29.0,한내
 SN2597, G510P,11.0,5.0,1.6,2.0,봉암9
 SN2603, T151C,20.0,15.0,2.7,98.0,신한내
 SN2452, C710P,19.0,11.0,0.7,9.0,OFD
 SN2607, E541S,11.0,6.0,2.5,5.0,한내
 SN2602, D730S,19.0,11.0,6.2,19.0,한내
 SN2452, S430P,19.0,19.0,8.0,35.0,성동
 SN2597, F540C,15.0,15.0,3.4,49.0,성동
 SN2597, D720S,23.0,20.0,6.7,64.0,덕곡1
 SN2590, E540P,15.0,14.0,3.4,33.0,덕곡2
 SN2602, D180C,20.0,16.0,2.7,45.0,성동
 SN2601, A110S,11.0,6.0,10.5,16.0,한내
 SN2598, T720P,20.0,11.0,3.1,18.0,봉암9
 SN2615, E52AS,11.0,9.0,1.7,5.0,오비1
 SN2453, C710S,20.0,11.0,0.7,10.0,덕곡2
 SN2463, E51AS,14.0,11.0,2.0,15.0,성동
