vessel_id,block,length,width,height,weight,location
 SN2615, M110P,16.0,11.0,4.3,52.0,사내
 SN2457, A313P,18.0,11.0,3.5,20.0,사내
 SN2454, F320C,16.0,11.0,5.2,5.0,OFD
 SN2463, D39AP,21.0,11.0,2.0,16.0,OFD
 SN2456, E611S,16.0,11.0,2.5,17.0,봉암8
 SN2626, S160P,25.0,20.0,3.3,101.0,사내
 SN2615, D550S,11.0,7.0,5.8,8.0,성동
 SN2455, M710S,15.0,11.0,3.3,69.0,성동
 SN2591, D150P,12.0,11.0,5.8,19.0,사내
 SN2611, T340S,18.0,17.0,2.9,45.0,덕곡1
 SN2598, S112S,21.0,11.0,3.8,23.0,사내
 SN2616, E43AP,11.0,11.0,2.6,7.0,사내
 SN2603, A110P,11.0,7.0,11.5,19.0,한내
 SN2453, E710S,24.0,13.0,6.6,88.0,한내
 SN2611, E540C,24.0,19.0,5.2,99.0,오비1
 SN2601, D311P,20.0,14.0,4.9,48.0,덕곡2
 SN2614, E440P,19.0,16.0,7.5,27.0,사내
 SN2598, D721S,18.0,11.0,1.0,13.0,성동
 SN2614, S600P,15.0,11.0,3.1,14.0,성동
 SN2590, A420S,15.0,11.0,5.1,18.0,사내
 SN2602, D180C,20.0,16.0,2.7,45.0,사내
 SN2627, H120P,19.0,11.0,6.6,16.0,사내
 SN2611, D201P,18.0,11.0,1.9,37.0,사내
 SN2615, S161P,15.0,13.0,3.1,37.0,성동
 SN2598, E380C,20.0,11.0,1.3,8.0,사내
 SN2598, M610C,20.0,18.0,3.2,55.0,사내
 SN2455, M510S,19.0,12.0,4.7,58.0,봉암9
 SN2612, E421S,11.0,10.0,1.5,11.0,한내
 SN2591, D160S,12.0,11.0,5.8,18.0,사내
 SN2611, D371P,20.0,14.0,4.1,48.0,사내
 SN2455, C400S,20.0,11.0,0.7,11.0,OFD
 SN2601, D510S,22.0,11.0,7.0,36.0,사내
 SN2463, E423S,11.0,11.0,2.6,10.0,봉암8
 SN2627, D280P,20.0,12.0,1.6,35.0,사내
 SN2615, D360P,16.0,11.0,5.5,37.0,사내
 SN2602, D710S,15.0,11.0,5.9,7.0,사내
 SN2611, D310P,20.0,14.0,5.3,32.0,사내
 SN2591, D160P,12.0,11.0,5.8,19.0,사내
 SN2603, D820S,11.0,4.0,4.1,2.0,사내
 SN2456, D392S,20.0,11.0,2.0,11.0,봉암8
 SN2608, E32AP,11.0,8.0,3.8,10.0,사내
 SN2601, E420P,21.0,15.0,5.9,62.0,사내
 SN2607, E531C,19.0,17.0,1.8,54.0,성동
 SN2454, F710S,16.0,11.0,2.6,20.0,사내
 SN2453, S400P,20.0,18.0,5.2,76.0,사내
 SN2627, B180S,19.0,16.0,2.3,46.0,신한내
