vessel_id,block,length,width,height,weight,location
 SN2597, D370P,21.0,14.0,4.4,35.0,사내
 SN2452, S430P,19.0,19.0,8.0,35.0,사내
 SN2598, E420P,23.0,22.0,5.9,124.0,사내
 SN2611, D360S,15.0,13.0,4.2,23.0,사내
 SN2611, B120P,22.0,16.0,3.2,68.0,사내
 SN2603, T110S,15.0,15.0,2.7,86.0,사내
 SN2611, D120C,20.0,16.0,2.7,47.0,사내
 SN2603, F312S,17.0,11.0,4.0,32.0,사내
 SN2616, S36XS,13.0,11.0,1.7,21.0,사내
 SN2612, M210P,20.0,11.0,3.6,54.0,사내
 SN2598, S122P,20.0,11.0,3.8,22.0,사내
 SN2598, H140S,16.0,11.0,8.2,13.0,사내
 SN2616, E421P,15.0,11.0,1.4,11.0,사내
 SN2455, C400S,20.0,11.0,0.7,11.0,사내
 SN2603, T510P,11.0,6.0,2.7,7.0,사내
