vessel_id,block,length,width,height,weight,location
 SN2455, M900S,11.0,8.0,5.8,4.0,신한내
 SN2614, S380P,15.0,14.0,3.1,20.0,신한내
 SN2603, D320P,16.0,14.0,4.2,25.0,봉암9
 SN2454, F310S,16.0,14.0,7.8,29.0,OFD
 SN2603, F421P,13.0,11.0,3.8,20.0,성동
 SN2598, T322S,16.0,11.0,3.0,38.0,덕곡2
 SN2603, T120P,17.0,14.0,2.9,44.0,봉암8
 SN2603, D330P,16.0,13.0,4.2,24.0,신한내
 SN2463, A21FS,11.0,8.0,2.8,7.0,신한내
 SN2601, B140S,21.0,16.0,3.2,70.0,신한내
 SN2603, D330S,16.0,13.0,4.2,25.0,덕곡2
 SN2603, D340S,20.0,13.0,4.2,31.0,OFD
 SN2590, E540S,15.0,14.0,3.4,33.0,오비1
 SN2612, A110P,11.0,7.0,11.5,19.0,신한내
 SN2456, A12DP,11.0,9.0,2.6,5.0,신한내
 SN2611, F521P,16.0,11.0,2.8,11.0,덕곡2
 SN2601, M510P,22.0,18.0,3.7,69.0,덕곡1
 SN2597, D340P,21.0,14.0,4.4,33.0,신한내
 SN2596, D720S,23.0,20.0,6.7,64.0,덕곡1
