vessel_id,block,length,width,height,weight,location
 SN2455, B180S,19.0,18.0,2.3,53.0,사내
 SN2456, E320S,16.0,13.0,5.9,31.0,사내
 SN2453, C720P,22.0,11.0,0.7,11.0,사내
 SN2597, D390S,15.0,14.0,4.4,25.0,사내
 SN2614, F520P,13.0,11.0,5.2,11.0,사내
 SN2602, T350S,16.0,16.0,2.8,32.0,사내
 SN2611, D130C,20.0,16.0,1.9,48.0,사내
 SN2615, A421P,11.0,6.0,4.9,7.0,사내
 SN2455, E510S,23.0,13.0,5.2,46.0,사내
 SN2597, D360P,16.0,15.0,4.9,27.0,사내
 SN2611, E230S,17.0,13.0,4.7,28.0,사내
 SN2603, F121P,15.0,11.0,3.8,40.0,사내
 SN2612, E120S,12.0,11.0,6.7,1.0,사내
 SN2457, E241P,15.0,11.0,6.2,32.0,사내
 SN2598, S130P,21.0,16.0,8.1,49.0,사내
 SN2612, E110S,18.0,17.0,7.8,27.0,사내
 SN2598, B111P,21.0,17.0,3.1,120.0,사내
 SN2607, M210P,20.0,11.0,3.6,54.0,사내
 SN2598, B120P,20.0,17.0,3.1,65.0,사내
 SN2615, F32CC,11.0,8.0,2.2,11.0,사내
 SN2601, T310P,16.0,15.0,2.8,60.0,사내
 SN2597, F220C,18.0,14.0,4.6,26.0,사내
