vessel_id,block,length,width,height,weight,location
 SN2456, E320S,16.0,13.0,5.9,31.0,성동
 SN2611, T120P,17.0,14.0,2.9,44.0,신한내
 SN2611, D171S,20.0,11.0,1.9,45.0,성동
 SN2455, M610P,20.0,12.0,4.3,54.0,성동
 SN2455, E610S,16.0,13.0,6.0,42.0,사내
 SN2603, E510S,21.0,14.0,5.3,51.0,사내
 SN2597, Y540P,12.0,12.0,4.0,22.0,봉암8
 SN2602, F520P,19.0,18.0,6.3,81.0,사내
 SN2611, K180C,15.0,12.0,3.2,31.0,사내
 SN2615, E360C,11.0,10.0,2.8,8.0,사내
 SN2603, D350P,16.0,13.0,4.2,24.0,성동
 SN2601, D35AS,16.0,11.0,2.2,20.0,봉암9
 SN2601, T310P,16.0,15.0,2.8,60.0,사내
 SN2615, E54YS,15.0,11.0,1.1,18.0,덕곡2
 SN2601, T120S,16.0,14.0,2.9,41.0,봉암8
 SN2601, D321P,16.0,14.0,4.1,39.0,봉암9
 SN2457, E412S,11.0,11.0,2.0,8.0,사내
 SN2627, D380S,19.0,13.0,5.3,57.0,성동
 SN2601, D716S,13.0,11.0,1.0,10.0,사내
 SN2601, E310P,15.0,14.0,5.0,26.0,봉암9
 SN2601, D311S,20.0,14.0,4.9,51.0,신한내
 SN2602, D610S,11.0,10.0,4.0,10.0,봉암9
 SN2603, D840S,11.0,8.0,2.7,7.0,덕곡2
 SN2604, Y900P,11.0,9.0,2.4,39.0,덕곡2
 SN2597, D400P,20.0,14.0,4.4,32.0,사내
 SN2463, D29BP,13.0,11.0,2.0,7.0,사내
 SN2453, E710S,24.0,13.0,6.6,88.0,사내
 SN2627, E360C,15.0,12.0,4.3,30.0,사내
 SN2612, E514S,21.0,11.0,2.8,15.0,한내
 SN2597, D191P,15.0,11.0,1.9,34.0,오비3
 SN2607, A211P,20.0,15.0,8.9,113.0,사내
 SN2627, D180P,20.0,13.0,4.2,41.0,덕곡2
 SN2454, F310S,16.0,14.0,7.8,29.0,성동
 SN2598, D37AS,22.0,11.0,2.2,26.0,성동
 SN2457, A313P,18.0,11.0,3.5,20.0,봉암9
 SN2601, D341S,20.0,14.0,4.1,52.0,성동
 SN2603, D640S,19.0,11.0,4.6,29.0,성동
 SN2602, D210C,20.0,20.0,2.7,52.0,덕곡1
 SN2455, D290S,22.0,16.0,4.3,56.0,사내
 SN2601, E380C,19.0,11.0,1.3,7.0,성동
 SN2612, M610C,20.0,18.0,3.3,60.0,사내
 SN2456, B121S,20.0,16.0,2.2,58.0,사내
 SN2612, T531P,11.0,6.0,2.8,6.0,신한내
 SN2611, D191S,15.0,11.0,1.9,31.0,덕곡2
 SN2457, D292S,13.0,11.0,2.0,7.0,덕곡1
 SN2602, F350C,11.0,9.0,3.8,4.0,성동
 SN2627, B120S,19.0,18.0,2.6,53.0,덕곡1
 SN2626, E620S,22.0,12.0,4.8,111.0,사내
 SN2611, D640S,19.0,11.0,4.6,28.0,사내
 SN2456, H121P,21.0,11.0,5.0,36.0,사내
 SN2590, F300C,11.0,9.0,3.0,10.0,사내
 SN2601, B120S,20.0,16.0,3.2,69.0,신한내
 SN2596, Y900S,11.0,9.0,2.1,21.0,봉암8
 SN2611, F311S,15.0,11.0,5.3,25.0,봉암9
 SN2591, H160S,14.0,11.0,3.0,14.0,사내
 SN2456, A12AS,11.0,7.0,2.8,6.0,사내
 SN2455, S100S,20.0,14.0,3.3,42.0,사내
 SN2614, F622S,12.0,11.0,3.6,11.0,사내
 SN2454, F520P,16.0,14.0,5.2,22.0,사내
 SN2627, A310P,27.0,17.0,4.9,85.0,사내
 SN2614, S600S,15.0,11.0,3.1,14.0,성동
 SN2598, B121P,20.0,17.0,3.1,108.0,사내
 SN2615, L150S,18.0,12.0,8.3,28.0,성동
 SN2601, D131S,16.0,11.0,1.9,38.0,사내
 SN2611, M110P,21.0,11.0,6.3,84.0,성동
 SN2601, E520P,22.0,14.0,5.6,73.0,OFD
 SN2603, D360S,15.0,13.0,4.2,23.0,성동
 SN2454, W831C,14.0,11.0,2.4,7.0,사내
 SN2454, W820P,19.0,11.0,2.3,18.0,성동
 SN2603, S130P,21.0,19.0,5.4,60.0,성동
 SN2611, E370C,19.0,11.0,4.9,18.0,한내
 SN2601, D341P,20.0,14.0,4.1,49.0,덕곡2
 SN2611, E520P,22.0,14.0,5.6,74.0,OFD
 SN2602, D380P,16.0,13.0,4.2,25.0,덕곡2
 SN2455, S120P,24.0,20.0,3.4,60.0,덕곡1
 SN2456, D193S,11.0,9.0,2.3,7.0,성동
 SN2607, E210S,15.0,12.0,3.7,26.0,봉암8
 SN2598, T120S,21.0,11.0,3.0,22.0,사내
 SN2612, E322S,13.0,11.0,3.1,14.0,사내
 SN2611, T510S,11.0,6.0,2.7,7.0,오비1
 SN2634, A21BS,14.0,11.0,3.2,20.0,한내
 SN2615, E54YP,15.0,11.0,1.1,18.0,봉암9
 SN2456, E210S,15.0,13.0,6.0,32.0,사내
 SN2601, B141P,21.0,16.0,3.2,111.0,신한내
 SN2453, C720P,22.0,11.0,0.7,11.0,사내
 SN2597, D410S,18.0,14.0,4.4,38.0,사내
 SN2627, H120S,19.0,11.0,6.6,16.0,신한내
 SN2603, E520P,22.0,14.0,5.6,75.0,성동
 SN2611, F521S,16.0,11.0,2.8,11.0,오비1
 SN2602, F440C,17.0,17.0,8.1,35.0,덕곡1
 SN2597, D400S,20.0,14.0,4.4,32.0,신한내
 SN2611, D161P,15.0,11.0,1.9,34.0,오비1
 SN2601, D331S,16.0,14.0,4.1,39.0,성동
 SN2455, B110C,22.0,19.0,2.2,48.0,사내
 SN2603, T510S,11.0,6.0,2.7,7.0,성동
 SN2611, F521P,16.0,11.0,2.8,11.0,한내
 SN2452, E660C,18.0,17.0,1.9,55.0,사내
 SN2627, D180S,19.0,13.0,4.2,46.0,덕곡2
 SN2457, B131S,21.0,19.0,2.2,75.0,오비1
 SN2591, S161S,15.0,13.0,3.1,37.0,한내
 SN2627, A220P,18.0,11.0,3.2,30.0,사내
 SN2611, E260C,18.0,18.0,6.4,56.0,덕곡1
 SN2602, D400S,18.0,13.0,4.2,30.0,OFD
 SN2611, D350S,16.0,14.0,4.9,24.0,사내
 SN2452, E710S,24.0,13.0,6.6,88.0,사내
 SN2598, D331P,16.0,14.0,4.0,39.0,사내
 SN2455, E510S,23.0,13.0,5.2,46.0,사내
