vessel_id,block,length,width,height,location,id
 SN2596, F110P,25.0,22.0,inf,성동,0
 SN2598, D321S,25.0,22.0,inf,성동,1
 SN2601, B131P,25.0,22.0,inf,성동,2
 SN2598, S122P,25.0,22.0,inf,성동,3
 SN2615, E52AS,25.0,22.0,inf,성동,4
 SN2612, B151P,25.0,22.0,inf,성동,5
 SN2612, S18BS,25.0,22.0,inf,성동,6
 SN2601, D35AS,25.0,22.0,inf,성동,7
 SN2611, S140P,25.0,22.0,inf,성동,8
 SN2611, D181S,25.0,22.0,inf,성동,9
 SN2601, T320P,25.0,22.0,inf,성동,10
 SN2456, E241P,25.0,22.0,inf,성동,11
 SN2597, D340S,25.0,22.0,inf,성동,12
 SN2463, E321P,25.0,22.0,inf,성동,13
 SN2455, F520S,25.0,22.0,inf,성동,14
 SN2454, C820P,25.0,22.0,inf,성동,15
 SN2612, S13AP,25.0,22.0,inf,성동,16
 SN2611, T340S,25.0,22.0,inf,성동,17
 SN2612, E532P,25.0,22.0,inf,성동,18
 SN2627, S100S,25.0,22.0,inf,성동,19
 SN2598, A110P,25.0,22.0,inf,성동,20
 SN2597, D340P,25.0,22.0,inf,성동,21
 SN2598, S141S,25.0,22.0,inf,성동,22
 SN2603, F131S,25.0,22.0,inf,성동,23
 SN2627, S131P,25.0,22.0,inf,성동,24
 SN2452, W830C,25.0,22.0,inf,성동,25
 SN2612, E330P,25.0,22.0,inf,성동,26
 SN2601, D520S,25.0,22.0,inf,성동,27
 SN2598, M510P,25.0,22.0,inf,성동,28
 SN2611, D770S,25.0,22.0,inf,성동,29
 SN2601, S111S,25.0,22.0,inf,성동,30
 SN2455, M320S,25.0,22.0,inf,성동,31
 SN2611, E260C,25.0,22.0,inf,성동,32
 SN2627, E420P,25.0,22.0,inf,성동,33
 SN2591, S141P,25.0,22.0,inf,성동,34
 SN2614, F332S,25.0,22.0,inf,성동,35
 SN2615, S180P,25.0,22.0,inf,성동,36
 SN2603, D130C,25.0,22.0,inf,성동,37
 SN2615, M310P,25.0,22.0,inf,성동,38
 SN2611, D720S,25.0,22.0,inf,성동,39
 SN2457, B131S,25.0,22.0,inf,성동,40
 SN2627, B180P,25.0,22.0,inf,성동,41
 SN2603, E360C,25.0,22.0,inf,성동,42
 SN2607, E261C,25.0,22.0,inf,성동,43
 SN2601, S110S,25.0,22.0,inf,성동,44
 SN2612, E522S,25.0,22.0,inf,성동,45
 SN2611, D730S,25.0,22.0,inf,성동,46
 SN2611, B140P,25.0,22.0,inf,성동,47
 SN2591, E44XP,25.0,22.0,inf,성동,48
 SN2615, S141P,25.0,22.0,inf,성동,49
 SN2607, E311P,25.0,22.0,inf,성동,50
 SN2601, M220P,25.0,22.0,inf,성동,51
 SN2611, E130P,25.0,22.0,inf,성동,52
 SN2603, D191S,25.0,22.0,inf,성동,53
 SN2601, T321P,25.0,22.0,inf,성동,54
 SN2601, D716S,25.0,22.0,inf,성동,55
 SN2597, F210P,25.0,22.0,inf,성동,56
 SN2611, T330S,25.0,22.0,inf,성동,57
 SN2627, E530P,25.0,22.0,inf,성동,58
,,25.0,22.0,inf,성동,59
,,25.0,22.0,inf,성동,60
,,25.0,22.0,inf,성동,61
,,25.0,22.0,inf,성동,62
,,25.0,22.0,inf,성동,63
,,25.0,22.0,inf,성동,64
,,25.0,22.0,inf,성동,65
,,25.0,22.0,inf,성동,66
,,25.0,22.0,inf,성동,67
,,25.0,22.0,inf,성동,68
,,25.0,22.0,inf,성동,69
,,25.0,22.0,inf,성동,70
,,25.0,22.0,inf,성동,71
,,25.0,22.0,inf,성동,72
,,25.0,22.0,inf,성동,73
,,25.0,22.0,inf,성동,74
,,25.0,22.0,inf,성동,75
,,25.0,22.0,inf,성동,76
,,25.0,22.0,inf,성동,77
,,25.0,22.0,inf,성동,78
,,25.0,22.0,inf,성동,79
,,25.0,22.0,inf,성동,80
,,25.0,22.0,inf,성동,81
,,25.0,22.0,inf,성동,82
,,25.0,22.0,inf,성동,83
