vessel_id,block,length,width,height,location,id
 SN2615, S141P,21.0,13.0,5.0,덕곡2,0
 SN2603, F421S,21.0,13.0,5.0,덕곡2,1
 SN2607, E311S,21.0,13.0,5.0,덕곡2,2
 SN2603, D211P,21.0,13.0,5.0,덕곡2,3
 SN2603, F121P,21.0,13.0,5.0,덕곡2,4
 SN2634, A21BS,21.0,13.0,5.0,덕곡2,5
 SN2627, S101P,21.0,13.0,5.0,덕곡2,6
 SN2590, A410P,21.0,13.0,5.0,덕곡2,7
 SN2598, T120P,21.0,13.0,5.0,덕곡2,8
 SN2615, E130C,21.0,13.0,5.0,덕곡2,9
 SN2614, E470C,21.0,13.0,5.0,덕곡2,10
 SN2463, E422P,21.0,13.0,5.0,덕곡2,11
 SN2456, D292P,21.0,13.0,5.0,덕곡2,12
 SN2456, A12BS,21.0,13.0,5.0,덕곡2,13
 SN2601, D131P,21.0,13.0,5.0,덕곡2,14
 SN2607, D620S,21.0,13.0,5.0,덕곡2,15
 SN2463, B11AP,21.0,13.0,5.0,덕곡2,16
 SN2615, E52AS,21.0,13.0,5.0,덕곡2,17
 SN2603, D151S,21.0,13.0,5.0,덕곡2,18
 SN2454, M920S,21.0,13.0,5.0,덕곡2,19
 SN2615, M120P,21.0,13.0,5.0,덕곡2,20
 SN2627, A220P,21.0,13.0,5.0,덕곡2,21
,,21.0,13.0,5.0,덕곡2,22
,,21.0,13.0,5.0,덕곡2,23
,,21.0,13.0,5.0,덕곡2,24
,,21.0,13.0,5.0,덕곡2,25
,,21.0,13.0,5.0,덕곡2,26
,,21.0,13.0,5.0,덕곡2,27
,,21.0,13.0,5.0,덕곡2,28
,,21.0,13.0,5.0,덕곡2,29
 SN2611, F110P,21.0,16.0,5.0,덕곡2,30
 SN2611, D320S,21.0,16.0,5.0,덕곡2,31
 SN2611, T140S,21.0,16.0,5.0,덕곡2,32
 SN2591, S161P,21.0,16.0,5.0,덕곡2,33
 SN2611, D360S,21.0,16.0,5.0,덕곡2,34
 SN2603, D340S,21.0,16.0,5.0,덕곡2,35
 SN2611, D371S,21.0,16.0,5.0,덕곡2,36
,,21.0,16.0,5.0,덕곡2,37
,,21.0,16.0,5.0,덕곡2,38
,,21.0,16.0,5.0,덕곡2,39
