vessel_id,block,length,width,height,location,id
 SN2456, D192P,25.0,16.0,inf,OFD,0
 SN2615, S350S,25.0,16.0,inf,OFD,1
 SN2615, E420S,25.0,16.0,inf,OFD,2
 SN2590, A110C,25.0,16.0,inf,OFD,3
 SN2455, F640S,25.0,16.0,inf,OFD,4
 SN2611, E440C,25.0,16.0,inf,OFD,5
 SN2612, E31AS,25.0,16.0,inf,OFD,6
 SN2603, H130S,25.0,16.0,inf,OFD,7
 SN2627, S090S,25.0,16.0,inf,OFD,8
 SN2612, M220S,25.0,16.0,inf,OFD,9
 SN2603, D530S,25.0,16.0,inf,OFD,10
 SN2601, D35AP,25.0,16.0,inf,OFD,11
 SN2598, D311P,25.0,16.0,inf,OFD,12
 SN2612, E522P,25.0,16.0,inf,OFD,13
 SN2603, D770S,25.0,16.0,inf,OFD,14
 SN2598, B151P,25.0,16.0,inf,OFD,15
,,25.0,16.0,inf,OFD,16
,,25.0,16.0,inf,OFD,17
,,25.0,16.0,inf,OFD,18
,,25.0,16.0,inf,OFD,19
