vessel_id,block,length,width,height,location,id
 SN2611, D330P,25.0,23.0,inf,신한내,0
 SN2603, F423P,25.0,23.0,inf,신한내,1
 SN2455, F710S,25.0,23.0,inf,신한내,2
 SN2598, S121S,25.0,23.0,inf,신한내,3
 SN2598, E260C,25.0,23.0,inf,신한내,4
 SN2602, D200C,25.0,23.0,inf,신한내,5
 SN2456, D191P,25.0,23.0,inf,신한내,6
 SN2598, B141S,25.0,23.0,inf,신한내,7
 SN2457, E62AP,25.0,23.0,inf,신한내,8
 SN2611, A210S,25.0,23.0,inf,신한내,9
 SN2454, F310S,25.0,23.0,inf,신한내,10
 SN2616, E41AS,25.0,23.0,inf,신한내,11
 SN2598, E510S,25.0,23.0,inf,신한내,12
 SN2616, E312P,25.0,23.0,inf,신한내,13
 SN2627, A220S,25.0,23.0,inf,신한내,14
 SN2612, S18BS,25.0,23.0,inf,신한내,15
 SN2615, E61AS,25.0,23.0,inf,신한내,16
 SN2453, E660C,25.0,23.0,inf,신한내,17
 SN2611, B140S,25.0,23.0,inf,신한내,18
 SN2627, B180P,25.0,23.0,inf,신한내,19
 SN2611, T120P,25.0,23.0,inf,신한내,20
 SN2602, D170C,25.0,23.0,inf,신한내,21
 SN2590, E530P,25.0,23.0,inf,신한내,22
 SN2611, D310S,25.0,23.0,inf,신한내,23
 SN2597, F440C,25.0,23.0,inf,신한내,24
 SN2614, A110C,25.0,23.0,inf,신한내,25
 SN2614, E530P,25.0,23.0,inf,신한내,26
 SN2627, S101S,25.0,23.0,inf,신한내,27
 SN2457, B19AS,25.0,23.0,inf,신한내,28
 SN2454, S401P,25.0,23.0,inf,신한내,29
 SN2598, M510P,25.0,23.0,inf,신한내,30
 SN2611, D201S,25.0,23.0,inf,신한내,31
 SN2590, F210C,25.0,23.0,inf,신한내,32
 SN2615, D170C,25.0,23.0,inf,신한내,33
 SN2612, S16AS,25.0,23.0,inf,신한내,34
,,25.0,23.0,inf,신한내,35
,,25.0,23.0,inf,신한내,36
,,25.0,23.0,inf,신한내,37
,,25.0,23.0,inf,신한내,38
,,25.0,23.0,inf,신한내,39
,,25.0,23.0,inf,신한내,40
