vessel_id,block,length,width,height,location,id
 SN2591, E410P,21.0,15.5,5.8,봉암9,0
 SN2603, D411P,21.0,15.5,5.8,봉암9,1
 SN2597, D190C,21.0,15.5,5.8,봉암9,2
 SN2612, S16AP,21.0,15.5,5.8,봉암9,3
 SN2601, T121S,21.0,15.5,5.8,봉암9,4
 SN2598, T110S,21.0,15.5,5.8,봉암9,5
 SN2602, D380S,21.0,15.5,5.8,봉암9,6
 SN2602, D820S,21.0,15.5,5.8,봉암9,7
 SN2614, S180S,21.0,15.5,5.8,봉암9,8
 SN2603, F422S,21.0,15.5,5.8,봉암9,9
 SN2612, E421S,21.0,15.5,5.8,봉암9,10
 SN2611, D401S,21.0,15.5,5.8,봉암9,11
 SN2627, H310S,21.0,15.5,5.8,봉암9,12
 SN2598, F522S,21.0,15.5,5.8,봉암9,13
 SN2612, E532P,21.0,15.5,5.8,봉암9,14
 SN2597, D380P,21.0,15.5,5.8,봉암9,15
 SN2627, S093S,21.0,15.5,5.8,봉암9,16
 SN2463, D29CS,21.0,15.5,5.8,봉암9,17
 SN2454, M920S,21.0,15.5,5.8,봉암9,18
 SN2602, D340P,21.0,15.5,5.8,봉암9,19
 SN2455, Y900C,21.0,15.5,5.8,봉암9,20
 SN2614, S380S,21.0,15.5,5.8,봉암9,21
 SN2607, D620S,21.0,15.5,5.8,봉암9,22
 SN2627, H310P,21.0,15.5,5.8,봉암9,23
 SN2614, S080P,21.0,15.5,5.8,봉암9,24
 SN2598, E350C,21.0,15.5,5.8,봉암9,25
 SN2615, E350C,21.0,15.5,5.8,봉암9,26
 SN2455, A430C,21.0,15.5,5.8,봉암9,27
 SN2611, D161P,21.0,15.5,5.8,봉암9,28
 SN2615, A421S,21.0,15.5,5.8,봉암9,29
 SN2611, D181P,21.0,15.5,5.8,봉암9,30
 SN2601, M220P,21.0,15.5,5.8,봉암9,31
 SN2616, E42AP,21.0,15.5,5.8,봉암9,32
 SN2591, B160P,21.0,15.5,5.8,봉암9,33
 SN2456, D292P,21.0,15.5,5.8,봉암9,34
 SN2634, A21BP,21.0,15.5,5.8,봉암9,35
 SN2614, F520S,21.0,15.5,5.8,봉암9,36
 SN2598, E230P,21.0,15.5,5.8,봉암9,37
 SN2627, E632S,21.0,15.5,5.8,봉암9,38
 SN2602, D390S,21.0,15.5,5.8,봉암9,39
 SN2590, F520S,21.0,15.5,5.8,봉암9,40
 SN2603, D141S,21.0,15.5,5.8,봉암9,41
 SN2456, D194P,21.0,15.5,5.8,봉암9,42
,,21.0,15.5,5.8,봉암9,43
,,21.0,15.5,5.8,봉암9,44
,,21.0,15.5,5.8,봉암9,45
,,21.0,15.5,5.8,봉암9,46
,,21.0,15.5,5.8,봉암9,47
,,21.0,15.5,5.8,봉암9,48
,,21.0,15.5,5.8,봉암9,49
