vessel_id,block,length,width,height,location,id
 SN2611, S170S,25.0,23.0,inf,오비1,0
 SN2611, S170P,25.0,23.0,inf,오비1,1
 SN2597, F520S,25.0,23.0,inf,오비1,2
 SN2603, E530C,25.0,23.0,inf,오비1,3
 SN2597, D170C,25.0,23.0,inf,오비1,4
 SN2597, E540C,25.0,23.0,inf,오비1,5
 SN2602, E540C,25.0,23.0,inf,오비1,6
 SN2611, E540C,25.0,23.0,inf,오비1,7
,,25.0,23.0,inf,오비1,8
,,25.0,23.0,inf,오비1,9
 SN2611, T140P,16.0,16.0,inf,오비1,10
 SN2614, A430C,16.0,16.0,inf,오비1,11
 SN2591, E44XS,16.0,16.0,inf,오비1,12
 SN2612, E421P,16.0,16.0,inf,오비1,13
,,16.0,16.0,inf,오비1,14
,,16.0,16.0,inf,오비1,15
 SN2612, T131S,21.0,16.0,inf,오비1,16
,,21.0,16.0,inf,오비1,17
,,21.0,16.0,inf,오비1,18
 SN2455, E450C,24.0,17.0,inf,오비1,19
 SN2591, H160P,24.0,17.0,inf,오비1,20
 SN2614, A110C,24.0,17.0,inf,오비1,21
 SN2454, H220S,24.0,17.0,inf,오비1,22
 SN2456, D293S,24.0,17.0,inf,오비1,23
,,24.0,17.0,inf,오비1,24
,,24.0,17.0,inf,오비1,25
