vessel_id,block,length,width,height,weight,location
 SN2601, D321P,16.0,14.0,4.1,39.0,사내
 SN2627, E640P,22.0,11.0,5.4,19.0,사내
 SN2603, T350S,16.0,16.0,2.8,32.0,사내
 SN2598, B120S,20.0,17.0,3.1,66.0,사내
 SN2463, H11AS,19.0,11.0,2.6,15.0,사내
 SN2611, T320P,18.0,17.0,2.9,48.0,사내
 SN2598, B151P,17.0,15.0,3.1,77.0,사내
 SN2455, S401S,18.0,17.0,2.6,74.0,사내
 SN2463, B19AS,20.0,11.0,2.3,35.0,사내
 SN2627, D180P,20.0,13.0,4.2,41.0,덕곡2
 SN2603, H140S,21.0,12.0,6.4,33.0,사내
 SN2597, D360P,16.0,15.0,4.9,27.0,사내
 SN2611, D740S,19.0,11.0,4.2,49.0,한내
 SN2597, D710S,23.0,20.0,6.8,51.0,사내
 SN2455, C400P,21.0,11.0,0.7,10.0,사내
 SN2612, E522S,11.0,10.0,3.9,13.0,한내
 SN2598, B120P,20.0,17.0,3.1,65.0,성동
 SN2614, A220S,17.0,17.0,4.3,31.0,덕곡1
 SN2455, A120C,17.0,15.0,4.8,32.0,성동
 SN2455, F420C,16.0,11.0,2.6,10.0,사내
 SN2611, E260C,18.0,18.0,6.4,56.0,성동
 SN2598, D321S,16.0,14.0,4.0,41.0,사내
 SN2603, D131P,16.0,11.0,1.9,36.0,성동
 SN2457, E62CS,16.0,11.0,2.7,18.0,사내
 SN2603, D320P,16.0,14.0,4.2,25.0,사내
 SN2456, E611P,16.0,11.0,2.5,16.0,봉암9
 SN2598, F110S,15.0,14.0,3.0,21.0,OFD
 SN2598, M900P,11.0,6.0,3.3,2.0,봉암9
 SN2603, T351S,16.0,16.0,2.7,51.0,사내
 SN2614, F631P,12.0,12.0,4.0,24.0,성동
 SN2602, E520P,22.0,14.0,5.6,74.0,신한내
 SN2457, D291S,11.0,10.0,2.0,4.0,덕곡2
 SN2457, E412S,11.0,11.0,2.0,8.0,봉암9
 SN2603, D121P,16.0,11.0,1.9,32.0,신한내
 SN2611, D131P,16.0,11.0,1.9,36.0,한내
 SN2602, D180C,20.0,16.0,2.7,45.0,사내
 SN2602, D390S,15.0,13.0,4.2,23.0,봉암8
 SN2597, D370P,21.0,14.0,4.4,35.0,사내
 SN2603, T320S,18.0,16.0,2.9,46.0,사내
 SN2616, E33BS,11.0,11.0,2.6,7.0,사내
 SN2627, D380S,19.0,13.0,5.3,57.0,봉암8
 SN2601, D341P,20.0,14.0,4.1,49.0,덕곡2
 SN2598, B111P,21.0,17.0,3.1,120.0,사내
 SN2590, F730S,14.0,11.0,4.4,22.0,성동
 SN2598, D722S,18.0,11.0,1.9,15.0,봉암8
 SN2590, A410P,12.0,11.0,4.3,11.0,오비1
 SN2457, E110P,16.0,12.0,7.6,19.0,사내
 SN2456, E373S,14.0,11.0,2.6,15.0,사내
 SN2601, E420S,21.0,15.0,5.9,66.0,사내
 SN2611, M110P,21.0,11.0,6.3,84.0,사내
 SN2456, D392P,21.0,11.0,2.0,10.0,한내
 SN2615, S350P,14.0,11.0,7.0,19.0,신한내
 SN2603, E410P,21.0,16.0,5.7,58.0,사내
 SN2612, M510P,23.0,19.0,3.8,71.0,성동
 SN2614, S400S,17.0,13.0,8.4,17.0,성동
 SN2452, E720P,22.0,16.0,8.4,106.0,사내
 SN2601, T120S,16.0,14.0,2.9,41.0,사내
 SN2612, E524S,11.0,9.0,4.1,4.0,사내
 SN2603, E410S,21.0,16.0,5.7,58.0,사내
 SN2627, E310S,19.0,12.0,7.1,37.0,사내
 SN2603, F421P,13.0,11.0,3.8,20.0,사내
 SN2455, F120C,11.0,9.0,3.6,4.0,봉암9
 SN2602, D130C,20.0,16.0,1.9,48.0,성동
 SN2607, E432P,11.0,6.0,2.3,7.0,사내
 SN2591, E353C,11.0,8.0,2.0,3.0,사내
 SN2615, A421S,11.0,6.0,4.9,8.0,봉암9
 SN2612, E422P,12.0,11.0,2.5,16.0,한내
 SN2611, E230P,17.0,13.0,4.7,28.0,사내
 SN2457, A312P,11.0,10.0,2.8,14.0,덕곡2
 SN2611, E530C,21.0,20.0,5.2,102.0,오비1
 SN2599, E11FS,11.0,8.0,3.2,21.0,사내
 SN2602, D400S,18.0,13.0,4.2,30.0,한내
 SN2597, E540C,22.0,19.0,5.2,84.0,사내
 SN2452, S230S,20.0,13.0,9.1,23.0,OFD
