vessel_id,block,length,width,height,weight,location
 SN2615, E61AS,11.0,10.0,2.0,7.0,사내
 SN2603, T320S,18.0,16.0,2.9,46.0,사내
 SN2611, E410P,21.0,16.0,5.7,58.0,사내
 SN2602, F230C,11.0,10.0,4.6,6.0,사내
 SN2607, M410S,22.0,18.0,3.6,64.0,사내
 SN2611, A110S,11.0,7.0,11.5,19.0,사내
 SN2614, F623S,11.0,6.0,3.0,5.0,사내
 SN2611, D360P,15.0,14.0,4.9,23.0,사내
 SN2611, E360C,11.0,10.0,1.8,6.0,사내
 SN2601, M510P,22.0,18.0,3.7,69.0,사내
 SN2452, C720P,22.0,11.0,0.7,11.0,사내
 SN2603, D401S,18.0,14.0,4.1,37.0,사내
 SN2455, B200C,18.0,17.0,2.3,62.0,사내
