vessel_id,block,length,width,height,location,id
 SN2615, D360P,25.0,14.0,inf,한내,0
 SN2602, D390P,25.0,14.0,inf,한내,1
 SN2457, H14AS,25.0,14.0,inf,한내,2
 SN2457, B19AP,25.0,14.0,inf,한내,3
 SN2452, C720S,25.0,14.0,inf,한내,4
 SN2612, E532P,25.0,14.0,inf,한내,5
 SN2608, E114S,25.0,14.0,inf,한내,6
 SN2455, E711S,25.0,14.0,inf,한내,7
 SN2603, F422P,25.0,14.0,inf,한내,8
 SN2597, F310S,25.0,14.0,inf,한내,9
 SN2456, D293S,25.0,14.0,inf,한내,10
 SN2590, S200S,25.0,14.0,inf,한내,11
 SN2611, M110S,25.0,14.0,inf,한내,12
 SN2603, D161S,25.0,14.0,inf,한내,13
 SN2452, Y900C,25.0,14.0,inf,한내,14
 SN2598, F421S,25.0,14.0,inf,한내,15
 SN2454, M920P,25.0,14.0,inf,한내,16
 SN2598, D723S,25.0,14.0,inf,한내,17
 SN2601, H140P,25.0,14.0,inf,한내,18
 SN2611, H110P,25.0,14.0,inf,한내,19
 SN2455, M920S,25.0,14.0,inf,한내,20
 SN2591, D360P,25.0,14.0,inf,한내,21
 SN2611, E380C,25.0,14.0,inf,한내,22
 SN2591, D160S,25.0,14.0,inf,한내,23
 SN2603, H110S,25.0,14.0,inf,한내,24
 SN2612, F11AS,25.0,14.0,inf,한내,25
 SN2602, F310S,25.0,14.0,inf,한내,26
 SN2591, D150P,25.0,14.0,inf,한내,27
 SN2627, A410S,25.0,14.0,inf,한내,28
 SN2615, E53AP,25.0,14.0,inf,한내,29
 SN2612, B181P,25.0,14.0,inf,한내,30
 SN2598, T120S,25.0,14.0,inf,한내,31
 SN2615, C360P,25.0,14.0,inf,한내,32
 SN2455, F640S,25.0,14.0,inf,한내,33
 SN2601, D111S,25.0,14.0,inf,한내,34
 SN2602, D630S,25.0,14.0,inf,한내,35
 SN2615, E370P,25.0,14.0,inf,한내,36
 SN2627, D380S,25.0,14.0,inf,한내,37
 SN2612, E512P,25.0,14.0,inf,한내,38
 SN2452, E710P,25.0,14.0,inf,한내,39
 SN2612, E423S,25.0,14.0,inf,한내,40
 SN2616, E421S,25.0,14.0,inf,한내,41
 SN2615, S08AS,25.0,14.0,inf,한내,42
 SN2598, E380C,25.0,14.0,inf,한내,43
 SN2607, E541P,25.0,14.0,inf,한내,44
 SN2616, E211P,25.0,14.0,inf,한내,45
 SN2591, D180C,25.0,14.0,inf,한내,46
 SN2598, D713S,25.0,14.0,inf,한내,47
 SN2611, D340P,25.0,14.0,inf,한내,48
 SN2591, D360S,25.0,14.0,inf,한내,49
 SN2598, E370C,25.0,14.0,inf,한내,50
 SN2463, A21CS,25.0,14.0,inf,한내,51
 SN2614, F728P,25.0,14.0,inf,한내,52
,,25.0,14.0,inf,한내,53
,,25.0,14.0,inf,한내,54
,,25.0,14.0,inf,한내,55
,,25.0,14.0,inf,한내,56
,,25.0,14.0,inf,한내,57
,,25.0,14.0,inf,한내,58
,,25.0,14.0,inf,한내,59
,,25.0,14.0,inf,한내,60
,,25.0,14.0,inf,한내,61
,,25.0,14.0,inf,한내,62
,,25.0,14.0,inf,한내,63
,,25.0,14.0,inf,한내,64
,,25.0,14.0,inf,한내,65
,,25.0,14.0,inf,한내,66
,,25.0,14.0,inf,한내,67
,,25.0,14.0,inf,한내,68
