vessel_id,block,length,width,height,weight,location
 SN2603, T151C,20.0,15.0,2.7,98.0,봉암9
 SN2612, E511S,17.0,11.0,1.9,20.0,봉암9
 SN2611, F522S,12.0,11.0,3.6,15.0,봉암8
 SN2615, S08BP,15.0,11.0,2.8,22.0,오비3
 SN2614, S400S,17.0,13.0,8.4,17.0,성동
 SN2607, E233P,11.0,10.0,4.1,18.0,성동
 SN2614, E370P,12.0,12.0,4.0,6.0,성동
 SN2598, E420S,23.0,22.0,5.9,139.0,덕곡1
 SN2602, E510P,21.0,14.0,5.3,49.0,신한내
 SN2454, M920P,12.0,11.0,3.2,17.0,한내
 SN2626, E620S,22.0,12.0,4.8,111.0,성동
 SN2598, F421S,14.0,11.0,4.8,22.0,봉암9
 SN2615, E511P,12.0,11.0,5.2,15.0,신한내
 SN2601, M220S,18.0,12.0,3.5,34.0,덕곡2
 SN2607, S13AS,21.0,11.0,2.7,24.0,성동
