id,vessel_id,block,width,length,height,weight
0,SN2627,S390P,16.0,25.0,inf,51.0
1,SN2591,E620S,16.0,25.0,inf,45.0
2,SN2607,T310P,16.0,25.0,inf,61.0
3,SN2608,S13AP,16.0,25.0,inf,24.0
4,SN2608,M210S,16.0,25.0,inf,54.0
5,SN2608,F52BP,11.0,16.0,inf,6.0
6,SN2598,F110P,16.0,25.0,inf,21.0
7,SN2601,D401P,16.0,25.0,inf,37.0
8,SN2454,S210P,16.0,25.0,inf,32.0
9,SN2457,S18BS,16.0,25.0,inf,42.0
10,SN2614,E540S,16.0,25.0,inf,33.0
11,SN2615,M710P,16.0,25.0,inf,34.0
12,SN2603,D710S,16.0,25.0,inf,7.0
13,SN2598,D211S,16.0,25.0,inf,42.0
14,SN2455,S420P,16.0,25.0,inf,30.0
15,SN2637,E221S,11.0,16.0,inf,13.0
16,SN2603,Y710C,12.0,16.0,inf,6.0
17,,,16.0,25.0,inf,
18,,,16.0,25.0,inf,
19,,,16.0,25.0,inf,
5,,,14.0,16.0,inf,
15,,,14.0,16.0,inf,
16,,,13.0,16.0,inf,
