vessel_id,block,length,width,weight,height,location
SN2456,B180P,19.0,18.0,53.0,2.3,사외
SN2601,D370P,21.0,14.0,36.0,4.4,사외
SN2612,D341P,20.0,14.0,48.0,4.1,사외
SN2608,T341S,18.0,17.0,72.0,2.8,사외
SN2612,S110S,22.0,21.0,62.0,8.3,사외
SN2607,S110S,22.0,21.0,60.0,8.1,사외
SN2607,D341P,21.0,14.0,49.0,4.1,사외
SN2611,D740S,19.0,11.0,49.0,4.2,사내
SN2598,D400S,22.0,13.0,35.0,4.2,사내
SN2611,D540S,11.0,5.0,2.0,2.2,사내
SN2612,H130S,21.0,12.0,33.0,6.5,사내
SN2463,S192S,20.0,11.0,30.0,2.6,사내
SN2607,F522S,12.0,11.0,15.0,3.6,사내
SN2607,D341S,21.0,14.0,50.0,4.1,사내
SN2607,D510S,24.0,11.0,35.0,6.7,사내
SN2591,E130C,16.0,12.0,3.0,4.7,사내
SN2463,S191S,20.0,13.0,74.0,2.5,사내
SN2612,K180C,15.0,12.0,31.0,3.2,사내
SN2611,D200C,20.0,18.0,43.0,1.9,사내
SN2601,D500S,11.0,8.0,5.0,2.4,사내
SN2601,E150C,15.0,12.0,50.0,5.0,사내
SN2463,S094S,11.0,10.0,9.0,2.6,사내
SN2601,D500P,11.0,8.0,5.0,2.4,사내
SN2601,D120C,20.0,16.0,48.0,1.9,사내
SN2608,B171S,21.0,13.0,84.0,3.2,사내
SN2615,S150S,15.0,13.0,25.0,3.1,사내
SN2608,K191C,16.0,12.0,51.0,3.2,사내
SN2608,B201P,15.0,11.0,50.0,3.2,사내
