vessel_id,block,length,width,weight,height,location
SN2603,D710S,15.0,11.0,7.0,5.9,OFD
SN2454,H210S,19.0,15.0,44.0,7.5,신한내
SN2615,S160S,15.0,13.0,24.0,3.1,성동
SN2614,E540S,15.0,14.0,33.0,3.4,OFD
SN2612,D341S,20.0,14.0,49.0,4.1,덕곡2
SN2456,B180P,19.0,18.0,53.0,2.3,사내
SN2456,B180S,19.0,18.0,53.0,2.3,성동
SN2598,D400P,22.0,13.0,35.0,4.2,한내
SN2455,W820S,19.0,11.0,18.0,2.3,한내
SN2455,W820P,19.0,11.0,18.0,2.3,봉암9
SN2607,D311S,20.0,14.0,47.0,4.9,신한내
SN2601,D370S,21.0,14.0,35.0,4.4,성동
SN2601,D370P,21.0,14.0,36.0,4.4,사내
SN2611,F540C,17.0,15.0,61.0,3.2,성동
SN2612,D341P,20.0,14.0,48.0,4.1,사내
SN2608,T341S,18.0,17.0,72.0,2.8,사내
SN2457,S121S,22.0,20.0,83.0,2.5,오비1
SN2454,S400P,20.0,18.0,76.0,5.2,성동
SN2598,T350S,18.0,17.0,42.0,4.5,성동
SN2627,B110S,18.0,14.0,33.0,2.5,봉암9
SN2612,K190C,16.0,12.0,39.0,3.2,봉암9
SN2612,S120S,22.0,19.0,64.0,5.4,성동
SN2612,S110S,22.0,21.0,62.0,8.3,사내
SN2607,S110S,22.0,21.0,60.0,8.1,사내
SN2463,S101S,20.0,12.0,45.0,2.5,한내
SN2612,T320P,18.0,17.0,48.0,2.9,신한내
SN2612,D311P,20.0,14.0,46.0,4.8,성동
SN2607,D341P,21.0,14.0,49.0,4.1,사내
SN2611,F110P,15.0,13.0,21.0,3.5,성동
SN2611,D740S,19.0,11.0,49.0,4.2,사내
SN2598,D400S,22.0,13.0,35.0,4.2,사내
SN2611,D540S,11.0,5.0,2.0,2.2,사내
SN2612,H130S,21.0,12.0,33.0,6.5,사내
SN2463,S192S,20.0,11.0,30.0,2.6,사내
SN2607,F522S,12.0,11.0,15.0,3.6,사내
SN2607,D341S,21.0,14.0,50.0,4.1,사내
SN2607,D510S,24.0,11.0,35.0,6.7,사내
SN2591,E130C,16.0,12.0,3.0,4.7,사내
SN2463,S191S,20.0,13.0,74.0,2.5,사내
SN2612,K180C,15.0,12.0,31.0,3.2,사내
SN2611,D200C,20.0,18.0,43.0,1.9,사내
SN2601,D500S,11.0,8.0,5.0,2.4,사내
SN2601,E150C,15.0,12.0,50.0,5.0,사내
SN2463,S094S,11.0,10.0,9.0,2.6,사내
SN2601,D500P,11.0,8.0,5.0,2.4,사내
SN2601,D120C,20.0,16.0,48.0,1.9,사내
SN2608,B171S,21.0,13.0,84.0,3.2,사내
SN2615,S150S,15.0,13.0,25.0,3.1,사내
SN2608,K191C,16.0,12.0,51.0,3.2,사내
SN2608,B201P,15.0,11.0,50.0,3.2,사내
SN2464,D29BS,13.0,11.0,8.0,2.0,사내
SN2464,D29BP,13.0,11.0,7.0,2.0,사내
SN2612,S120P,22.0,19.0,63.0,5.4,사내
SN2463,S091S,20.0,11.0,35.0,2.5,사내
SN2601,D401S,18.0,14.0,37.0,4.1,사내
SN2612,E430C,21.0,15.0,81.0,5.7,사내
SN2627,D380S,19.0,13.0,57.0,5.3,사내
SN2598,D171S,22.0,11.0,64.0,1.9,사내
SN2612,B120S,22.0,16.0,66.0,3.2,사내
SN2607,D311P,20.0,14.0,46.0,4.9,사내
SN2601,E520P,22.0,14.0,73.0,5.6,사내
SN2634,B111S,21.0,13.0,97.0,3.2,사내
SN2591,S082S,11.0,11.0,9.0,2.6,사내
SN2615,E662S,11.0,11.0,11.0,1.2,사내
SN2615,E662P,11.0,11.0,11.0,1.2,사내
SN2612,D131P,16.0,11.0,36.0,1.9,사내
SN2616,K170C,14.0,11.0,24.0,2.0,사내
SN2634,E311P,15.0,11.0,20.0,3.0,사내
SN2634,E312P,15.0,11.0,13.0,3.7,사내
SN2591,E552C,13.0,11.0,19.0,2.0,사내
SN2607,F311P,16.0,11.0,23.0,3.6,사내
SN2637,E33AS,11.0,7.0,5.0,4.1,사내
SN2463,F642P,11.0,8.0,8.0,2.6,사내
SN2591,E551C,11.0,9.0,7.0,5.2,사내
SN2463,F321P,11.0,9.0,14.0,3.7,사내
SN2607,F311S,16.0,11.0,23.0,3.6,사내
SN2615,S420S,15.0,11.0,17.0,2.7,사내
SN2615,F731S,13.0,11.0,21.0,3.3,사내
SN2612,D121P,16.0,11.0,32.0,1.9,사내
SN2616,D361S,15.0,11.0,16.0,2.0,사내
SN2616,D154P,12.0,11.0,12.0,2.0,사내
SN2634,E312S,15.0,11.0,13.0,3.7,사내
SN2598,D320P,16.0,13.0,24.0,4.2,사내
SN2590,D370C,12.0,11.0,20.0,2.4,사내
SN2634,M310P,22.0,18.0,63.0,3.4,사내
SN2607,M510S,23.0,18.0,77.0,4.4,사내
SN2607,M900S,11.0,6.0,2.0,3.3,사내
SN2607,M610C,21.0,16.0,56.0,3.4,사내
SN2607,M410P,22.0,18.0,65.0,3.6,사내
SN2616,B160S,14.0,13.0,26.0,2.5,사내
SN2615,F112C,18.0,12.0,36.0,2.6,사내
SN2615,F111C,18.0,11.0,17.0,2.1,사내
SN2457,E410P,17.0,15.0,39.0,5.2,사내
SN2616,E140C,12.0,11.0,4.0,4.7,사내
SN2463,E733S,16.0,11.0,8.0,2.4,사내
SN2615,S101S,14.0,11.0,22.0,2.3,사내
SN2603,D140C,20.0,20.0,57.0,1.9,사내
SN2456,W821S,19.0,11.0,10.0,3.0,사내
SN2607,E150C,15.0,12.0,39.0,5.0,사내
SN2608,B192S,16.0,14.0,13.0,7.7,사내
SN2608,B192P,16.0,14.0,13.0,7.7,사내
SN2457,A210C,16.0,16.0,42.0,9.3,사내
SN2634,E532P,11.0,4.0,2.0,1.7,사내
SN2612,T720S,20.0,11.0,15.0,2.9,사내
SN2607,F521S,15.0,11.0,14.0,3.0,사내
SN2463,E752S,11.0,11.0,7.0,4.8,사내
SN2463,F731S,17.0,11.0,36.0,4.8,사내
SN2608,M120P,19.0,13.0,66.0,6.2,사내
SN2591,E443P,11.0,8.0,10.0,3.9,사내
SN2615,M830P,17.0,11.0,38.0,3.5,사내
SN2608,F111S,15.0,13.0,28.0,3.5,사내
SN2616,D180C,15.0,12.0,19.0,5.8,사내
SN2615,S160P,15.0,13.0,24.0,3.1,사내
SN2615,S150P,15.0,13.0,25.0,3.1,사내
SN2615,S091S,15.0,12.0,26.0,2.3,사내
SN2615,M810S,13.0,11.0,24.0,3.2,사내
SN2457,A121P,15.0,11.0,23.0,4.6,사내
SN2607,F131P,11.0,11.0,13.0,3.1,사내
SN2654,E11AP,11.0,11.0,17.0,3.0,사내
SN2615,F631S,12.0,12.0,24.0,4.0,사내
SN2612,F131S,11.0,11.0,13.0,3.1,사내
SN2591,E611P,11.0,11.0,7.0,2.0,사내
SN2616,S151S,15.0,13.0,38.0,2.3,사내
SN2616,A221P,17.0,17.0,46.0,4.6,사내
SN2591,F11CS,13.0,11.0,10.0,3.4,사내
SN2591,F11CP,13.0,11.0,10.0,3.4,사내
SN2455,H200P,19.0,14.0,66.0,5.6,사내
SN2598,D330P,16.0,13.0,24.0,4.2,사내
SN2611,D750S,18.0,11.0,21.0,5.9,사내
SN2637,E423S,17.0,11.0,13.0,1.1,사내
SN2608,S13AS,21.0,11.0,24.0,2.7,사내
SN2608,S162S,20.0,11.0,19.0,3.9,사내
SN2608,H172S,21.0,11.0,48.0,5.4,사내
SN2608,H171S,21.0,11.0,47.0,4.9,사내
SN2612,H120P,22.0,12.0,35.0,6.4,사내
SN2612,T740P,21.0,11.0,7.0,2.8,사내
SN2634,E220S,13.0,11.0,17.0,4.9,사내
SN2599,E513S,11.0,10.0,16.0,3.4,사내
SN2599,E512S,11.0,10.0,15.0,3.4,사내
SN2599,E512P,12.0,11.0,15.0,3.4,사내
SN2634,E220P,13.0,11.0,16.0,4.9,사내
SN2634,E210S,18.0,15.0,25.0,3.3,사내
SN2455,S830S,17.0,11.0,23.0,5.8,사내
SN2608,E240C,21.0,15.0,73.0,4.0,사내
SN2607,E380C,19.0,11.0,14.0,3.5,사내
SN2607,E370C,19.0,11.0,17.0,2.9,사내
SN2607,E360C,11.0,10.0,9.0,1.9,사내
SN2599,E511P,17.0,17.0,45.0,1.9,사내
SN2611,D390P,15.0,13.0,24.0,4.2,사내
SN2614,E570P,13.0,12.0,29.0,4.4,사내
SN2615,C730S,12.0,11.0,6.0,1.8,사내
SN2612,D351S,16.0,15.0,36.0,4.7,사내
SN2608,T141P,15.0,14.0,59.0,2.8,사내
SN2616,A221S,17.0,17.0,46.0,4.6,사내
SN2607,M110P,22.0,11.0,83.0,6.2,사내
SN2612,F531S,11.0,11.0,11.0,2.8,사내
SN2612,F531P,11.0,11.0,11.0,2.8,사내
SN2634,M220P,18.0,12.0,34.0,3.5,사내
SN2454,S210S,19.0,15.0,32.0,8.4,사내
SN2456,E350C,20.0,14.0,53.0,2.9,사내
SN2612,S110P,22.0,21.0,62.0,8.3,사내
SN2598,D160C,21.0,16.0,56.0,1.9,사내
SN2612,F110S,15.0,13.0,21.0,3.5,사내
SN2634,A212P,20.0,11.0,50.0,7.0,사내
SN2637,E431C,15.0,11.0,11.0,3.3,사내
SN2457,B110C,22.0,19.0,48.0,2.2,사내
SN2607,D620S,15.0,12.0,23.0,2.2,사내
SN2603,F110P,15.0,13.0,21.0,3.5,사내
SN2598,F520P,19.0,19.0,77.0,6.4,사내
SN2612,F522S,12.0,11.0,15.0,3.6,사내
SN2612,D40AS,18.0,11.0,15.0,2.2,사내
SN2607,F423P,11.0,10.0,10.0,7.3,사내
SN2599,E411S,11.0,9.0,8.0,1.2,사내
SN2464,E41BS,11.0,6.0,6.0,3.2,사내
SN2599,E413P,11.0,10.0,16.0,3.5,사내
SN2463,E731P,17.0,11.0,28.0,3.9,사내
SN2638,E11DS,11.0,11.0,30.0,1.4,사내
SN2638,E11AS,11.0,11.0,24.0,1.4,사내
SN2612,F521S,13.0,11.0,11.0,2.8,사내
SN2464,E62DS,11.0,7.0,6.0,2.6,사내
SN2464,E424S,11.0,4.0,3.0,2.6,사내
SN2607,F423S,11.0,10.0,10.0,7.3,사내
SN2607,F422S,15.0,12.0,14.0,3.8,사내
SN2607,F421S,15.0,12.0,25.0,3.8,사내
SN2601,F440C,17.0,17.0,35.0,8.1,사내
SN2599,E412S,11.0,10.0,16.0,3.3,사내
SN2463,E310P,15.0,14.0,40.0,5.6,사내
SN2457,E350C,20.0,14.0,53.0,2.9,사내
SN2456,E610P,16.0,13.0,38.0,6.0,사내
SN2591,E410P,18.0,15.0,40.0,5.4,사내
SN2615,S622P,15.0,15.0,34.0,2.7,사내
SN2607,B140S,21.0,13.0,57.0,3.2,사내
SN2456,B190P,20.0,16.0,3.0,2.4,사내
SN2457,S191S,20.0,13.0,74.0,2.5,사내
SN2457,S192S,20.0,11.0,30.0,2.6,사내
SN2608,S161P,20.0,16.0,81.0,2.6,사내
SN2608,S161S,20.0,16.0,81.0,2.6,사내
SN2598,D340P,22.0,13.0,34.0,4.2,사내
SN2608,S171S,21.0,16.0,88.0,2.6,사내
SN2607,B140P,21.0,19.0,81.0,3.2,사내
SN2607,B110P,22.0,20.0,78.0,3.8,사내
SN2598,D110C,22.0,21.0,65.0,1.9,사내
SN2612,S130P,21.0,19.0,60.0,5.4,사내
SN2601,D340P,21.0,14.0,33.0,4.4,사내
SN2457,B120S,20.0,16.0,50.0,2.2,사내
SN2627,D380P,20.0,13.0,59.0,5.3,사내
SN2608,S14AS,21.0,11.0,22.0,2.7,사내
SN2608,S14AP,21.0,11.0,22.0,2.7,사내
SN2612,B180S,18.0,15.0,23.0,8.7,사내
SN2612,B180P,18.0,15.0,23.0,8.7,사내
SN2612,S180S,20.0,16.0,51.0,11.8,사내
SN2612,S160S,20.0,19.0,57.0,5.4,사내
SN2608,B111S,22.0,20.0,89.0,3.2,사내
SN2608,S11AS,22.0,11.0,25.0,2.7,사내
SN2608,S11AP,22.0,11.0,25.0,2.7,사내
SN2463,S093S,11.0,11.0,11.0,2.6,사내
SN2612,T510S,11.0,6.0,7.0,2.7,사내
SN2612,T510P,11.0,6.0,7.0,2.7,사내
SN2612,E340C,20.0,16.0,55.0,5.1,사내
SN2612,H140P,21.0,12.0,33.0,6.4,사내
SN2457,E510P,24.0,14.0,54.0,5.2,사내
SN2457,S194S,16.0,11.0,10.0,3.5,사내
SN2457,S193S,17.0,11.0,11.0,2.1,사내
SN2607,B202P,15.0,11.0,8.0,7.6,사내
SN2612,A110P,11.0,7.0,19.0,11.5,사내
SN2615,A320P,17.0,16.0,53.0,5.8,사내
SN2456,E540S,19.0,17.0,56.0,5.1,사내
SN2456,E540P,19.0,17.0,56.0,5.1,사내
SN2608,T741S,21.0,11.0,42.0,2.8,사내
SN2607,B120S,22.0,13.0,57.0,3.2,사내
SN2616,E54XP,15.0,11.0,16.0,1.8,사내
SN2627,C390S,20.0,11.0,10.0,0.8,사내
SN2612,S20AS,12.0,11.0,10.0,4.4,사내
SN2612,D611S,11.0,6.0,4.0,1.4,사내
SN2608,B191S,16.0,11.0,17.0,3.2,사내
SN2599,E115P,11.0,6.0,15.0,4.4,사내
SN2591,S10XP,11.0,11.0,8.0,1.7,사내
SN2457,S195S,13.0,11.0,10.0,3.5,사내
SN2463,E732S,16.0,11.0,7.0,2.7,사내
SN2463,S113S,11.0,11.0,10.0,2.6,사내
SN2590,E660C,18.0,11.0,35.0,5.5,사내
SN2463,S195S,13.0,11.0,10.0,3.5,사내
SN2463,S194S,16.0,11.0,10.0,3.5,사내
SN2463,E130C,16.0,16.0,9.0,5.8,사내
SN2607,T110P,16.0,15.0,70.0,2.7,사내
SN2607,D371P,21.0,14.0,51.0,4.1,사내
SN2612,T340P,18.0,17.0,47.0,2.9,사내
SN2457,B190S,20.0,16.0,1.0,2.4,사내
SN2457,B190P,20.0,16.0,3.0,2.4,사내
SN2603,D210C,20.0,20.0,52.0,2.7,사내
SN2598,S150S,19.0,15.0,47.0,5.5,사내
SN2607,T351S,16.0,16.0,50.0,2.7,사내
SN2607,T351P,17.0,16.0,65.0,2.7,사내
SN2601,D530S,22.0,11.0,36.0,7.6,사내
SN2463,S111S,22.0,19.0,97.0,2.5,사내
