id,vessel_id,block,width,length,height,weight
0,SN2456,E450C,15.5,21.0,5.8,44.0
1,SN2591,E620P,15.5,21.0,5.8,47.0
2,SN2464,D392S,15.5,21.0,5.8,11.0
3,SN2599,E513P,15.5,21.0,5.8,16.0
4,SN2611,D630S,15.5,21.0,5.8,12.0
5,SN2616,D350P,15.5,21.0,5.8,28.0
6,SN2463,E733P,15.5,21.0,5.8,8.0
7,SN2615,E620S,15.5,21.0,5.8,45.0
8,SN2463,E740S,15.5,21.0,5.8,16.0
9,SN2457,E370P,15.5,21.0,5.8,27.0
10,SN2612,D131S,15.5,21.0,5.8,36.0
11,SN2463,A121S,15.5,21.0,5.8,23.0
12,SN2454,S620P,15.5,21.0,5.8,30.0
13,SN2627,E561S,15.5,21.0,5.8,13.0
14,SN2634,E532S,11.0,15.5,5.8,2.0
15,SN2463,S093P,15.5,21.0,5.8,11.0
16,SN2608,B201S,15.5,21.0,5.8,43.0
17,SN2634,M210P,15.5,21.0,5.8,54.0
18,SN2601,D320P,15.5,21.0,5.8,25.0
19,SN2627,B110P,15.5,21.0,5.8,34.0
20,SN2627,D280S,15.5,21.0,5.8,34.0
21,SN2634,F11AS,15.5,21.0,5.8,25.0
22,SN2598,D191S,15.5,21.0,5.8,43.0
23,SN2609,E11EP,15.5,21.0,5.8,13.0
24,SN2598,T550P,15.5,21.0,5.8,14.0
25,SN2457,S124P,15.5,21.0,5.8,36.0
26,SN2463,S101P,15.5,21.0,5.8,45.0
27,SN2598,D380S,15.5,21.0,5.8,24.0
28,SN2599,E412P,15.5,21.0,5.8,16.0
29,SN2463,A121P,15.5,21.0,5.8,23.0
30,SN2616,S341S,15.5,21.0,5.8,12.0
31,SN2612,D321S,15.5,21.0,5.8,38.0
32,,,15.5,21.0,5.8,
33,,,15.5,21.0,5.8,
34,,,15.5,21.0,5.8,
35,,,15.5,21.0,5.8,
36,,,15.5,21.0,5.8,
37,,,15.5,21.0,5.8,
38,,,15.5,21.0,5.8,
39,,,15.5,21.0,5.8,
14,,,10.0,15.5,5.8,
