id,vessel_id,block,width,length,height,weight
0,SN2601,F331S,11.0,22.0,inf,15.0
1,SN2611,F540C,22.0,25.0,inf,61.0
2,SN2634,M120P,22.0,25.0,inf,68.0
3,SN2457,S40AP,22.0,25.0,inf,28.0
4,SN2607,D714S,22.0,25.0,inf,19.0
5,SN2607,M110S,22.0,25.0,inf,80.0
6,SN2601,D110C,22.0,25.0,inf,52.0
7,SN2608,D32AP,22.0,25.0,inf,14.0
8,SN2598,D350S,22.0,25.0,inf,25.0
9,SN2455,B200C,22.0,25.0,inf,62.0
10,SN2612,D311P,22.0,25.0,inf,46.0
11,SN2601,D370S,22.0,25.0,inf,35.0
12,SN2598,D191P,22.0,25.0,inf,41.0
13,SN2607,M510P,22.0,25.0,inf,79.0
14,SN2598,D130C,22.0,25.0,inf,50.0
15,SN2627,H210S,22.0,25.0,inf,21.0
16,SN2591,E420P,22.0,25.0,inf,49.0
17,SN2598,D370P,22.0,25.0,inf,34.0
18,SN2463,A221S,22.0,25.0,inf,27.0
19,SN2615,S160S,22.0,25.0,inf,24.0
20,SN2608,M120S,22.0,25.0,inf,58.0
21,SN2608,M110S,22.0,25.0,inf,80.0
22,SN2627,Y900C,11.0,22.0,inf,52.0
23,SN2603,D610S,11.0,22.0,inf,10.0
24,SN2601,D380P,22.0,25.0,inf,26.0
25,SN2598,F420P,22.0,25.0,inf,47.0
26,SN2608,S172S,22.0,25.0,inf,19.0
27,SN2598,D120C,22.0,25.0,inf,51.0
28,SN2601,D380S,22.0,25.0,inf,26.0
29,SN2598,T350P,22.0,25.0,inf,46.0
30,SN2607,D361P,22.0,25.0,inf,39.0
31,SN2463,S191P,22.0,25.0,inf,76.0
32,SN2607,F421P,22.0,25.0,inf,25.0
33,SN2603,S200P,22.0,25.0,inf,51.0
34,SN2598,D211P,22.0,25.0,inf,38.0
35,SN2607,M410S,22.0,25.0,inf,64.0
36,SN2456,H120P,22.0,25.0,inf,48.0
37,SN2616,S341P,11.0,22.0,inf,12.0
38,SN2612,D321P,22.0,25.0,inf,39.0
39,SN2457,E370S,22.0,25.0,inf,15.0
40,SN2607,T151C,22.0,25.0,inf,94.0
41,SN2608,T341P,22.0,25.0,inf,80.0
42,SN2457,H120S,22.0,25.0,inf,48.0
43,SN2612,D121S,22.0,25.0,inf,33.0
44,SN2634,M110P,22.0,25.0,inf,83.0
45,SN2634,M120S,22.0,25.0,inf,60.0
46,SN2607,D361S,22.0,25.0,inf,38.0
47,SN2590,E560C,22.0,25.0,inf,26.0
48,SN2598,D340S,22.0,25.0,inf,33.0
49,SN2607,D331P,22.0,25.0,inf,39.0
50,SN2612,T540S,11.0,22.0,inf,18.0
51,SN2598,F420S,22.0,25.0,inf,51.0
52,SN2454,S420P,22.0,25.0,inf,30.0
53,SN2456,B180S,22.0,25.0,inf,53.0
54,SN2457,E510S,22.0,25.0,inf,46.0
55,SN2608,M220S,22.0,25.0,inf,33.0
56,SN2464,E412S,11.0,22.0,inf,8.0
57,SN2463,S094P,11.0,22.0,inf,9.0
58,SN2598,T350S,22.0,25.0,inf,42.0
59,SN2611,F110P,22.0,25.0,inf,21.0
60,SN2598,D310P,22.0,25.0,inf,37.0
61,SN2463,E370S,22.0,25.0,inf,15.0
62,SN2612,S120S,22.0,25.0,inf,64.0
63,SN2611,D190C,22.0,25.0,inf,44.0
64,SN2612,T740S,22.0,25.0,inf,7.0
65,SN2463,B190P,22.0,25.0,inf,3.0
66,SN2611,F120C,22.0,25.0,inf,20.0
67,SN2454,S400P,22.0,25.0,inf,76.0
68,SN2598,D370S,22.0,25.0,inf,35.0
69,SN2608,H131P,22.0,25.0,inf,44.0
70,,,22.0,25.0,inf,
71,,,22.0,25.0,inf,
72,,,22.0,25.0,inf,
73,,,22.0,25.0,inf,
74,,,22.0,25.0,inf,
75,,,22.0,25.0,inf,
76,,,22.0,25.0,inf,
77,,,22.0,25.0,inf,
78,,,22.0,25.0,inf,
79,,,22.0,25.0,inf,
80,,,22.0,25.0,inf,
81,,,22.0,25.0,inf,
82,,,22.0,25.0,inf,
83,,,22.0,25.0,inf,
0,,,14.0,22.0,inf,
22,,,14.0,22.0,inf,
23,,,14.0,22.0,inf,
37,,,14.0,22.0,inf,
50,,,14.0,22.0,inf,
56,,,14.0,22.0,inf,
57,,,14.0,22.0,inf,
