id,vessel_id,block,width,length,height,weight
0,SN2598,F520S,23.0,25.0,inf,73.0
1,SN2611,D210C,23.0,25.0,inf,52.0
2,SN2612,S170P,23.0,25.0,inf,60.0
3,SN2457,S121P,23.0,25.0,inf,83.0
4,SN2608,B131P,23.0,25.0,inf,135.0
5,SN2603,D170C,23.0,25.0,inf,57.0
6,SN2457,S121S,23.0,25.0,inf,83.0
7,SN2612,S150S,23.0,25.0,inf,60.0
8,,,23.0,25.0,inf,
9,,,23.0,25.0,inf,
14,,,16.0,16.0,inf,
15,,,16.0,16.0,inf,
17,,,16.0,21.0,inf,
18,,,16.0,21.0,inf,
23,,,17.0,24.0,inf,
24,,,17.0,24.0,inf,
25,,,17.0,24.0,inf,
10,SN2608,F111P,16.0,16.0,inf,36.0
11,SN2599,E515S,4.0,16.0,inf,2.0
12,SN2456,E570C,16.0,16.0,inf,29.0
13,SN2615,S420P,16.0,16.0,inf,17.0
16,SN2463,F322S,16.0,21.0,inf,9.0
19,SN2612,T310S,17.0,24.0,inf,75.0
20,SN2616,D360P,17.0,24.0,inf,37.0
21,SN2616,L151S,17.0,24.0,inf,34.0
22,SN2627,S390S,17.0,24.0,inf,51.0
11,,,12.0,16.0,inf,
