id,vessel_id,block,width,length,height,weight
0,SN2463,E210S,14.0,25.0,inf,32.0
1,SN2456,A220P,14.0,25.0,inf,38.0
2,SN2598,D400P,14.0,25.0,inf,35.0
3,SN2603,D820S,11.0,14.0,inf,2.0
4,SN2634,E210P,14.0,25.0,inf,26.0
5,SN2598,D310S,14.0,25.0,inf,38.0
6,SN2616,H170P,11.0,14.0,inf,10.0
7,SN2455,S830P,14.0,25.0,inf,23.0
8,SN2457,H150P,14.0,25.0,inf,26.0
9,SN2591,E641C,12.0,14.0,inf,9.0
10,SN2607,D715S,11.0,14.0,inf,5.0
11,SN2612,H120S,14.0,25.0,inf,35.0
12,SN2597,G140S,14.0,25.0,inf,23.0
13,SN2611,D770S,11.0,14.0,inf,7.0
14,SN2463,F732P,11.0,14.0,inf,18.0
15,SN2457,H330P,14.0,25.0,inf,29.0
16,SN2609,E11ES,13.0,14.0,inf,13.0
17,SN2455,W820S,14.0,25.0,inf,18.0
18,SN2463,S40AS,14.0,25.0,inf,28.0
19,SN2464,D392P,14.0,25.0,inf,10.0
20,SN2601,F331P,11.0,14.0,inf,13.0
21,SN2456,A110C,12.0,14.0,inf,25.0
22,SN2616,B160P,14.0,25.0,inf,26.0
23,SN2615,F332P,11.0,14.0,inf,11.0
24,SN2616,S350P,14.0,25.0,inf,19.0
25,SN2607,E350C,14.0,25.0,inf,36.0
26,SN2464,E322P,14.0,25.0,inf,40.0
27,SN2603,Y730C,12.0,14.0,inf,7.0
28,SN2615,M810P,14.0,25.0,inf,33.0
29,SN2464,B11AP,14.0,25.0,inf,33.0
30,SN2634,M210S,14.0,25.0,inf,55.0
31,SN2608,H131S,14.0,25.0,inf,44.0
32,SN2591,E441P,11.0,14.0,inf,8.0
33,SN2612,H140S,14.0,25.0,inf,33.0
34,SN2457,S40AS,14.0,25.0,inf,28.0
35,SN2463,S101S,14.0,25.0,inf,45.0
36,SN2611,G130S,14.0,25.0,inf,18.0
37,SN2591,E140C,12.0,14.0,inf,4.0
38,SN2615,E470C,14.0,25.0,inf,52.0
39,SN2615,E533S,11.0,14.0,inf,6.0
40,SN2616,H160P,14.0,25.0,inf,14.0
41,SN2457,H330S,14.0,25.0,inf,29.0
42,SN2634,M110S,14.0,25.0,inf,78.0
43,SN2616,L152P,14.0,25.0,inf,46.0
44,SN2634,A212S,14.0,25.0,inf,50.0
45,SN2463,E731S,14.0,25.0,inf,28.0
46,SN2609,E11FP,11.0,14.0,inf,16.0
47,SN2603,D730S,14.0,25.0,inf,19.0
48,SN2612,T540P,11.0,14.0,inf,18.0
49,SN2608,M110P,14.0,25.0,inf,83.0
50,SN2454,S630S,14.0,25.0,inf,19.0
51,SN2405,D640S,13.0,14.0,inf,18.0
52,,,14.0,25.0,inf,
53,,,14.0,25.0,inf,
54,,,14.0,25.0,inf,
55,,,14.0,25.0,inf,
56,,,14.0,25.0,inf,
57,,,14.0,25.0,inf,
58,,,14.0,25.0,inf,
59,,,14.0,25.0,inf,
60,,,14.0,25.0,inf,
61,,,14.0,25.0,inf,
62,,,14.0,25.0,inf,
63,,,14.0,25.0,inf,
64,,,14.0,25.0,inf,
65,,,14.0,25.0,inf,
66,,,14.0,25.0,inf,
67,,,14.0,25.0,inf,
68,,,14.0,25.0,inf,
3,,,14.0,14.0,inf,
6,,,14.0,14.0,inf,
9,,,13.0,14.0,inf,
10,,,14.0,14.0,inf,
13,,,14.0,14.0,inf,
14,,,14.0,14.0,inf,
16,,,12.0,14.0,inf,
20,,,14.0,14.0,inf,
21,,,13.0,14.0,inf,
23,,,14.0,14.0,inf,
27,,,13.0,14.0,inf,
32,,,14.0,14.0,inf,
37,,,13.0,14.0,inf,
39,,,14.0,14.0,inf,
46,,,14.0,14.0,inf,
48,,,14.0,14.0,inf,
51,,,12.0,14.0,inf,
