vessel_id,block,length,width,weight,height,location
SN2615,S150S,15.0,13.0,25.0,3.1,덕곡2
SN2615,S160S,15.0,13.0,24.0,3.1,덕곡1
SN2614,E540S,15.0,14.0,33.0,3.4,성동
SN2612,D341S,20.0,14.0,49.0,4.1,덕곡1
SN2607,F522S,12.0,11.0,15.0,3.6,덕곡2
SN2598,D400P,22.0,13.0,35.0,4.2,한내
SN2455,W820S,19.0,11.0,18.0,2.3,덕곡2
SN2455,W820P,19.0,11.0,18.0,2.3,봉암9
SN2611,F540C,17.0,15.0,61.0,3.2,덕곡2
SN2612,D341P,20.0,14.0,48.0,4.1,덕곡2
SN2608,K191C,16.0,12.0,51.0,3.2,봉암9
SN2601,D500S,11.0,8.0,5.0,2.4,한내
SN2601,D500P,11.0,8.0,5.0,2.4,OFD
SN2598,T350S,18.0,17.0,42.0,4.5,신한내
SN2591,E130C,16.0,12.0,3.0,4.7,한내
SN2612,S110S,22.0,21.0,62.0,8.3,성동
SN2607,S110S,22.0,21.0,60.0,8.1,오비1
SN2463,S101S,20.0,12.0,45.0,2.5,덕곡1
SN2611,F110P,15.0,13.0,21.0,3.5,덕곡2
SN2463,S094S,11.0,10.0,9.0,2.6,봉암9
