id,vessel_id,block,width,length,height,weight
0,SN2607,D620S,13.0,21.0,5.0,23.0
1,SN2638,E11DS,13.0,21.0,5.0,30.0
2,SN2612,S193S,13.0,21.0,5.0,30.0
3,SN2609,E11FP,13.0,21.0,5.0,16.0
4,SN2612,T510P,13.0,21.0,5.0,7.0
5,SN2457,S18BS,13.0,21.0,5.0,42.0
6,SN2612,T720S,13.0,21.0,5.0,15.0
7,SN2634,M210P,13.0,21.0,5.0,54.0
8,SN2608,B191S,13.0,21.0,5.0,17.0
9,SN2457,S40AS,13.0,21.0,5.0,28.0
10,SN2607,D715S,13.0,21.0,5.0,5.0
11,SN2464,E412S,13.0,21.0,5.0,8.0
12,SN2612,F131S,13.0,21.0,5.0,13.0
13,SN2654,E11AP,13.0,21.0,5.0,17.0
14,SN2615,F631S,13.0,21.0,5.0,24.0
15,SN2612,D611S,13.0,21.0,5.0,4.0
16,SN2634,E532S,13.0,21.0,5.0,2.0
17,SN2608,B201S,13.0,21.0,5.0,43.0
18,SN2637,E431C,13.0,21.0,5.0,11.0
19,SN2607,F522S,13.0,21.0,5.0,15.0
20,SN2634,E220S,13.0,21.0,5.0,17.0
21,SN2463,S40AP,13.0,21.0,5.0,28.0
22,SN2463,S391S,13.0,21.0,5.0,55.0
23,SN2455,W820S,13.0,21.0,5.0,18.0
24,,,13.0,21.0,5.0,
25,,,13.0,21.0,5.0,
26,,,13.0,21.0,5.0,
27,,,13.0,21.0,5.0,
28,,,13.0,21.0,5.0,
29,,,13.0,21.0,5.0,
37,,,16.0,21.0,5.0,
38,,,16.0,21.0,5.0,
39,,,16.0,21.0,5.0,
30,SN2598,F510S,16.0,21.0,5.0,45.0
31,SN2612,D341P,16.0,21.0,5.0,48.0
32,SN2611,F540C,16.0,21.0,5.0,61.0
33,SN2598,F110S,16.0,21.0,5.0,21.0
34,SN2615,S150S,16.0,21.0,5.0,25.0
35,SN2607,T120P,16.0,21.0,5.0,43.0
36,SN2611,F110P,16.0,21.0,5.0,21.0
