id,vessel_id,block,width,length,height,weight
0,SN2607,B110P,23.0,25.0,inf,78.0
1,SN2612,S180S,23.0,25.0,inf,51.0
2,SN2456,B190P,23.0,25.0,inf,3.0
3,SN2607,T351P,23.0,25.0,inf,65.0
4,SN2612,H140S,23.0,25.0,inf,33.0
5,SN2607,T110P,23.0,25.0,inf,70.0
6,SN2598,F520P,23.0,25.0,inf,77.0
7,SN2601,E520P,23.0,25.0,inf,73.0
8,SN2614,E570P,13.0,23.0,inf,29.0
9,SN2608,T121S,23.0,25.0,inf,71.0
10,SN2598,F220C,23.0,25.0,inf,32.0
11,SN2603,F520S,23.0,25.0,inf,68.0
12,SN2627,E520S,23.0,25.0,inf,45.0
13,SN2598,D310S,23.0,25.0,inf,38.0
14,SN2608,S161S,23.0,25.0,inf,81.0
15,SN2616,L152P,11.0,25.0,inf,46.0
16,SN2454,S210P,23.0,25.0,inf,32.0
17,SN2457,E370S,16.0,23.0,inf,15.0
18,SN2634,M310S,23.0,25.0,inf,59.0
19,SN2616,S341P,11.0,23.0,inf,12.0
20,SN2457,B190S,23.0,25.0,inf,1.0
21,SN2615,M710S,11.0,25.0,inf,24.0
22,SN2598,D330P,23.0,25.0,inf,24.0
23,SN2598,T350S,23.0,25.0,inf,42.0
24,SN2608,T351P,23.0,25.0,inf,65.0
25,SN2612,T310S,23.0,25.0,inf,75.0
26,SN2598,D350S,23.0,25.0,inf,25.0
27,SN2463,E130C,23.0,25.0,inf,9.0
28,SN2607,E340C,23.0,25.0,inf,57.0
29,SN2463,E733P,16.0,23.0,inf,8.0
30,SN2591,F11CP,13.0,23.0,inf,10.0
31,SN2607,D361P,23.0,25.0,inf,39.0
32,SN2607,D331S,23.0,25.0,inf,40.0
33,SN2611,F110S,23.0,25.0,inf,21.0
34,SN2607,S130P,23.0,25.0,inf,58.0
35,,,23.0,25.0,inf,
36,,,23.0,25.0,inf,
37,,,23.0,25.0,inf,
38,,,23.0,25.0,inf,
39,,,23.0,25.0,inf,
40,,,23.0,25.0,inf,
8,,,12.0,23.0,inf,
15,,,12.0,25.0,inf,
17,,,9.0,23.0,inf,
19,,,14.0,23.0,inf,
21,,,12.0,25.0,inf,
29,,,9.0,23.0,inf,
30,,,12.0,23.0,inf,
