vessel_id,block,length,width,weight,height,location
SN2611,D740S,19.0,11.0,49.0,4.2,봉암8
SN2601,D370S,21.0,14.0,35.0,4.4,성동
SN2463,S191S,20.0,13.0,74.0,2.5,덕곡1
SN2463,S192S,20.0,11.0,30.0,2.6,성동
SN2598,D400S,22.0,13.0,35.0,4.2,덕곡1
SN2454,S400P,20.0,18.0,76.0,5.2,성동
SN2601,E150C,15.0,12.0,50.0,5.0,덕곡1
SN2607,D341S,21.0,14.0,50.0,4.1,오비1
SN2607,D341P,21.0,14.0,49.0,4.1,오비3
SN2612,T320P,18.0,17.0,48.0,2.9,덕곡1
SN2611,D540S,11.0,5.0,2.0,2.2,성동
SN2603,D710S,15.0,11.0,7.0,5.9,신한내
SN2612,H130S,21.0,12.0,33.0,6.5,덕곡1
SN2627,B110S,18.0,14.0,33.0,2.5,성동
SN2612,K190C,16.0,12.0,39.0,3.2,덕곡1
SN2608,B201P,15.0,11.0,50.0,3.2,오비1
SN2612,S120S,22.0,19.0,64.0,5.4,성동
SN2611,D200C,20.0,18.0,43.0,1.9,덕곡1
SN2607,D510S,24.0,11.0,35.0,6.7,덕곡1
SN2454,H210S,19.0,15.0,44.0,7.5,OFD
SN2612,K180C,15.0,12.0,31.0,3.2,덕곡1
SN2601,D370P,21.0,14.0,36.0,4.4,신한내
SN2607,D311S,20.0,14.0,47.0,4.9,덕곡1
SN2601,D120C,20.0,16.0,48.0,1.9,오비1
SN2456,B180P,19.0,18.0,53.0,2.3,덕곡1
SN2608,B171S,21.0,13.0,84.0,3.2,덕곡1
SN2612,D311P,20.0,14.0,46.0,4.8,한내
SN2456,B180S,19.0,18.0,53.0,2.3,덕곡1
SN2457,S121S,22.0,20.0,83.0,2.5,신한내
SN2608,T341S,18.0,17.0,72.0,2.8,신한내
,,,,,,3768022.999998972
,,,,,,2.19
