vessel_id,block,length,width,weight,height,location,destination,slot_length,slot_width,slot_height,slot_space,block_space
SN2607,D311S,20.0,14.0,47.0,4.9,사내,신한내,23,14,1000,322,280.0
SN2612,D311P,20.0,14.0,46.0,4.8,사내,신한내,25,23,1000,575,280.0
SN2456,B180P,19.0,18.0,53.0,2.3,사내,오비1,25,23,1000,575,342.0
SN2627,B110S,18.0,14.0,33.0,2.5,사내,신한내,25,23,1000,575,252.0
SN2598,D400S,22.0,13.0,35.0,4.2,사내,신한내,25,23,1000,575,286.0
SN2603,D710S,15.0,11.0,7.0,5.9,사내,한내,25,14,1000,350,165.0
SN2607,D510S,24.0,11.0,35.0,6.7,사내,성동,25,22,1000,550,264.0
SN2611,D540S,11.0,5.0,2.0,2.2,사내,봉암8,21,15,5,315,55.0
SN2601,D370S,21.0,14.0,35.0,4.4,사내,신한내,25,23,1000,575,294.0
SN2607,D341S,21.0,14.0,50.0,4.1,사내,신한내,25,23,1000,575,294.0
SN2608,B201P,15.0,11.0,50.0,3.2,사내,오비3,21,15,1000,315,165.0
SN2463,S192S,20.0,11.0,30.0,2.6,사내,덕곡1,23,16,1000,368,220.0
SN2607,D341P,21.0,14.0,49.0,4.1,사내,신한내,25,23,1000,575,294.0
SN2601,D120C,20.0,16.0,48.0,1.9,사내,성동,25,22,1000,550,320.0
SN2463,S191S,20.0,13.0,74.0,2.5,사내,OFD,25,16,1000,400,260.0
SN2601,D370P,21.0,14.0,36.0,4.4,사내,덕곡1,23,16,1000,368,294.0
SN2454,S400P,20.0,18.0,76.0,5.2,사내,성동,25,22,1000,550,360.0
SN2611,D200C,20.0,18.0,43.0,1.9,사내,오비1,25,23,1000,575,360.0
SN2612,K190C,16.0,12.0,39.0,3.2,사내,한내,25,14,1000,350,192.0
SN2612,K180C,15.0,12.0,31.0,3.2,사내,한내,25,14,1000,350,180.0
SN2457,S121S,22.0,20.0,83.0,2.5,사내,덕곡1,25,23,1000,575,440.0
SN2608,B171S,21.0,13.0,84.0,3.2,사내,덕곡1,24,19,1000,456,273.0
SN2454,H210S,19.0,15.0,44.0,7.5,사내,성동,25,22,1000,550,285.0
SN2608,T341S,18.0,17.0,72.0,2.8,사내,덕곡1,24,19,1000,456,306.0
SN2612,H130S,21.0,12.0,33.0,6.5,사내,덕곡1,25,23,1000,575,252.0
SN2611,D740S,19.0,11.0,49.0,4.2,사내,덕곡1,25,23,1000,575,209.0
SN2601,E150C,15.0,12.0,50.0,5.0,사내,한내,25,14,1000,350,180.0
SN2612,T320P,18.0,17.0,48.0,2.9,사내,성동,25,22,1000,550,306.0
SN2456,B180S,19.0,18.0,53.0,2.3,사내,성동,25,22,1000,550,342.0
SN2612,S120S,22.0,19.0,64.0,5.4,사내,성동,25,22,1000,550,418.0
