vessel_id,block,length,width,height,weight,destination,slot_length,slot_width,slot_height,slot_space,block_space,Batch
 SN2463, E51AS,14.0,11.0,2.0,15.0,오비1,16.0,16.0,1000.0,256.0,154.0,2_1.0
 SN2601, M900S,11.0,6.0,3.3,1.0,오비1,16.0,16.0,1000.0,256.0,66.0,2_1.0
 SN2456, D194S,11.0,8.0,2.3,8.0,오비1,21.0,16.0,1000.0,336.0,88.0,2_1.0
 SN2599, E11CP,11.0,8.0,3.3,9.0,오비1,21.0,16.0,1000.0,336.0,88.0,2_1.0
 SN2603, A110P,11.0,7.0,11.5,19.0,오비1,24.0,17.0,1000.0,408.0,77.0,2_1.0
 SN2627, F411P,18.0,11.0,4.4,19.0,덕곡1,23.0,16.0,1000.0,368.0,198.0,0_1.0
 SN2601, T320S,18.0,16.0,2.9,42.0,신한내,25.0,23.0,1000.0,575.0,288.0,8_1.0
 SN2452, E670C,21.0,11.0,5.2,64.0,덕곡1,23.0,16.0,1000.0,368.0,231.0,0_1.0
 SN2614, E440S,19.0,16.0,7.5,28.0,신한내,25.0,23.0,1000.0,575.0,304.0,8_1.0
 SN2627, S180S,19.0,11.0,6.2,24.0,OFD,25.0,16.0,1000.0,400.0,209.0,9_1.0
 SN2591, A221P,17.0,17.0,4.6,46.0,신한내,25.0,23.0,1000.0,575.0,289.0,8_1.0
 SN2456, A12AP,11.0,7.0,2.8,6.0,오비1,24.0,17.0,1000.0,408.0,77.0,2_1.0
 SN2602, F220C,18.0,15.0,5.2,29.0,신한내,25.0,23.0,1000.0,575.0,270.0,8_1.0
 SN2612, A110P,11.0,7.0,11.5,19.0,오비1,25.0,23.0,1000.0,575.0,77.0,2_1.0
 SN2601, T120P,17.0,14.0,2.9,43.0,덕곡1,23.0,16.0,1000.0,368.0,238.0,0_1.0
 SN2614, S620S,18.0,17.0,5.9,27.0,신한내,25.0,23.0,1000.0,575.0,306.0,8_2.0
 SN2598, S111P,21.0,16.0,2.6,101.0,신한내,25.0,23.0,1000.0,575.0,336.0,8_2.0
 SN2601, T351S,17.0,16.0,2.7,52.0,신한내,25.0,23.0,1000.0,575.0,272.0,8_2.0
 SN2627, A220S,18.0,11.0,3.2,30.0,덕곡1,24.0,19.0,1000.0,456.0,198.0,0_1.0
 SN2463, E424S,11.0,4.0,2.6,3.0,오비1,25.0,23.0,1000.0,575.0,44.0,2_1.0
 SN2627, E420S,20.0,18.0,7.1,59.0,신한내,25.0,23.0,1000.0,575.0,360.0,8_2.0
 SN2603, D211S,20.0,11.0,1.9,43.0,OFD,25.0,16.0,1000.0,400.0,220.0,9_1.0
 SN2616, E421S,15.0,11.0,1.4,11.0,한내,25.0,14.0,1000.0,350.0,165.0,7_1.0
 SN2455, W820S,19.0,11.0,2.3,18.0,OFD,25.0,16.0,1000.0,400.0,209.0,9_1.0
 SN2590, E560C,18.0,11.0,7.2,26.0,성동,22.0,12.0,1000.0,264.0,198.0,6_1.0
 SN2456, E320S,16.0,13.0,5.9,31.0,덕곡1,24.0,19.0,1000.0,456.0,208.0,0_1.0
 SN2452, C720P,22.0,11.0,0.7,11.0,OFD,25.0,16.0,1000.0,400.0,242.0,9_1.0
 SN2607, E311S,15.0,11.0,3.0,22.0,한내,25.0,14.0,1000.0,350.0,165.0,7_1.0
 SN2611, D401P,18.0,14.0,4.1,37.0,덕곡1,24.0,19.0,1000.0,456.0,252.0,0_2.0
 SN2611, E230S,17.0,13.0,4.7,28.0,덕곡1,25.0,23.0,1000.0,575.0,221.0,0_2.0
 SN2455, F310S,16.0,14.0,7.8,29.0,덕곡1,25.0,23.0,1000.0,575.0,224.0,0_2.0
 SN2590, H200S,15.0,11.0,4.5,17.0,봉암9,21.0,15.0,5.0,315.0,165.0,5_1.0
 SN2453, E660C,18.0,17.0,1.9,55.0,신한내,25.0,23.0,1000.0,575.0,306.0,8_3.0
 SN2612, E422S,12.0,11.0,2.9,18.0,봉암8,21.0,15.0,5.0,315.0,132.0,4_1.0
 SN2597, D370P,21.0,14.0,4.4,35.0,덕곡2,21.0,16.0,5.0,336.0,294.0,1_1.0
 SN2612, B181S,15.0,11.0,3.4,27.0,한내,25.0,14.0,1000.0,350.0,165.0,7_1.0
 SN2627, S180P,19.0,11.0,6.2,24.0,덕곡1,25.0,23.0,1000.0,575.0,209.0,0_2.0
 SN2598, E350C,16.0,14.0,5.2,49.0,봉암9,21.0,15.0,5.0,315.0,224.0,5_1.0
 SN2603, A210P,21.0,18.0,8.0,53.0,성동,25.0,22.0,1000.0,550.0,378.0,6_1.0
 SN2457, D292S,13.0,11.0,2.0,7.0,오비3,21.0,15.0,1000.0,315.0,143.0,3_1.0
 SN2612, M410P,22.0,18.0,3.6,66.0,성동,25.0,22.0,1000.0,550.0,396.0,6_1.0
 SN2458, S16AP,21.0,11.0,1.8,56.0,봉암8,21.0,15.0,5.0,315.0,231.0,4_1.0
 SN2598, B111S,21.0,17.0,3.1,127.0,신한내,25.0,23.0,1000.0,575.0,357.0,8_3.0
 SN2611, E510P,21.0,14.0,5.3,49.0,봉암9,21.0,15.0,5.0,315.0,294.0,5_1.0
 SN2598, M410S,22.0,18.0,4.0,64.0,성동,25.0,22.0,1000.0,550.0,396.0,6_2.0
 SN2455, E712S,11.0,3.0,2.6,2.0,사내,,,,,77.0,6_1.0
 SN2597, F520S,20.0,20.0,7.2,71.0,사내,,,,,208.0,6_1.0
 SN2463, H11AP,19.0,11.0,2.6,15.0,사내,,,,,165.0,5_1.0
 SN2627, S093P,12.0,11.0,2.5,17.0,사내,,,,,231.0,7_1.0
 SN2591, B170S,11.0,10.0,2.0,12.0,사내,,,,,252.0,9_1.0
 SN2455, F220C,13.0,11.0,5.2,8.0,사내,,,,,306.0,9_1.0
 SN2627, H310S,18.0,11.0,2.6,36.0,사내,,,,,77.0,3_1.0
 SN2612, E532P,11.0,4.0,1.7,3.0,사내,,,,,289.0,4_1.0
 SN2614, Y900C,11.0,11.0,2.6,44.0,사내,,,,,66.0,3_1.0
 SN2602, D390P,15.0,13.0,4.2,24.0,사내,,,,,357.0,0_1.0
 SN2608, E116P,11.0,8.0,2.4,9.0,사내,,,,,143.0,1_1.0
 SN2607, A211P,20.0,15.0,8.9,113.0,사내,,,,,294.0,0_1.0
 SN2614, Y900C,11.0,11.0,2.6,44.0,사내,,,,,66.0,3_1.0
 SN2598, B221P,15.0,15.0,3.2,65.0,사내,,,,,165.0,1_1.0
 SN2627, S093S,12.0,11.0,2.5,17.0,사내,,,,,77.0,5_1.0
