id,vessel_id,block,width,length,height,weight
0, SN2590, A430C,14.0,25.0,inf,23.0
1, SN2616, E42AS,11.0,14.0,inf,10.0
2, SN2602, D840S,11.0,14.0,inf,7.0
3, SN2607, M210P,14.0,25.0,inf,54.0
4, SN2602, D770S,11.0,14.0,inf,8.0
5, SN2456, A12BP,11.0,14.0,inf,4.0
6, SN2598, F44AS,11.0,14.0,inf,9.0
7, SN2614, S180S,14.0,25.0,inf,15.0
8, SN2612, E120S,12.0,14.0,inf,1.0
9, SN2463, D29BP,13.0,14.0,inf,7.0
10, SN2616, S36XP,13.0,14.0,inf,21.0
11, SN2591, D350P,14.0,25.0,inf,28.0
12, SN2591, D160S,12.0,14.0,inf,18.0
13, SN2598, M900P,11.0,14.0,inf,2.0
14, SN2598, S112P,14.0,25.0,inf,23.0
15, SN2599, E11CS,11.0,14.0,inf,9.0
16, SN2627, A410P,12.0,14.0,inf,21.0
17, SN2611, D411S,14.0,25.0,inf,43.0
18, SN2463, D29BS,13.0,14.0,inf,8.0
19, SN2463, E24AS,11.0,14.0,inf,7.0
20, SN2603, F423S,11.0,14.0,inf,10.0
21, SN2612, E511P,14.0,25.0,inf,20.0
22, SN2455, M900P,11.0,14.0,inf,4.0
23, SN2597, F210S,14.0,25.0,inf,8.0
24, SN2607, E151C,12.0,14.0,inf,32.0
25, SN2627, E410S,14.0,25.0,inf,34.0
26, SN2601, D520S,14.0,25.0,inf,35.0
27, SN2615, L150P,14.0,25.0,inf,28.0
28, SN2455, M900S,11.0,14.0,inf,4.0
29, SN2611, D500S,11.0,14.0,inf,4.0
30, SN2458, S16AS,14.0,25.0,inf,56.0
31, SN2456, E511P,13.0,14.0,inf,21.0
32, SN2614, S400P,14.0,25.0,inf,16.0
33, SN2603, E370C,14.0,25.0,inf,18.0
34, SN2614, S080S,14.0,25.0,inf,16.0
35, SN2614, A420P,14.0,25.0,inf,18.0
36, SN2612, S11AS,14.0,25.0,inf,25.0
37, SN2615, E370P,12.0,14.0,inf,6.0
38, SN2453, C720P,14.0,25.0,inf,11.0
39, SN2603, D181S,14.0,25.0,inf,31.0
40, SN2454, W831C,14.0,25.0,inf,7.0
41, SN2597, G510P,11.0,14.0,inf,2.0
42, SN2611, D840S,11.0,14.0,inf,7.0
43, SN2611, E230S,14.0,25.0,inf,28.0
44, SN2452, C720P,14.0,25.0,inf,11.0
45, SN2614, F622S,12.0,14.0,inf,11.0
46, SN2455, W820P,14.0,25.0,inf,18.0
47, SN2456, D291P,12.0,14.0,inf,5.0
48, SN2453, S630S,14.0,25.0,inf,19.0
49, SN2603, D330S,14.0,25.0,inf,25.0
50, SN2455, F120C,11.0,14.0,inf,4.0
51, SN2612, E522P,11.0,14.0,inf,9.0
52, SN2454, W820S,14.0,25.0,inf,18.0
53, SN2615, F32CC,11.0,14.0,inf,11.0
54, SN2615, E330S,14.0,25.0,inf,13.0
55, SN2612, A110S,11.0,14.0,inf,19.0
56, SN2456, H121P,14.0,25.0,inf,36.0
57, SN2589, T15NP,11.0,14.0,inf,1.0
58, SN2453, E710S,14.0,25.0,inf,88.0
59, SN2463, B11AS,14.0,25.0,inf,33.0
60, SN2616, E312S,11.0,14.0,inf,5.0
61,,,14.0,25.0,inf,
62,,,14.0,25.0,inf,
63,,,14.0,25.0,inf,
64,,,14.0,25.0,inf,
65,,,14.0,25.0,inf,
66,,,14.0,25.0,inf,
67,,,14.0,25.0,inf,
68,,,14.0,25.0,inf,
1,,,14.0,14.0,inf,
2,,,14.0,14.0,inf,
4,,,14.0,14.0,inf,
5,,,14.0,14.0,inf,
6,,,14.0,14.0,inf,
8,,,13.0,14.0,inf,
9,,,12.0,14.0,inf,
10,,,12.0,14.0,inf,
12,,,13.0,14.0,inf,
13,,,14.0,14.0,inf,
15,,,14.0,14.0,inf,
16,,,13.0,14.0,inf,
18,,,12.0,14.0,inf,
19,,,14.0,14.0,inf,
20,,,14.0,14.0,inf,
22,,,14.0,14.0,inf,
24,,,13.0,14.0,inf,
28,,,14.0,14.0,inf,
29,,,14.0,14.0,inf,
31,,,12.0,14.0,inf,
37,,,13.0,14.0,inf,
41,,,14.0,14.0,inf,
42,,,14.0,14.0,inf,
45,,,13.0,14.0,inf,
47,,,13.0,14.0,inf,
50,,,14.0,14.0,inf,
51,,,14.0,14.0,inf,
53,,,14.0,14.0,inf,
55,,,14.0,14.0,inf,
57,,,14.0,14.0,inf,
60,,,14.0,14.0,inf,
