id,vessel_id,block,width,length,height,weight
0, SN2602, G130S,16.0,25.0,inf,18.0
1, SN2603, D401S,16.0,25.0,inf,37.0
2, SN2612, E423S,16.0,25.0,inf,13.0
3, SN2604, G140S,16.0,25.0,inf,22.0
4, SN2597, Y740C,12.0,16.0,inf,6.0
5, SN2607, M220P,16.0,25.0,inf,34.0
6, SN2457, E110P,16.0,25.0,inf,19.0
7, SN2616, E421P,16.0,25.0,inf,11.0
8, SN2591, S151P,16.0,25.0,inf,38.0
9, SN2596, Y390S,12.0,16.0,inf,3.0
10, SN2601, E230P,16.0,25.0,inf,28.0
11, SN2603, D720S,13.0,16.0,inf,32.0
12, SN2590, E560C,16.0,25.0,inf,26.0
13, SN2590, F730P,16.0,25.0,inf,25.0
14, SN2615, E370P,12.0,16.0,inf,6.0
15, SN2457, B19AS,16.0,25.0,inf,35.0
16,,,16.0,25.0,inf,
17,,,16.0,25.0,inf,
18,,,16.0,25.0,inf,
19,,,16.0,25.0,inf,
4,,,13.0,16.0,inf,
9,,,13.0,16.0,inf,
11,,,12.0,16.0,inf,
14,,,13.0,16.0,inf,
