id,vessel_id,block,width,length,height,weight
0, SN2456, E310P,15.5,21.0,5.8,40.0
1, SN2602, D160C,15.5,21.0,5.8,43.0
2, SN2611, D770S,15.5,21.0,5.8,7.0
3, SN2463, E423P,15.5,21.0,5.8,10.0
4, SN2627, E632S,15.5,21.0,5.8,29.0
5, SN2616, E33BS,15.5,21.0,5.8,7.0
6, SN2612, E512S,15.5,21.0,5.8,14.0
7, SN2455, W820S,15.5,21.0,5.8,18.0
8, SN2602, D410P,15.5,21.0,5.8,37.0
9, SN2614, E571P,15.5,21.0,5.8,9.0
10, SN2616, E42AS,15.5,21.0,5.8,10.0
11, SN2597, D211S,15.5,21.0,5.8,46.0
12, SN2455, M610S,15.5,21.0,5.8,60.0
13, SN2627, B191P,15.5,21.0,5.8,41.0
14, SN2616, E42AP,15.5,21.0,5.8,10.0
15, SN2611, E230P,15.5,21.0,5.8,28.0
16, SN2612, B181S,15.5,21.0,5.8,27.0
17, SN2615, D350S,15.5,21.0,5.8,30.0
18, SN2614, S820P,15.5,21.0,5.8,34.0
19, SN2601, D41AP,15.5,21.0,5.8,17.0
20, SN2615, S141S,15.5,21.0,5.8,31.0
21, SN2627, H310P,15.5,21.0,5.8,36.0
22, SN2612, E522S,15.5,21.0,5.8,13.0
23, SN2615, E410S,15.5,21.0,5.8,42.0
24, SN2456, E231P,15.5,21.0,5.8,40.0
25, SN2457, H14AS,15.5,21.0,5.8,3.0
26, SN2597, D310P,15.5,21.0,5.8,34.0
27, SN2614, S380P,15.5,21.0,5.8,20.0
28, SN2590, A430C,15.5,21.0,5.8,23.0
29, SN2615, E513P,15.5,21.0,5.8,22.0
30, SN2602, D370P,15.5,21.0,5.8,32.0
31, SN2607, E232P,15.5,21.0,5.8,26.0
32, SN2612, E524S,15.5,21.0,5.8,4.0
33, SN2611, D360P,15.5,21.0,5.8,23.0
34,,,15.5,21.0,5.8,
35,,,15.5,21.0,5.8,
36,,,15.5,21.0,5.8,
37,,,15.5,21.0,5.8,
38,,,15.5,21.0,5.8,
39,,,15.5,21.0,5.8,
