id,vessel_id,block,width,length,height,weight
0, SN2453, E670C,11.0,25.0,inf,64.0
1, SN2452, S230S,23.0,25.0,inf,23.0
2, SN2602, F440C,23.0,25.0,inf,35.0
3, SN2602, F420S,23.0,25.0,inf,45.0
4, SN2455, F310S,23.0,25.0,inf,29.0
5, SN2616, E421S,15.0,23.0,inf,11.0
6, SN2453, C720P,11.0,25.0,inf,11.0
7, SN2601, M410P,23.0,25.0,inf,63.0
8, SN2455, E610P,23.0,25.0,inf,38.0
9, SN2614, S380S,23.0,25.0,inf,19.0
10, SN2597, D390P,23.0,25.0,inf,24.0
11, SN2611, D381S,23.0,25.0,inf,35.0
12, SN2614, F332P,11.0,23.0,inf,11.0
13, SN2612, E330P,23.0,25.0,inf,34.0
14, SN2597, E520S,23.0,25.0,inf,63.0
15, SN2612, M220S,23.0,25.0,inf,41.0
16, SN2599, E11FS,11.0,23.0,inf,21.0
17, SN2607, M110P,11.0,25.0,inf,83.0
18, SN2457, E210P,23.0,25.0,inf,33.0
19, SN2603, B140S,23.0,25.0,inf,69.0
20, SN2456, E210S,23.0,25.0,inf,32.0
21, SN2598, S141P,23.0,25.0,inf,78.0
22, SN2627, F210C,23.0,25.0,inf,26.0
23, SN2602, F520S,23.0,25.0,inf,68.0
24, SN2456, E611S,16.0,23.0,inf,17.0
25, SN2612, F11AS,11.0,25.0,inf,21.0
26, SN2590, A420P,15.0,23.0,inf,18.0
27, SN2455, F420C,16.0,23.0,inf,10.0
28, SN2454, F510S,23.0,25.0,inf,41.0
29, SN2598, D722S,11.0,25.0,inf,15.0
30,,,23.0,25.0,inf,
31,,,23.0,25.0,inf,
32,,,23.0,25.0,inf,
33,,,23.0,25.0,inf,
34,,,23.0,25.0,inf,
35,,,23.0,25.0,inf,
36,,,23.0,25.0,inf,
37,,,23.0,25.0,inf,
38,,,23.0,25.0,inf,
39,,,23.0,25.0,inf,
40,,,23.0,25.0,inf,
0,,,12.0,25.0,inf,
5,,,10.0,23.0,inf,
6,,,12.0,25.0,inf,
12,,,14.0,23.0,inf,
16,,,14.0,23.0,inf,
17,,,12.0,25.0,inf,
24,,,9.0,23.0,inf,
25,,,12.0,25.0,inf,
26,,,10.0,23.0,inf,
27,,,9.0,23.0,inf,
29,,,12.0,25.0,inf,
