vessel_id,block,length,width,height,weight,location
 SN2612, S13AP,21.0,11.0,2.7,24.0,사내
 SN2614, E530S,16.0,15.0,6.5,33.0,사내
 SN2456, B121S,20.0,16.0,2.2,58.0,사내
 SN2456, A12AP,11.0,7.0,2.8,6.0,봉암8
 SN2611, T510S,11.0,6.0,2.7,7.0,사내
 SN2455, F640P,14.0,13.0,4.5,15.0,사내
 SN2599, E11YS,11.0,5.0,5.4,11.0,봉암8
 SN2598, E520P,24.0,23.0,5.3,108.0,사내
 SN2598, T310P,16.0,16.0,2.8,66.0,사내
 SN2598, D521S,11.0,10.0,2.5,6.0,봉암8
 SN2601, D341S,20.0,14.0,4.1,52.0,사내
 SN2601, E430C,21.0,17.0,5.7,79.0,성동
 SN2596, Y390S,12.0,12.0,12.0,3.0,사내
 SN2612, B161S,20.0,16.0,3.2,92.0,사내
 SN2602, F230C,11.0,10.0,4.6,6.0,사내
 SN2611, D330P,16.0,13.0,4.2,24.0,한내
 SN2455, A430C,14.0,11.0,3.1,39.0,봉암9
 SN2598, B120P,20.0,17.0,3.1,65.0,사내
 SN2463, E321P,11.0,11.0,1.2,9.0,사내
 SN2598, E380C,20.0,11.0,1.3,8.0,봉암9
 SN2601, S113P,21.0,11.0,2.8,32.0,성동
 SN2591, D170C,15.0,12.0,5.8,12.0,덕곡1
 SN2599, E11AP,12.0,11.0,2.3,29.0,봉암9
 SN2603, D630S,13.0,11.0,3.4,12.0,덕곡2
 SN2603, D171P,20.0,11.0,1.9,46.0,한내
 SN2603, E440C,21.0,14.0,5.7,79.0,신한내
 SN2463, B11AP,19.0,11.0,2.2,33.0,사내
 SN2602, D211P,20.0,11.0,1.9,44.0,사내
 SN2591, E130C,16.0,12.0,4.7,3.0,한내
 SN2611, D191S,15.0,11.0,1.9,31.0,봉암8
 SN2463, D39AP,21.0,11.0,2.0,16.0,한내
 SN2612, M610C,20.0,18.0,3.3,60.0,사내
 SN2613, D370C,12.0,11.0,2.4,20.0,사내
 SN2611, F522S,12.0,11.0,3.6,15.0,덕곡2
 SN2601, M410S,22.0,18.0,3.6,63.0,사내
 SN2455, F310P,16.0,13.0,7.8,24.0,한내
 SN2591, D150P,12.0,11.0,5.8,19.0,성동
 SN2597, G510P,11.0,5.0,1.6,2.0,사내
 SN2603, E430C,21.0,15.0,5.7,79.0,사내
 SN2615, S082S,11.0,11.0,2.6,9.0,사내
 SN2453, S630P,18.0,11.0,7.9,19.0,OFD
 SN2598, S141S,16.0,16.0,2.6,78.0,사내
 SN2626, E620S,22.0,12.0,4.8,111.0,사내
 SN2607, E522S,11.0,10.0,3.8,11.0,사내
 SN2611, D201S,18.0,11.0,1.9,36.0,사내
 SN2611, S150P,21.0,19.0,5.4,59.0,오비1
 SN2611, T120P,17.0,14.0,2.9,44.0,봉암8
 SN2615, S141S,15.0,11.0,2.3,31.0,사내
 SN2612, B151S,21.0,16.0,3.2,109.0,성동
 SN2603, H130S,21.0,12.0,6.5,33.0,성동
 SN2615, E410S,18.0,15.0,5.4,42.0,사내
 SN2611, S140P,21.0,19.0,5.4,62.0,덕곡1
 SN2615, M310P,20.0,11.0,3.1,42.0,사내
 SN2454, S411P,18.0,15.0,2.6,63.0,봉암8
 SN2612, E422S,12.0,11.0,2.9,18.0,성동
 SN2611, E310S,15.0,14.0,5.0,25.0,봉암9
 SN2457, E210S,15.0,13.0,6.0,32.0,성동
 SN2612, M410S,22.0,18.0,3.6,65.0,신한내
 SN2602, F440C,17.0,17.0,8.1,35.0,성동
 SN2454, F620P,19.0,11.0,2.7,22.0,사내
 SN2598, S113P,21.0,11.0,2.8,32.0,사내
 SN2627, H120S,19.0,11.0,6.6,16.0,사내
 SN2657, E412P,11.0,11.0,2.9,15.0,성동
 SN2608, E114P,16.0,11.0,4.3,19.0,한내
 SN2614, S620S,18.0,17.0,5.9,27.0,사내
 SN2457, E241P,15.0,11.0,6.2,32.0,사내
 SN2597, F210S,15.0,11.0,4.5,8.0,봉암8
 SN2611, F311P,15.0,11.0,5.3,25.0,사내
 SN2607, S11AS,22.0,11.0,2.7,25.0,사내
 SN2603, E510S,21.0,14.0,5.3,51.0,성동
 SN2602, T350P,17.0,16.0,2.8,33.0,사내
 SN2603, D341S,20.0,14.0,4.1,49.0,봉암9
