id,vessel_id,block,width,length,height,weight
0, SN2627, B180S,22.0,25.0,inf,46.0
1, SN2455, M910P,22.0,25.0,inf,32.0
2, SN2612, B111P,22.0,25.0,inf,115.0
3, SN2603, H140S,22.0,25.0,inf,33.0
4, SN2452, E660C,22.0,25.0,inf,55.0
5, SN2602, F310P,22.0,25.0,inf,9.0
6, SN2601, H140S,22.0,25.0,inf,34.0
7, SN2598, T120P,22.0,25.0,inf,19.0
8, SN2590, F520P,13.0,22.0,inf,11.0
9, SN2603, D840S,11.0,22.0,inf,7.0
10, SN2597, D191S,22.0,25.0,inf,33.0
11, SN2608, E32AS,11.0,22.0,inf,6.0
12, SN2614, E470C,22.0,25.0,inf,52.0
13, SN2602, D150C,22.0,25.0,inf,43.0
14, SN2456, E110P,22.0,25.0,inf,19.0
15, SN2590, E640C,22.0,25.0,inf,49.0
16, SN2463, B19AP,22.0,25.0,inf,35.0
17, SN2455, D390P,22.0,25.0,inf,72.0
18, SN2601, D721S,13.0,22.0,inf,6.0
19, SN2612, M310S,22.0,25.0,inf,61.0
20, SN2456, E512S,22.0,25.0,inf,19.0
21, SN2627, A220S,22.0,25.0,inf,30.0
22, SN2616, E41AS,22.0,25.0,inf,15.0
23, SN2597, Y740C,12.0,22.0,inf,6.0
24, SN2455, C400S,22.0,25.0,inf,11.0
25, SN2597, F220C,22.0,25.0,inf,26.0
26, SN2627, E320S,22.0,25.0,inf,36.0
27, SN2601, B110S,22.0,25.0,inf,67.0
28, SN2597, D191P,22.0,25.0,inf,34.0
29, SN2601, D111S,22.0,25.0,inf,48.0
30, SN2598, B221S,22.0,25.0,inf,74.0
31, SN2603, D161P,22.0,25.0,inf,34.0
32, SN2454, F120C,11.0,22.0,inf,4.0
33, SN2453, C710P,22.0,25.0,inf,9.0
34, SN2601, D520S,22.0,25.0,inf,35.0
35, SN2598, B141S,22.0,25.0,inf,98.0
36, SN2455, T260C,11.0,22.0,inf,16.0
37, SN2455, E510P,22.0,25.0,inf,54.0
38, SN2614, E650C,22.0,25.0,inf,57.0
39, SN2602, F220C,22.0,25.0,inf,29.0
40, SN2591, S341S,11.0,22.0,inf,12.0
41, SN2601, D510S,22.0,25.0,inf,36.0
42, SN2601, D712S,22.0,25.0,inf,17.0
43, SN2607, A212P,22.0,25.0,inf,50.0
44, SN2590, S200P,22.0,25.0,inf,19.0
45, SN2602, D710S,22.0,25.0,inf,7.0
46, SN2615, S360S,13.0,22.0,inf,15.0
47, SN2601, B120S,22.0,25.0,inf,69.0
48, SN2603, H120S,22.0,25.0,inf,35.0
49, SN2601, T310S,22.0,25.0,inf,73.0
50, SN2601, M410S,22.0,25.0,inf,63.0
51, SN2602, E530C,22.0,25.0,inf,102.0
52, SN2603, D380P,22.0,25.0,inf,25.0
53, SN2612, E531C,22.0,25.0,inf,54.0
54, SN2598, S112P,22.0,25.0,inf,23.0
55, SN2615, D550S,11.0,22.0,inf,8.0
56, SN2456, B121P,22.0,25.0,inf,66.0
57, SN2452, W830C,22.0,25.0,inf,12.0
58, SN2456, E210P,22.0,25.0,inf,33.0
59, SN2601, D35AP,22.0,25.0,inf,17.0
60, SN2457, E110P,22.0,25.0,inf,19.0
61, SN2456, D391P,22.0,25.0,inf,14.0
62, SN2615, S350P,22.0,25.0,inf,19.0
63,,,22.0,25.0,inf,
64,,,22.0,25.0,inf,
65,,,22.0,25.0,inf,
66,,,22.0,25.0,inf,
67,,,22.0,25.0,inf,
68,,,22.0,25.0,inf,
69,,,22.0,25.0,inf,
70,,,22.0,25.0,inf,
71,,,22.0,25.0,inf,
72,,,22.0,25.0,inf,
73,,,22.0,25.0,inf,
74,,,22.0,25.0,inf,
75,,,22.0,25.0,inf,
76,,,22.0,25.0,inf,
77,,,22.0,25.0,inf,
78,,,22.0,25.0,inf,
79,,,22.0,25.0,inf,
80,,,22.0,25.0,inf,
81,,,22.0,25.0,inf,
82,,,22.0,25.0,inf,
83,,,22.0,25.0,inf,
8,,,12.0,22.0,inf,
9,,,14.0,22.0,inf,
11,,,14.0,22.0,inf,
18,,,12.0,22.0,inf,
23,,,13.0,22.0,inf,
32,,,14.0,22.0,inf,
36,,,14.0,22.0,inf,
40,,,14.0,22.0,inf,
46,,,12.0,22.0,inf,
55,,,14.0,22.0,inf,
