id,vessel_id,block,width,length,height,weight
0, SN2603, D141S,13.0,21.0,5.0,52.0
1, SN2454, M920P,13.0,21.0,5.0,17.0
2, SN2616, E322P,13.0,21.0,5.0,27.0
3, SN2607, M210P,13.0,21.0,5.0,54.0
4, SN2615, E64AC,13.0,21.0,5.0,6.0
5, SN2455, A430C,13.0,21.0,5.0,39.0
6, SN2598, E230P,13.0,21.0,5.0,27.0
7, SN2601, D715S,13.0,21.0,5.0,6.0
8, SN2599, E11CP,13.0,21.0,5.0,9.0
9, SN2456, A12CP,13.0,21.0,5.0,5.0
10, SN2612, E512S,13.0,21.0,5.0,14.0
11, SN2598, S122S,13.0,21.0,5.0,22.0
12, SN2612, E522P,13.0,21.0,5.0,9.0
13, SN2454, W831C,13.0,21.0,5.0,7.0
14, SN2611, D171S,13.0,21.0,5.0,45.0
15, SN2601, D111P,13.0,21.0,5.0,45.0
16, SN2612, E331P,13.0,21.0,5.0,20.0
17, SN2455, W820S,13.0,21.0,5.0,18.0
18, SN2614, F622P,13.0,21.0,5.0,11.0
19, SN2614, S610S,13.0,21.0,5.0,2.0
20, SN2597, F230C,13.0,21.0,5.0,6.0
21, SN2615, M510P,13.0,21.0,5.0,34.0
22, SN2590, A410P,13.0,21.0,5.0,11.0
23, SN2455, C390S,13.0,21.0,5.0,11.0
24,,,13.0,21.0,5.0,
25,,,13.0,21.0,5.0,
26,,,13.0,21.0,5.0,
27,,,13.0,21.0,5.0,
28,,,13.0,21.0,5.0,
29,,,13.0,21.0,5.0,
38,,,16.0,21.0,5.0,
39,,,16.0,21.0,5.0,
30, SN2601, E230P,16.0,21.0,5.0,28.0
31, SN2611, D391S,16.0,21.0,5.0,37.0
32, SN2602, D190C,16.0,21.0,5.0,44.0
33, SN2590, E650C,16.0,21.0,5.0,57.0
34, SN2590, F620S,16.0,21.0,5.0,32.0
35, SN2455, S100P,16.0,21.0,5.0,42.0
36, SN2615, S190S,16.0,21.0,5.0,18.0
37, SN2614, E540P,16.0,21.0,5.0,33.0
