vessel_id,block,length,width,height,weight,location
 SN2616, E43AP,11.0,11.0,2.6,7.0,성동
 SN2614, E440P,19.0,16.0,7.5,27.0,성동
 SN2607, M220P,18.0,12.0,3.6,34.0,신한내
 SN2603, D131P,16.0,11.0,1.9,36.0,봉암9
 SN2599, E11BP,12.0,11.0,2.7,11.0,덕곡2
 SN2603, D341S,20.0,14.0,4.1,49.0,신한내
 SN2611, D710S,15.0,11.0,5.8,7.0,오비3
 SN2627, S131S,23.0,18.0,2.5,106.0,신한내
 SN2614, E661C,15.0,11.0,1.8,14.0,덕곡2
 SN2455, A430C,14.0,11.0,3.1,39.0,신한내
 SN2457, B15AP,20.0,11.0,3.3,36.0,오비3
 SN2616, E41AP,15.0,11.0,3.9,15.0,덕곡1
 SN2601, S140P,21.0,19.0,5.4,59.0,오비1
 SN2608, E116P,11.0,8.0,2.4,9.0,성동
 SN2611, D181P,16.0,11.0,1.9,30.0,OFD
 SN2611, A110S,11.0,7.0,11.5,19.0,한내
 SN2616, S35XP,14.0,11.0,1.7,20.0,봉암8
 SN2614, S380S,15.0,14.0,3.1,19.0,신한내
 SN2627, B180P,19.0,16.0,2.3,47.0,덕곡1
 SN2603, D510S,18.0,11.0,2.2,16.0,봉암8
 SN2611, E310P,15.0,14.0,5.0,25.0,봉암8
 SN2603, T510P,11.0,6.0,2.7,7.0,성동
 SN2463, A21FS,11.0,8.0,2.8,7.0,성동
 SN2602, D171P,20.0,11.0,1.9,46.0,한내
 SN2603, D130C,20.0,16.0,1.9,47.0,성동
 SN2612, E423S,16.0,11.0,1.0,13.0,성동
 SN2601, A110S,11.0,6.0,10.5,16.0,신한내
 SN2611, D350P,16.0,13.0,4.2,24.0,덕곡1
 SN2454, F510P,21.0,17.0,8.0,41.0,성동
 SN2597, T350P,17.0,16.0,4.5,36.0,덕곡1
 SN2602, D200C,20.0,18.0,1.9,43.0,성동
 SN2601, D711S,16.0,11.0,2.1,16.0,봉암9
 SN2601, D520S,22.0,11.0,6.9,35.0,성동
 SN2616, S36XS,13.0,11.0,1.7,21.0,성동
 SN2607, M120P,19.0,13.0,6.2,66.0,한내
 SN2457, A211P,17.0,11.0,5.2,42.0,성동
 SN2597, D400S,20.0,14.0,4.4,32.0,덕곡2
 SN2603, D530S,16.0,11.0,2.2,16.0,성동
 SN2455, C390S,20.0,11.0,0.7,11.0,한내
 SN2603, D350S,16.0,14.0,4.9,24.0,봉암9
 SN2598, D713S,17.0,11.0,1.0,11.0,한내
 SN2601, H130S,22.0,12.0,6.5,37.0,한내
