vessel_id,block,length,width,height,weight,location
 SN2603, D191S,15.0,11.0,1.9,31.0,사내
 SN2615, M310P,20.0,11.0,3.1,42.0,사내
 SN2627, E340P,16.0,14.0,7.2,23.0,사내
 SN2598, B140S,17.0,17.0,3.1,53.0,사내
 SN2590, A420S,15.0,11.0,5.1,18.0,사내
 SN2611, T350S,16.0,16.0,2.8,32.0,사내
 SN2612, E240C,21.0,15.0,3.1,67.0,사내
 SN2611, D411S,20.0,13.0,4.3,43.0,사내
 SN2614, F622S,12.0,11.0,3.6,11.0,사내
 SN2597, D340P,21.0,14.0,4.4,33.0,사내
 SN2603, T151C,20.0,15.0,2.7,98.0,사내
 SN2591, E130C,16.0,12.0,4.7,3.0,사내
 SN2456, E210P,15.0,13.0,6.0,33.0,사내
 SN2603, T320P,18.0,17.0,2.9,48.0,사내
 SN2456, A12BS,11.0,6.0,2.6,4.0,사내
 SN2597, D390P,15.0,14.0,4.4,24.0,사내
 SN2590, E650C,15.0,15.0,2.0,57.0,사내
 SN2598, S112P,21.0,11.0,3.8,23.0,사내
 SN2603, E310P,15.0,14.0,5.0,25.0,사내
 SN2457, D292S,13.0,11.0,2.0,7.0,사내
 SN2602, D160C,20.0,15.0,1.9,43.0,사내
 SN2613, D560C,11.0,9.0,5.8,23.0,사내
 SN2602, D360P,15.0,14.0,4.9,24.0,사내
 SN2627, B120P,19.0,18.0,2.6,54.0,사내
 SN2455, A210C,16.0,16.0,9.3,42.0,사내
 SN2611, E430C,21.0,15.0,5.7,81.0,사내
 SN2453, E710P,22.0,13.0,6.6,84.0,사내
 SN2452, E660C,18.0,17.0,1.9,55.0,사내
 SN2601, B110P,21.0,16.0,3.8,67.0,사내
 SN2597, D350P,16.0,14.0,4.4,26.0,사내
 SN2457, E451C,16.0,11.0,1.8,19.0,사내
 SN2603, H140S,21.0,12.0,6.4,33.0,사내
 SN2601, E230S,17.0,13.0,4.3,28.0,사내
 SN2601, E370C,19.0,11.0,3.6,22.0,사내
 SN2453, H200P,19.0,14.0,5.6,66.0,사내
 SN2611, T351S,16.0,16.0,2.7,51.0,사내
 SN2603, T110S,15.0,15.0,2.7,86.0,사내
 SN2612, M610C,20.0,18.0,3.3,60.0,사내
 SN2455, E650C,16.0,13.0,5.2,47.0,사내
 SN2463, E423P,11.0,11.0,1.3,10.0,사내
 SN2603, D391P,15.0,14.0,4.1,36.0,사내
 SN2590, T190C,12.0,11.0,2.2,25.0,사내
 SN2455, D290S,22.0,16.0,4.3,56.0,사내
 SN2612, E110S,18.0,17.0,7.8,27.0,사내
 SN2608, E116P,11.0,8.0,2.4,9.0,사내
 SN2657, E412P,11.0,11.0,2.9,15.0,사내
 SN2452, E720P,22.0,16.0,8.4,106.0,사내
 SN2603, B120P,22.0,16.0,3.2,68.0,사내
 SN2607, M410S,22.0,18.0,3.6,64.0,사내
 SN2607, A212P,19.0,11.0,6.1,50.0,사내
 SN2601, M310P,22.0,18.0,3.4,63.0,사내
 SN2603, S141S,21.0,16.0,2.6,83.0,사내
 SN2627, E470P,11.0,6.0,2.6,4.0,사내
 SN2457, D291S,11.0,10.0,2.0,4.0,사내
 SN2603, F422S,12.0,11.0,3.8,12.0,사내
