id,vessel_id,block,width,length,height,weight
0, SN2611, S160S,23.0,25.0,inf,57.0
1, SN2611, D110C,23.0,25.0,inf,53.0
2, SN2611, S140P,23.0,25.0,inf,62.0
3, SN2597, F520P,23.0,25.0,inf,84.0
4, SN2603, E540C,23.0,25.0,inf,97.0
5, SN2603, S120S,23.0,25.0,inf,64.0
6, SN2611, S170P,23.0,25.0,inf,60.0
7,,,23.0,25.0,inf,
8,,,23.0,25.0,inf,
9,,,23.0,25.0,inf,
14,,,16.0,16.0,inf,
15,,,16.0,16.0,inf,
17,,,16.0,21.0,inf,
18,,,16.0,21.0,inf,
23,,,17.0,24.0,inf,
24,,,17.0,24.0,inf,
25,,,17.0,24.0,inf,
10, SN2615, E140C,16.0,16.0,inf,4.0
11, SN2463, D29AP,16.0,16.0,inf,6.0
12, SN2603, F423P,16.0,16.0,inf,10.0
13, SN2616, S35XS,16.0,16.0,inf,20.0
16, SN2590, E550C,16.0,21.0,inf,23.0
19, SN2615, E511P,12.0,17.0,inf,15.0
20, SN2601, B131P,17.0,24.0,inf,143.0
21, SN2611, E360C,11.0,17.0,inf,6.0
22, SN2612, H132S,17.0,24.0,inf,50.0
19,,,12.0,17.0,inf,
21,,,13.0,17.0,inf,
