name,length,width,height,count
OFD,16.0,12.0,inf,1
OFD,16.0,13.0,inf,1
OFD,16.0,14.0,inf,3
OFD,25.0,16.0,inf,5
덕곡1,16.0,12.0,inf,2
덕곡1,23.0,16.0,inf,3
덕곡1,24.0,19.0,inf,3
덕곡1,25.0,23.0,inf,3
덕곡2,21.0,13.0,5.0,9
덕곡2,21.0,16.0,5.0,2
봉암8,21.0,15.5,5.8,10
봉암9,21.0,15.5,5.8,7
성동,22.0,12.0,inf,4
성동,22.0,13.0,inf,5
성동,22.0,14.0,inf,10
성동,25.0,22.0,inf,16
신한내,23.0,9.0,inf,2
신한내,23.0,10.0,inf,3
신한내,23.0,13.0,inf,1
신한내,23.0,14.0,inf,6
신한내,25.0,12.0,inf,1
신한내,25.0,23.0,inf,6
오비1,16.0,16.0,inf,2
오비1,21.0,16.0,inf,2
오비1,24.0,17.0,inf,3
오비1,25.0,23.0,inf,2
오비3,21.0,15.0,inf,4
한내,14.0,12.0,inf,4
한내,14.0,13.0,inf,7
한내,14.0,14.0,inf,20
한내,25.0,14.0,inf,8
