vessel_id,block,length,width,height,weight,location
 SN2598, E230S,17.0,12.0,4.3,27.0,덕곡2
 SN2598, S121P,20.0,16.0,2.6,98.0,덕곡1
 SN2603, D820S,11.0,4.0,4.1,2.0,한내
 SN2615, D350S,15.0,11.0,5.5,30.0,한내
 SN2614, S610P,15.0,11.0,4.0,2.0,오비1
 SN2602, E530C,21.0,20.0,5.2,102.0,성동
 SN2456, B121P,20.0,16.0,2.2,66.0,성동
 SN2601, D721S,13.0,11.0,1.0,6.0,성동
 SN2452, S430S,19.0,19.0,8.0,35.0,오비1
 SN2455, F310P,16.0,13.0,7.8,24.0,신한내
 SN2597, D620S,15.0,12.0,2.2,24.0,봉암8
 SN2591, S151P,15.0,13.0,2.3,38.0,덕곡1
 SN2615, E511P,12.0,11.0,5.2,15.0,한내
 SN2457, E51AS,14.0,11.0,2.0,15.0,봉암9
 SN2455, M510S,19.0,12.0,4.7,58.0,봉암9
 SN2597, F230C,11.0,10.0,4.6,6.0,덕곡2
 SN2601, B202P,15.0,11.0,7.5,11.0,한내
 SN2597, Y730C,12.0,12.0,4.0,7.0,봉암8
 SN2611, S160S,20.0,19.0,5.4,57.0,오비1
 SN2601, B110S,21.0,16.0,3.8,67.0,성동
 SN2612, E330P,15.0,15.0,5.4,34.0,오비1
 SN2607, M110S,22.0,11.0,6.2,80.0,OFD
 SN2616, E312P,11.0,10.0,2.0,5.0,봉암9
 SN2603, D110C,20.0,20.0,3.5,53.0,덕곡1
 SN2615, M310S,17.0,11.0,3.1,33.0,한내
 SN2611, D310S,20.0,14.0,4.3,33.0,봉암9
 SN2456, A12DP,11.0,9.0,2.6,5.0,한내
 SN2611, D141S,20.0,11.0,1.9,52.0,덕곡2
 SN2457, A312S,11.0,8.0,2.8,11.0,덕곡2
 SN2607, E523P,12.0,11.0,2.7,16.0,봉암8
 SN2614, Y900C,11.0,11.0,2.6,44.0,오비1
 SN2598, S122P,20.0,11.0,3.8,22.0,봉암9
 SN2457, A211P,17.0,11.0,5.2,42.0,봉암9
 SN2608, E114S,16.0,11.0,4.3,21.0,한내
 SN2611, D381S,16.0,14.0,4.1,35.0,오비3
 SN2602, E510P,21.0,14.0,5.3,49.0,신한내
 SN2612, E512P,11.0,11.0,3.1,13.0,덕곡2
 SN2603, B201P,15.0,11.0,3.2,52.0,한내
 SN2612, S11AS,22.0,11.0,2.7,25.0,덕곡1
 SN2601, D510S,22.0,11.0,7.0,36.0,성동
 SN2455, A220S,18.0,11.0,3.8,38.0,한내
 SN2615, E420S,18.0,15.0,5.5,43.0,OFD
 SN2603, S130P,21.0,19.0,5.4,60.0,덕곡1
 SN2591, S161S,15.0,13.0,3.1,37.0,오비3
 SN2455, F520S,16.0,15.0,5.2,24.0,오비1
 SN2603, T120P,17.0,14.0,2.9,44.0,OFD
 SN2602, T150C,20.0,15.0,2.8,58.0,봉암8
 SN2611, F311P,15.0,11.0,5.3,25.0,한내
 SN2601, E230P,17.0,13.0,4.3,28.0,사내
 SN2603, F422S,12.0,11.0,3.8,12.0,사내
 SN2457, E412S,11.0,11.0,2.0,8.0,사내
 SN2601, E230S,17.0,13.0,4.3,28.0,사내
 SN2453, E660C,18.0,17.0,1.9,55.0,사내
 SN2463, D29AS,11.0,10.0,2.0,5.0,사내
 SN2612, M410P,22.0,18.0,3.6,66.0,사내
 SN2607, E522P,11.0,10.0,1.6,9.0,사내
 SN2627, E470S,11.0,6.0,2.6,2.0,사내
 SN2627, A120C,22.0,11.0,5.3,46.0,사내
 SN2627, E340S,16.0,13.0,6.7,23.0,사내
 SN2611, T510P,11.0,6.0,2.7,7.0,사내
 SN2607, F11AP,17.0,11.0,2.6,18.0,사내
 SN2601, B131S,22.0,16.0,3.2,131.0,사내
 SN2603, D391S,15.0,14.0,4.1,37.0,사내
 SN2456, D193S,11.0,9.0,2.3,7.0,사내
 SN2627, D280P,20.0,12.0,1.6,35.0,사내
 SN2657, E412P,11.0,11.0,2.9,15.0,사내
 SN2590, A420S,15.0,11.0,5.1,18.0,사내
 SN2599, E11YS,11.0,5.0,5.4,11.0,사내
 SN2612, E423S,16.0,11.0,1.0,13.0,사내
 SN2603, F131S,11.0,11.0,3.1,13.0,사내
 SN2611, T340P,18.0,17.0,2.9,47.0,사내
 SN2611, D201P,18.0,11.0,1.9,37.0,사내
 SN2455, A120C,17.0,15.0,4.8,32.0,사내
 SN2611, A210S,21.0,18.0,8.0,51.0,사내
 SN2614, F332P,11.0,8.0,2.5,11.0,사내
 SN2456, E512P,19.0,11.0,2.0,17.0,사내
 SN2455, S100P,20.0,14.0,3.3,42.0,사내
 SN2601, M310P,22.0,18.0,3.4,63.0,사내
 SN2597, D410P,18.0,14.0,4.4,39.0,사내
 SN2612, E511S,17.0,11.0,1.9,20.0,사내
 SN2627, E420P,21.0,18.0,7.1,69.0,사내
 SN2603, T351S,16.0,16.0,2.7,51.0,사내
 SN2611, T130P,17.0,14.0,2.9,44.0,사내
 SN2598, F44AS,11.0,9.0,4.2,9.0,사내
 SN2455, Y900C,13.0,11.0,2.8,64.0,사내
 SN2463, A21DS,11.0,8.0,2.9,7.0,사내
 SN2598, D351P,16.0,14.0,4.0,39.0,사내
 SN2591, E410P,18.0,15.0,5.4,40.0,사내
 SN2614, F622S,12.0,11.0,3.6,11.0,사내
 SN2601, D41AS,20.0,11.0,2.2,17.0,사내
 SN2453, C720S,23.0,11.0,0.7,11.0,사내
 SN2614, E440S,19.0,16.0,7.5,28.0,사내
 SN2612, E421S,11.0,10.0,1.5,11.0,사내
 SN2611, E440C,21.0,14.0,5.7,79.0,사내
 SN2601, E360C,11.0,11.0,1.8,9.0,사내
 SN2614, E530S,16.0,15.0,6.5,33.0,사내
