vessel_id,block,length,width,height,weight,location
 SN2591, A221P,17.0,17.0,4.6,46.0,신한내
 SN2603, D730S,19.0,11.0,6.2,19.0,한내
 SN2601, E370C,19.0,11.0,3.6,22.0,덕곡1
 SN2457, B15AP,20.0,11.0,3.3,36.0,한내
 SN2607, M120S,20.0,13.0,6.2,58.0,성동
 SN2611, B200S,21.0,15.0,8.0,33.0,성동
 SN2615, S161P,15.0,13.0,3.1,37.0,한내
 SN2453, C710P,19.0,11.0,0.7,9.0,한내
 SN2601, D341S,20.0,14.0,4.1,52.0,덕곡2
 SN2614, E530P,16.0,15.0,6.5,33.0,오비1
 SN2612, M410S,22.0,18.0,3.6,65.0,오비1
 SN2603, A210S,21.0,18.0,8.0,51.0,덕곡1
 SN2607, A212S,19.0,11.0,6.1,50.0,한내
 SN2456, E320S,16.0,13.0,5.9,31.0,한내
 SN2455, M410P,19.0,12.0,3.4,46.0,신한내
 SN2604, D730S,18.0,14.0,6.7,33.0,신한내
 SN2611, T120S,16.0,14.0,2.9,42.0,한내
 SN2598, B130P,17.0,16.0,3.1,50.0,덕곡2
 SN2597, D191P,15.0,11.0,1.9,34.0,한내
 SN2602, D620S,13.0,11.0,5.8,46.0,한내
 SN2590, S200S,18.0,13.0,6.7,19.0,OFD
 SN2597, M120P,19.0,13.0,6.0,68.0,신한내
 SN2598, S141S,16.0,16.0,2.6,78.0,성동
 SN2601, B121S,20.0,16.0,3.2,100.0,성동
 SN2603, E440C,21.0,14.0,5.7,79.0,신한내
 SN2614, A410S,12.0,11.0,6.6,11.0,한내
 SN2607, A211P,20.0,15.0,8.9,113.0,신한내
 SN2615, S141P,15.0,11.0,2.3,31.0,한내
 SN2603, E420S,21.0,17.0,5.7,72.0,오비1
 SN2601, B202P,15.0,11.0,7.5,11.0,덕곡1
 SN2601, D311P,20.0,14.0,4.9,48.0,성동
 SN2457, E413S,15.0,11.0,5.7,25.0,한내
 SN2590, E520P,15.0,15.0,7.2,34.0,오비1
 SN2598, D711S,19.0,11.0,1.0,15.0,신한내
 SN2463, A21FS,11.0,8.0,2.8,7.0,한내
 SN2616, E33YS,11.0,7.0,1.7,6.0,봉암8
 SN2597, D730S,14.0,14.0,6.7,24.0,한내
 SN2463, E24AP,11.0,10.0,2.5,7.0,한내
 SN2611, A110P,11.0,7.0,11.5,19.0,한내
 SN2603, D540S,11.0,5.0,2.2,2.0,덕곡1
,,,,,,57054.0
,,,,,,18.646
