vessel_id,block,length,width,height,weight,location
 SN2614, F622S,12.0,11.0,3.6,11.0,한내
 SN2603, F422S,12.0,11.0,3.8,12.0,한내
 SN2601, E230P,17.0,13.0,4.3,28.0,덕곡2
 SN2457, E412S,11.0,11.0,2.0,8.0,한내
 SN2603, T351S,16.0,16.0,2.7,51.0,오비1
 SN2627, E420P,21.0,18.0,7.1,69.0,덕곡1
 SN2598, D351P,16.0,14.0,4.0,39.0,성동
 SN2601, D41AS,20.0,11.0,2.2,17.0,성동
 SN2601, B131S,22.0,16.0,3.2,131.0,OFD
 SN2614, F332P,11.0,8.0,2.5,11.0,한내
 SN2657, E412P,11.0,11.0,2.9,15.0,한내
 SN2603, F131S,11.0,11.0,3.1,13.0,한내
 SN2601, E360C,11.0,11.0,1.8,9.0,한내
 SN2455, A120C,17.0,15.0,4.8,32.0,오비3
 SN2627, A120C,22.0,11.0,5.3,46.0,신한내
 SN2603, D391S,15.0,14.0,4.1,37.0,OFD
 SN2607, E522P,11.0,10.0,1.6,9.0,한내
 SN2614, E440S,19.0,16.0,7.5,28.0,OFD
 SN2601, E230S,17.0,13.0,4.3,28.0,성동
 SN2611, E440C,21.0,14.0,5.7,79.0,봉암8
 SN2455, S100P,20.0,14.0,3.3,42.0,오비3
 SN2611, D201P,18.0,11.0,1.9,37.0,덕곡2
 SN2453, C720S,23.0,11.0,0.7,11.0,신한내
 SN2612, E511S,17.0,11.0,1.9,20.0,신한내
 SN2453, E660C,18.0,17.0,1.9,55.0,오비1
 SN2611, T130P,17.0,14.0,2.9,44.0,봉암9
 SN2627, D280P,20.0,12.0,1.6,35.0,덕곡2
 SN2597, D410P,18.0,14.0,4.4,39.0,덕곡2
 SN2612, E421S,11.0,10.0,1.5,11.0,한내
 SN2455, Y900C,13.0,11.0,2.8,64.0,OFD
 SN2614, E530S,16.0,15.0,6.5,33.0,오비1
 SN2607, F11AP,17.0,11.0,2.6,18.0,덕곡2
 SN2611, T340P,18.0,17.0,2.9,47.0,오비1
 SN2599, E11YS,11.0,5.0,5.4,11.0,신한내
 SN2590, A420S,15.0,11.0,5.1,18.0,성동
 SN2598, F44AS,11.0,9.0,4.2,9.0,한내
 SN2591, E410P,18.0,15.0,5.4,40.0,오비3
 SN2627, E470S,11.0,6.0,2.6,2.0,한내
 SN2456, E512P,19.0,11.0,2.0,17.0,성동
 SN2463, A21DS,11.0,8.0,2.9,7.0,한내
 SN2612, E423S,16.0,11.0,1.0,13.0,오비1
 SN2611, T510P,11.0,6.0,2.7,7.0,한내
 SN2456, D193S,11.0,9.0,2.3,7.0,한내
 SN2463, D29AS,11.0,10.0,2.0,5.0,한내
 SN2627, E340S,16.0,13.0,6.7,23.0,성동
 SN2601, M310P,22.0,18.0,3.4,63.0,덕곡1
 SN2612, M410P,22.0,18.0,3.6,66.0,성동
 SN2611, A210S,21.0,18.0,8.0,51.0,성동
,,,,,,335661.5
,,,,,,7.4
