id,vessel_id,block,width,length,height,weight
0, SN2614, F332P,13.0,21.0,5.0,11.0
1, SN2611, D131P,13.0,21.0,5.0,36.0
2, SN2603, D161P,13.0,21.0,5.0,34.0
3, SN2615, E140C,13.0,21.0,5.0,4.0
4, SN2455, S403S,13.0,21.0,5.0,17.0
5, SN2603, D500P,13.0,21.0,5.0,4.0
6, SN2616, E322S,13.0,21.0,5.0,27.0
7, SN2603, F421P,13.0,21.0,5.0,20.0
8, SN2601, D41AS,13.0,21.0,5.0,17.0
9, SN2591, S341P,13.0,21.0,5.0,12.0
10, SN2611, D740S,13.0,21.0,5.0,49.0
11, SN2455, W831C,13.0,21.0,5.0,7.0
12, SN2615, F32CC,13.0,21.0,5.0,11.0
13, SN2608, E22AP,13.0,21.0,5.0,11.0
14, SN2591, B170S,13.0,21.0,5.0,12.0
15, SN2615, S082S,13.0,21.0,5.0,9.0
16, SN2611, D181S,13.0,21.0,5.0,31.0
17, SN2604, D620S,13.0,21.0,5.0,17.0
18, SN2612, T531P,13.0,21.0,5.0,6.0
19, SN2454, F620S,13.0,21.0,5.0,21.0
20, SN2612, E31AP,13.0,21.0,5.0,18.0
21, SN2456, A12DP,13.0,21.0,5.0,5.0
22, SN2603, F422S,13.0,21.0,5.0,12.0
23, SN2603, F121P,13.0,21.0,5.0,40.0
24, SN2602, F230C,13.0,21.0,5.0,6.0
25,,,13.0,21.0,5.0,
26,,,13.0,21.0,5.0,
27,,,13.0,21.0,5.0,
28,,,13.0,21.0,5.0,
29,,,13.0,21.0,5.0,
37,,,16.0,21.0,5.0,
38,,,16.0,21.0,5.0,
39,,,16.0,21.0,5.0,
30, SN2603, D360S,16.0,21.0,5.0,23.0
31, SN2591, E310S,16.0,21.0,5.0,43.0
32, SN2601, D341P,16.0,21.0,5.0,49.0
33, SN2454, S411S,16.0,21.0,5.0,63.0
34, SN2611, E230S,16.0,21.0,5.0,28.0
35, SN2597, D410P,16.0,21.0,5.0,39.0
36, SN2456, E120C,16.0,21.0,5.0,25.0
