id,vessel_id,block,width,length,height,weight
0, SN2455, S120S,23.0,25.0,inf,60.0
1, SN2602, E530C,23.0,25.0,inf,102.0
2, SN2611, S120P,23.0,25.0,inf,63.0
3, SN2455, B110C,23.0,25.0,inf,48.0
4, SN2601, E530C,23.0,25.0,inf,105.0
5, SN2598, E410S,23.0,25.0,inf,98.0
6, SN2597, F520S,23.0,25.0,inf,71.0
7, SN2611, S170P,23.0,25.0,inf,60.0
8,,,23.0,25.0,inf,
9,,,23.0,25.0,inf,
14,,,16.0,16.0,inf,
15,,,16.0,16.0,inf,
17,,,16.0,21.0,inf,
18,,,16.0,21.0,inf,
23,,,17.0,24.0,inf,
24,,,17.0,24.0,inf,
25,,,17.0,24.0,inf,
10, SN2612, A110P,16.0,16.0,inf,19.0
11, SN2614, E520S,16.0,16.0,inf,30.0
12, SN2599, E11YP,16.0,16.0,inf,5.0
13, SN2607, D620S,16.0,16.0,inf,23.0
16, SN2626, E560C,16.0,21.0,inf,34.0
19, SN2603, D770S,11.0,17.0,inf,7.0
20, SN2457, B19AP,17.0,24.0,inf,35.0
21, SN2612, E332S,17.0,24.0,inf,11.0
22, SN2597, D400P,17.0,24.0,inf,32.0
19,,,13.0,17.0,inf,
