id,vessel_id,block,width,length,height,weight
0, SN2598, S113P,14.0,25.0,inf,32.0
1, SN2455, C390S,14.0,25.0,inf,11.0
2, SN2455, M900S,11.0,14.0,inf,4.0
3, SN2457, B19AS,14.0,25.0,inf,35.0
4, SN2607, S11AS,14.0,25.0,inf,25.0
5, SN2607, M210P,14.0,25.0,inf,54.0
6, SN2603, T520P,11.0,14.0,inf,3.0
7, SN2615, E370P,12.0,14.0,inf,6.0
8, SN2603, D141S,14.0,25.0,inf,52.0
9, SN2455, S403P,14.0,25.0,inf,17.0
10, SN2597, D530S,14.0,25.0,inf,36.0
11, SN2463, B11AS,14.0,25.0,inf,33.0
12, SN2627, A110C,12.0,14.0,inf,27.0
13, SN2612, E421S,11.0,14.0,inf,11.0
14, SN2601, T520S,11.0,14.0,inf,3.0
15, SN2602, D750S,14.0,25.0,inf,21.0
16, SN2599, E11BS,12.0,14.0,inf,11.0
17, SN2627, B191S,14.0,25.0,inf,34.0
18, SN2612, E421P,11.0,14.0,inf,11.0
19, SN2601, E140C,14.0,25.0,inf,68.0
20, SN2614, A430C,14.0,25.0,inf,23.0
21, SN2604, G140S,14.0,25.0,inf,22.0
22, SN2455, F420C,14.0,25.0,inf,10.0
23, SN2454, W820S,14.0,25.0,inf,18.0
24, SN2455, M510S,14.0,25.0,inf,58.0
25, SN2455, Y900C,13.0,14.0,inf,64.0
26, SN2614, F622S,12.0,14.0,inf,11.0
27, SN2455, M320P,12.0,14.0,inf,17.0
28, SN2598, D711S,14.0,25.0,inf,15.0
29, SN2454, F710P,14.0,25.0,inf,20.0
30, SN2602, D640S,14.0,25.0,inf,28.0
31, SN2603, H130S,14.0,25.0,inf,33.0
32, SN2454, F630C,14.0,25.0,inf,13.0
33, SN2597, F310S,14.0,25.0,inf,10.0
34, SN2590, E640C,14.0,25.0,inf,49.0
35, SN2454, F220C,13.0,14.0,inf,8.0
36, SN2591, E332S,11.0,14.0,inf,5.0
37, SN2601, D712S,14.0,25.0,inf,17.0
38, SN2615, D350P,14.0,25.0,inf,28.0
39, SN2615, S350S,14.0,25.0,inf,16.0
40, SN2454, F620P,14.0,25.0,inf,22.0
41, SN2607, F11AP,14.0,25.0,inf,18.0
42, SN2616, E43AP,11.0,14.0,inf,7.0
43, SN2598, D37AP,14.0,25.0,inf,26.0
44, SN2454, F120C,11.0,14.0,inf,4.0
45, SN2612, E250C,14.0,25.0,inf,38.0
46, SN2598, Y900S,11.0,14.0,inf,23.0
47, SN2452, C720P,14.0,25.0,inf,11.0
48, SN2612, E322P,13.0,14.0,inf,13.0
49, SN2456, E373S,14.0,25.0,inf,15.0
50, SN2457, E320S,14.0,25.0,inf,31.0
51, SN2603, D151S,14.0,25.0,inf,30.0
52, SN2597, F310P,14.0,25.0,inf,10.0
53, SN2456, E611S,14.0,25.0,inf,17.0
54, SN2598, M110P,14.0,25.0,inf,84.0
55, SN2591, D150S,12.0,14.0,inf,18.0
56, SN2615, E52AS,11.0,14.0,inf,5.0
57, SN2627, E632S,14.0,25.0,inf,29.0
58, SN2612, E322S,13.0,14.0,inf,14.0
59, SN2615, C360S,14.0,25.0,inf,6.0
60,,,14.0,25.0,inf,
61,,,14.0,25.0,inf,
62,,,14.0,25.0,inf,
63,,,14.0,25.0,inf,
64,,,14.0,25.0,inf,
65,,,14.0,25.0,inf,
66,,,14.0,25.0,inf,
67,,,14.0,25.0,inf,
68,,,14.0,25.0,inf,
2,,,14.0,14.0,inf,
6,,,14.0,14.0,inf,
7,,,13.0,14.0,inf,
12,,,13.0,14.0,inf,
13,,,14.0,14.0,inf,
14,,,14.0,14.0,inf,
16,,,13.0,14.0,inf,
18,,,14.0,14.0,inf,
25,,,12.0,14.0,inf,
26,,,13.0,14.0,inf,
27,,,13.0,14.0,inf,
35,,,12.0,14.0,inf,
36,,,14.0,14.0,inf,
42,,,14.0,14.0,inf,
44,,,14.0,14.0,inf,
46,,,14.0,14.0,inf,
48,,,12.0,14.0,inf,
55,,,13.0,14.0,inf,
56,,,14.0,14.0,inf,
58,,,12.0,14.0,inf,
