vessel_id,block,length,width,height,weight,location
 SN2591, D160S,12.0,11.0,5.8,18.0,덕곡1
 SN2456, H121S,21.0,11.0,5.0,36.0,사내
 SN2590, E530P,16.0,15.0,6.5,33.0,사내
 SN2598, B110S,21.0,17.0,3.1,67.0,사내
 SN2614, S820P,15.0,11.0,2.2,34.0,사내
 SN2603, F331S,11.0,11.0,4.0,15.0,오비3
 SN2601, H140P,21.0,12.0,6.5,34.0,사내
 SN2608, E116P,11.0,8.0,2.4,9.0,한내
 SN2614, S820S,15.0,11.0,2.2,34.0,덕곡2
 SN2611, D411P,20.0,13.0,4.1,43.0,사내
 SN2603, E440C,21.0,14.0,5.7,79.0,사내
 SN2601, T320S,18.0,16.0,2.9,42.0,사내
 SN2455, C400P,21.0,11.0,0.7,10.0,성동
 SN2598, S111S,21.0,16.0,2.6,101.0,사내
 SN2598, E230S,17.0,12.0,4.3,27.0,오비3
 SN2456, A12CS,13.0,11.0,2.6,5.0,사내
 SN2612, E521S,12.0,11.0,4.6,10.0,성동
 SN2598, B221P,15.0,15.0,3.2,65.0,덕곡2
 SN2602, D620S,13.0,11.0,5.8,46.0,성동
 SN2627, S100P,20.0,12.0,3.3,41.0,성동
 SN2603, T350S,16.0,16.0,2.8,32.0,사내
 SN2603, T150C,20.0,15.0,2.8,58.0,사내
 SN2612, M510P,23.0,19.0,3.8,71.0,덕곡1
 SN2615, A421S,11.0,6.0,4.9,8.0,사내
 SN2607, S11AS,22.0,11.0,2.7,25.0,사내
 SN2616, E42AS,11.0,7.0,2.3,10.0,봉암8
 SN2598, T320P,26.0,15.0,3.1,69.0,사내
 SN2454, W820P,19.0,11.0,2.3,18.0,사내
 SN2627, S090P,21.0,11.0,3.3,26.0,사내
 SN2601, S111P,21.0,16.0,2.6,93.0,성동
 SN2598, S121S,20.0,16.0,2.6,95.0,사내
 SN2601, B111P,21.0,16.0,3.2,120.0,사내
 SN2611, D540S,11.0,5.0,2.2,2.0,덕곡2
 SN2611, D320P,16.0,14.0,4.2,25.0,사내
 SN2455, S181S,28.0,18.0,2.5,112.0,사내
 SN2455, W820P,19.0,11.0,2.3,18.0,오비3
 SN2612, B161P,20.0,16.0,3.2,102.0,사내
 SN2612, E421S,11.0,10.0,1.5,11.0,사내
 SN2601, D721S,13.0,11.0,1.0,6.0,사내
 SN2608, E113P,18.0,11.0,3.1,21.0,사내
 SN2597, D320P,16.0,14.0,4.4,25.0,덕곡2
 SN2607, E311S,15.0,11.0,3.0,22.0,봉암9
 SN2457, A313P,18.0,11.0,3.5,20.0,덕곡2
 SN2612, E31AS,15.0,11.0,3.8,18.0,봉암9
 SN2455, S230P,20.0,13.0,9.1,22.0,사내
 SN2603, D381P,16.0,14.0,4.1,35.0,사내
 SN2615, S360S,13.0,11.0,7.0,15.0,한내
 SN2601, E430C,21.0,17.0,5.7,79.0,사내
 SN2601, D714S,22.0,11.0,2.5,22.0,OFD
 SN2455, M510P,19.0,12.0,4.7,54.0,사내
 SN2454, S621P,17.0,11.0,2.5,38.0,사내
 SN2455, F520P,16.0,14.0,5.2,22.0,봉암8
 SN2611, E420P,21.0,17.0,5.7,69.0,성동
 SN2601, A110S,11.0,6.0,10.5,16.0,한내
 SN2602, D640S,19.0,11.0,4.6,28.0,사내
 SN2463, E312P,16.0,11.0,3.5,34.0,한내
 SN2615, M310P,20.0,11.0,3.1,42.0,봉암9
 SN2604, Y900S,11.0,9.0,2.4,39.0,봉암9
 SN2601, D321P,16.0,14.0,4.1,39.0,사내
 SN2463, H11AS,19.0,11.0,2.6,15.0,사내
 SN2611, D191S,15.0,11.0,1.9,31.0,사내
 SN2607, S13AP,21.0,11.0,2.7,24.0,성동
 SN2627, E360C,15.0,12.0,4.3,30.0,OFD
 SN2614, F623S,11.0,6.0,3.0,5.0,사내
 SN2454, F620P,19.0,11.0,2.7,22.0,사내
 SN2626, E560C,17.0,11.0,7.7,34.0,한내
 SN2591, S341P,11.0,10.0,2.3,12.0,사내
 SN2598, T322S,16.0,11.0,3.0,38.0,사내
 SN2454, S401S,18.0,17.0,2.6,74.0,사내
 SN2634, A21BS,14.0,11.0,3.2,20.0,봉암9
 SN2598, M510S,23.0,18.0,4.0,69.0,덕곡1
 SN2611, D840S,11.0,8.0,2.7,7.0,봉암9
 SN2616, E43AS,11.0,11.0,2.6,7.0,한내
 SN2602, F320C,18.0,15.0,8.2,21.0,사내
 SN2607, A110P,11.0,7.0,10.7,18.0,한내
 SN2463, B11AS,19.0,11.0,2.2,33.0,사내
 SN2614, E640C,15.0,13.0,5.4,49.0,사내
 SN2456, B191S,20.0,16.0,2.4,64.0,사내
 SN2598, D711S,19.0,11.0,1.0,15.0,사내
 SN2602, D120C,20.0,16.0,2.7,47.0,사내
 SN2603, D161S,15.0,11.0,1.9,34.0,봉암8
 SN2463, E422S,11.0,7.0,1.3,11.0,덕곡1
 SN2614, E530P,16.0,15.0,6.5,33.0,사내
 SN2611, E540C,24.0,19.0,5.2,99.0,신한내
 SN2603, D181P,16.0,11.0,1.9,30.0,성동
 SN2603, D141S,20.0,11.0,1.9,52.0,사내
 SN2607, M410P,22.0,18.0,3.6,65.0,덕곡1
 SN2627, S391P,17.0,13.0,2.6,58.0,성동
 SN2455, M610P,20.0,12.0,4.3,54.0,성동
 SN2602, D630S,13.0,11.0,3.4,13.0,사내
 SN2616, S35XP,14.0,11.0,1.7,20.0,덕곡2
 SN2597, F220C,18.0,14.0,4.6,26.0,성동
 SN2590, F300C,11.0,9.0,3.0,10.0,사내
 SN2590, T190C,12.0,11.0,2.2,25.0,덕곡2
 SN2455, F220C,13.0,11.0,5.2,8.0,한내
 SN2597, D200C,20.0,20.0,1.9,47.0,덕곡1
 SN2615, E513S,12.0,11.0,2.0,17.0,신한내
 SN2601, B140P,21.0,16.0,3.2,71.0,사내
 SN2601, M900P,11.0,6.0,3.3,1.0,사내
 SN2601, T310S,16.0,15.0,2.8,73.0,사내
 SN2612, E524S,11.0,9.0,4.1,4.0,덕곡2
 SN2611, D141S,20.0,11.0,1.9,52.0,봉암9
 SN2458, S16AS,21.0,11.0,1.8,56.0,사내
 SN2611, F110P,15.0,13.0,3.5,21.0,성동
 SN2591, E332S,11.0,9.0,2.6,5.0,사내
 SN2456, E231P,18.0,11.0,5.4,40.0,OFD
 SN2602, T150C,20.0,15.0,2.8,58.0,성동
 SN2611, E130P,14.0,11.0,7.8,5.0,신한내
 SN2590, S200P,18.0,13.0,6.7,19.0,사내
 SN2602, T350S,16.0,16.0,2.8,32.0,사내
 SN2616, E41AP,15.0,11.0,3.9,15.0,사내
 SN2458, S16AP,21.0,11.0,1.8,56.0,신한내
 SN2614, Y900C,11.0,11.0,2.6,44.0,덕곡1
 SN2457, E51AS,14.0,11.0,2.0,15.0,덕곡2
 SN2452, W830C,15.0,11.0,2.8,12.0,사내
 SN2454, M920P,12.0,11.0,3.2,17.0,봉암9
 SN2601, S122P,21.0,11.0,4.2,21.0,신한내
 SN2598, M110S,21.0,11.0,5.7,78.0,사내
 SN2614, A430C,15.0,11.0,2.8,23.0,한내
 SN2601, T520S,11.0,6.0,2.9,3.0,사내
 SN2602, G370P,11.0,4.0,1.6,3.0,성동
 SN2607, E250C,19.0,11.0,3.4,39.0,봉암9
 SN2454, F220C,13.0,11.0,5.2,8.0,봉암8
 SN2611, E530C,21.0,20.0,5.2,102.0,사내
 SN2614, F332P,11.0,8.0,2.5,11.0,성동
 SN2454, F120C,11.0,9.0,3.6,4.0,OFD
 SN2611, H110P,22.0,12.0,7.8,34.0,사내
 SN2601, S131P,22.0,16.0,2.6,101.0,사내
 SN2616, E33YS,11.0,7.0,1.7,6.0,덕곡2
 SN2602, D150C,20.0,16.0,2.7,43.0,신한내
 SN2457, E320S,16.0,13.0,5.9,31.0,사내
 SN2603, E420P,21.0,17.0,5.7,69.0,사내
 SN2614, S400S,17.0,13.0,8.4,17.0,한내
 SN2615, M410S,24.0,11.0,3.5,39.0,사내
 SN2455, E510S,23.0,13.0,5.2,46.0,사내
 SN2591, S161S,15.0,13.0,3.1,37.0,오비1
 SN2454, F310P,16.0,13.0,7.8,24.0,사내
 SN2603, H110P,22.0,12.0,7.8,34.0,한내
 SN2603, F423P,11.0,10.0,7.2,10.0,사내
 SN2611, T140P,15.0,14.0,2.9,33.0,봉암9
 SN2611, B201S,15.0,11.0,3.2,44.0,사내
 SN2627, D180S,19.0,13.0,4.2,46.0,사내
 SN2603, T520S,11.0,6.0,2.9,3.0,덕곡1
 SN2615, E64AC,12.0,11.0,1.9,6.0,사내
 SN2607, E232P,12.0,11.0,5.2,26.0,사내
 SN2603, F421S,13.0,11.0,3.8,20.0,봉암9
 SN2602, D820S,11.0,4.0,4.1,2.0,신한내
 SN2457, E110P,16.0,12.0,7.6,19.0,성동
 SN2627, E410P,21.0,12.0,5.2,33.0,성동
 SN2615, M120P,11.0,11.0,4.4,25.0,봉암8
 SN2604, D620S,13.0,11.0,2.0,17.0,신한내
 SN2596, D710S,23.0,20.0,6.8,51.0,오비1
 SN2634, A21BP,14.0,11.0,3.2,20.0,한내
 SN2608, E114P,16.0,11.0,4.3,19.0,신한내
 SN2454, H220S,17.0,13.0,4.6,27.0,봉암9
 SN2463, B19AS,20.0,11.0,2.3,35.0,덕곡2
 SN2615, M510S,16.0,11.0,3.1,25.0,사내
 SN2611, E230S,17.0,13.0,4.7,28.0,덕곡2
 SN2603, T320S,18.0,16.0,2.9,46.0,신한내
 SN2457, E62AP,16.0,11.0,2.6,18.0,덕곡2
 SN2616, S36XP,13.0,11.0,1.7,21.0,한내
 SN2612, E422P,12.0,11.0,2.5,16.0,봉암8
 SN2615, E511S,12.0,11.0,5.2,17.0,오비3
 SN2598, E420S,23.0,22.0,5.9,139.0,덕곡1
 SN2456, A12DP,11.0,9.0,2.6,5.0,한내
 SN2453, C710S,20.0,11.0,0.7,10.0,봉암9
 SN2601, S110P,21.0,21.0,8.3,58.0,덕곡1
 SN2611, A110P,11.0,7.0,11.5,19.0,사내
 SN2456, E373S,14.0,11.0,2.6,15.0,신한내
 SN2602, F310S,15.0,12.0,8.2,9.0,한내
 SN2602, F520S,19.0,18.0,6.3,68.0,덕곡1
 SN2603, D171S,20.0,11.0,1.9,45.0,봉암9
 SN2603, D380S,16.0,13.0,4.2,25.0,한내
 SN2456, E511S,13.0,11.0,2.8,19.0,봉암9
 SN2601, M220P,18.0,12.0,3.5,34.0,오비1
 SN2603, B140P,21.0,16.0,3.2,71.0,신한내
 SN2597, D181S,16.0,11.0,1.9,34.0,한내
 SN2589, T15NP,11.0,3.0,0.5,1.0,한내
 SN2611, D340P,20.0,13.0,4.2,31.0,성동
 SN2601, T120S,16.0,14.0,2.9,41.0,덕곡2
 SN2607, E320P,16.0,13.0,4.9,27.0,한내
 SN2612, M610C,20.0,18.0,3.3,60.0,사내
 SN2601, D716S,13.0,11.0,1.0,10.0,사내
 SN2603, D840S,11.0,8.0,2.7,7.0,성동
 SN2607, E522S,11.0,10.0,3.8,11.0,사내
 SN2456, D193P,11.0,9.0,2.3,7.0,성동
 SN2457, E241S,15.0,12.0,6.5,36.0,사내
 SN2614, S720P,15.0,15.0,2.8,25.0,오비1
 SN2611, E520P,22.0,14.0,5.6,74.0,사내
 SN2601, E140C,16.0,13.0,6.8,68.0,사내
 SN2597, D410S,18.0,14.0,4.4,38.0,신한내
 SN2455, M910S,16.0,12.0,3.2,34.0,한내
 SN2627, B120S,19.0,18.0,2.6,53.0,덕곡1
 SN2614, E571P,13.0,11.0,1.2,9.0,덕곡2
 SN2598, S130S,21.0,16.0,8.1,49.0,신한내
 SN2614, F722S,12.0,11.0,1.5,11.0,봉암9
 SN2590, E520P,15.0,15.0,7.2,34.0,사내
 SN2456, E410P,17.0,15.0,5.2,39.0,사내
 SN2611, D130C,20.0,16.0,1.9,48.0,사내
 SN2612, B181S,15.0,11.0,3.4,27.0,봉암8
 SN2603, D121S,16.0,11.0,1.9,33.0,사내
 SN2601, D520S,22.0,11.0,6.9,35.0,사내
 SN2611, B200S,21.0,15.0,8.0,33.0,OFD
 SN2452, C720S,23.0,11.0,0.7,11.0,사내
 SN2598, F110S,15.0,14.0,3.0,21.0,사내
 SN2614, S080S,15.0,12.0,5.6,16.0,성동
 SN2611, D640S,19.0,11.0,4.6,28.0,사내
 SN2614, F631S,12.0,12.0,4.0,24.0,성동
 SN2455, S401P,18.0,17.0,2.6,74.0,사내
 SN2598, M110P,22.0,11.0,5.7,84.0,성동
 SN2627, S100S,20.0,12.0,3.3,41.0,사내
 SN2455, S230S,20.0,13.0,9.1,23.0,사내
 SN2452, S830S,17.0,11.0,5.8,21.0,성동
 SN2456, A12DS,11.0,9.0,2.6,5.0,오비3
 SN2455, A120C,17.0,15.0,4.8,32.0,성동
 SN2454, S401P,18.0,17.0,2.6,74.0,사내
 SN2615, E360C,11.0,10.0,2.8,8.0,성동
 SN2601, E360C,11.0,11.0,1.8,9.0,봉암9
 SN2611, D120C,20.0,16.0,2.7,47.0,사내
 SN2590, A410P,12.0,11.0,4.3,11.0,사내
 SN2454, F520S,16.0,15.0,5.2,24.0,사내
 SN2463, A21CS,11.0,8.0,2.6,6.0,사내
 SN2601, A110P,11.0,6.0,10.5,16.0,성동
 SN2603, D391P,15.0,14.0,4.1,36.0,사내
 SN2601, S113S,21.0,11.0,2.8,32.0,성동
 SN2603, D350S,16.0,14.0,4.9,24.0,사내
 SN2598, D620S,13.0,11.0,2.2,16.0,사내
 SN2599, E11AP,12.0,11.0,2.3,29.0,사내
 SN2597, D180C,20.0,16.0,2.5,44.0,성동
 SN2612, E514P,21.0,11.0,2.8,16.0,사내
 SN2603, H120P,22.0,12.0,6.4,35.0,사내
 SN2614, A420P,15.0,11.0,5.1,18.0,봉암9
 SN2454, F710P,16.0,11.0,2.6,20.0,덕곡1
 SN2456, E210P,15.0,13.0,6.0,33.0,사내
 SN2604, D710S,20.0,17.0,6.7,36.0,사내
 SN2614, E440P,19.0,16.0,7.5,27.0,사내
 SN2614, F520S,13.0,11.0,5.2,13.0,성동
 SN2599, E11BP,12.0,11.0,2.7,11.0,사내
 SN2627, E320S,18.0,18.0,6.5,36.0,성동
 SN2612, E151C,12.0,11.0,2.7,31.0,사내
 SN2598, A110P,11.0,8.0,11.5,26.0,사내
