id,vessel_id,block,width,length,height,weight
0, SN2603, B140P,23.0,25.0,inf,71.0
1, SN2627, F411S,11.0,25.0,inf,19.0
2, SN2601, T110P,23.0,25.0,inf,72.0
3, SN2601, S131S,23.0,25.0,inf,101.0
4, SN2458, S16AP,11.0,25.0,inf,56.0
5, SN2608, E114P,16.0,23.0,inf,19.0
6, SN2598, T310P,23.0,25.0,inf,66.0
7, SN2456, D194P,11.0,23.0,inf,7.0
8, SN2452, E710S,23.0,25.0,inf,88.0
9, SN2456, E373S,14.0,23.0,inf,15.0
10, SN2611, T350P,23.0,25.0,inf,33.0
11, SN2615, C360S,15.0,23.0,inf,6.0
12, SN2601, E410P,23.0,25.0,inf,56.0
13, SN2590, F620S,23.0,25.0,inf,32.0
14, SN2603, T320S,23.0,25.0,inf,46.0
15, SN2627, E530S,23.0,25.0,inf,35.0
16, SN2615, D170C,23.0,25.0,inf,12.0
17, SN2597, T350S,23.0,25.0,inf,32.0
18, SN2597, D410S,23.0,25.0,inf,38.0
19, SN2603, S130P,23.0,25.0,inf,60.0
20, SN2601, S122P,11.0,25.0,inf,21.0
21, SN2604, D620S,13.0,23.0,inf,17.0
22, SN2601, M900S,11.0,23.0,inf,1.0
23, SN2602, D820S,11.0,23.0,inf,2.0
24, SN2614, F622S,12.0,23.0,inf,11.0
25, SN2611, E230P,23.0,25.0,inf,28.0
26, SN2598, S130S,23.0,25.0,inf,49.0
27, SN2611, B140P,23.0,25.0,inf,71.0
28, SN2603, B200S,23.0,25.0,inf,33.0
29, SN2611, E130P,14.0,23.0,inf,5.0
30, SN2611, E540C,23.0,25.0,inf,99.0
31, SN2615, E513S,12.0,23.0,inf,17.0
32, SN2602, D150C,23.0,25.0,inf,43.0
33, SN2611, S130P,23.0,25.0,inf,60.0
34,,,23.0,25.0,inf,
35,,,23.0,25.0,inf,
36,,,23.0,25.0,inf,
37,,,23.0,25.0,inf,
38,,,23.0,25.0,inf,
39,,,23.0,25.0,inf,
40,,,23.0,25.0,inf,
1,,,12.0,25.0,inf,
4,,,12.0,25.0,inf,
5,,,9.0,23.0,inf,
7,,,14.0,23.0,inf,
9,,,11.0,23.0,inf,
11,,,10.0,23.0,inf,
20,,,12.0,25.0,inf,
21,,,12.0,23.0,inf,
22,,,14.0,23.0,inf,
23,,,14.0,23.0,inf,
24,,,13.0,23.0,inf,
29,,,11.0,23.0,inf,
31,,,13.0,23.0,inf,
