id,vessel_id,block,width,length,height,weight
0, SN2607, E232P,12.0,16.0,inf,26.0
1, SN2601, T720S,16.0,25.0,inf,14.0
2, SN2601, D716S,13.0,16.0,inf,10.0
3, SN2597, D320P,16.0,25.0,inf,25.0
4, SN2601, E150C,16.0,25.0,inf,50.0
5, SN2611, F521P,16.0,25.0,inf,11.0
6, SN2590, E530S,16.0,25.0,inf,33.0
7, SN2602, F230C,11.0,16.0,inf,6.0
8, SN2611, K180C,16.0,25.0,inf,31.0
9, SN2457, D292S,13.0,16.0,inf,7.0
10, SN2590, E540P,16.0,25.0,inf,33.0
11, SN2611, D391P,16.0,25.0,inf,36.0
12, SN2608, E113P,16.0,25.0,inf,21.0
13, SN2607, E522P,11.0,16.0,inf,9.0
14,,,16.0,25.0,inf,
15,,,16.0,25.0,inf,
16,,,16.0,25.0,inf,
17,,,16.0,25.0,inf,
18,,,16.0,25.0,inf,
19,,,16.0,25.0,inf,
0,,,13.0,16.0,inf,
2,,,12.0,16.0,inf,
7,,,14.0,16.0,inf,
9,,,12.0,16.0,inf,
13,,,14.0,16.0,inf,
