vessel_id,block,length,width,height,weight,location
 SN2607, S11AP,22.0,11.0,2.7,25.0,한내
 SN2591, B160S,14.0,13.0,2.5,26.0,한내
 SN2611, D391P,15.0,14.0,4.1,36.0,OFD
 SN2611, K180C,15.0,12.0,3.2,31.0,OFD
 SN2603, F421S,13.0,11.0,3.8,20.0,봉암9
 SN2611, D340P,20.0,13.0,4.2,31.0,봉암9
 SN2603, D371P,20.0,14.0,4.1,48.0,봉암9
 SN2455, W820P,19.0,11.0,2.3,18.0,봉암8
 SN2611, D141S,20.0,11.0,1.9,52.0,성동
 SN2603, D191S,15.0,11.0,1.9,31.0,봉암8
 SN2611, D411S,20.0,13.0,4.3,43.0,봉암8
 SN2598, M510S,23.0,18.0,4.0,69.0,덕곡1
 SN2604, G140S,14.0,11.0,4.7,22.0,덕곡2
 SN2597, E540C,22.0,19.0,5.2,84.0,성동
 SN2598, S112P,21.0,11.0,3.8,23.0,한내
 SN2590, S210P,18.0,12.0,8.4,17.0,성동
 SN2612, T131S,16.0,14.0,2.8,74.0,덕곡2
 SN2599, E11AS,12.0,11.0,2.3,28.0,덕곡2
 SN2591, S161P,15.0,13.0,3.1,37.0,신한내
 SN2612, M210P,20.0,11.0,3.6,54.0,봉암9
 SN2455, F640S,14.0,13.0,4.2,15.0,한내
 SN2598, M900S,11.0,6.0,3.3,2.0,봉암9
 SN2457, A312P,11.0,10.0,2.8,14.0,신한내
 SN2455, F220C,13.0,11.0,5.2,8.0,덕곡1
 SN2589, T15NP,11.0,3.0,0.5,1.0,덕곡2
 SN2616, E211P,11.0,11.0,3.1,14.0,오비3
 SN2615, F32CC,11.0,8.0,2.2,11.0,한내
 SN2615, E130C,16.0,12.0,4.7,3.0,봉암9
 SN2456, D292S,13.0,11.0,2.0,7.0,덕곡2
 SN2598, E360C,11.0,11.0,1.8,8.0,오비3
 SN2603, D540S,11.0,5.0,2.2,2.0,덕곡2
 SN2452, S430S,19.0,19.0,8.0,35.0,오비1
 SN2596, D720S,23.0,20.0,6.7,64.0,덕곡1
 SN2591, H170P,11.0,10.0,4.5,10.0,덕곡2
 SN2612, E512P,11.0,11.0,3.1,13.0,한내
 SN2596, D710S,23.0,20.0,6.8,51.0,오비1
 SN2452, C710P,19.0,11.0,0.7,9.0,신한내
 SN2612, B161S,20.0,16.0,3.2,92.0,신한내
 SN2602, F230C,11.0,10.0,4.6,6.0,OFD
 SN2611, D540S,11.0,5.0,2.2,2.0,한내
 SN2611, D350S,16.0,14.0,4.9,24.0,봉암9
 SN2463, D29AP,12.0,11.0,2.0,6.0,봉암9
 SN2454, F310P,16.0,13.0,7.8,24.0,한내
 SN2627, D280P,20.0,12.0,1.6,35.0,신한내
 SN2615, S161P,15.0,13.0,3.1,37.0,봉암9
 SN2457, B131P,21.0,19.0,2.2,83.0,오비1
 SN2463, E421P,16.0,11.0,5.3,39.0,봉암9
 SN2601, S122P,21.0,11.0,4.2,21.0,덕곡1
 SN2457, D292S,13.0,11.0,2.0,7.0,OFD
 SN2616, E43AP,11.0,11.0,2.6,7.0,봉암9
 SN2627, E360C,15.0,12.0,4.3,30.0,오비3
 SN2608, E116P,11.0,8.0,2.4,9.0,덕곡2
 SN2591, S141P,15.0,11.0,2.3,31.0,오비1
 SN2603, T320P,18.0,17.0,2.9,48.0,신한내
 SN2456, D192P,11.0,8.0,2.3,7.0,오비1
 SN2405, D640S,13.0,11.0,2.1,18.0,성동
 SN2590, S200S,18.0,13.0,6.7,19.0,한내
 SN2598, B221S,15.0,15.0,3.2,74.0,신한내
